batting_avg,strike_rate,centuries,half_centuries,fours_per_innings,sixes_per_innings,bowling_avg,economy_rate,wickets,fielding_dismissals
43.98,113.6,8.29,18.2,8.94,1.52,72.98,7.7,0.99,16.03
55.5,124.5,8.5,25.42,7.19,0.35,73.34,9.66,1.25,6.63
60.81,116.79,5.79,27.44,9.93,0.89,85.77,7.95,2.53,16.14
52.43,124.93,11.33,25.58,8.25,,67.03,7.68,2.52,11.96
48.24,111.69,5.69,12.9,8.68,0.73,60.61,7.84,3.97,12.35
48.51,124.83,10.18,28.24,5.79,0.17,71.26,6.91,2.39,11.06
46.51,112.16,10.46,17.4,6.39,1.93,53.29,6.53,4.69,16.64
56.48,115.57,7.75,18.35,8.39,1.42,81.44,6.57,2.07,13.32
54.35,127.38,8.36,21.46,6.45,0.85,55.2,5.87,1.02,16.24
52.61,121.38,10.96,26.46,7.66,0.67,88.9,6.45,1.73,12.73
47.93,112.62,6.04,15.69,11.16,0.5,55.73,9.45,0.95,12.7
48.7,96.11,9.9,22.42,6.15,0.26,71.65,7.27,2.03,13.97
57.53,,8.65,16.56,7.02,0.74,64.41,10.47,1.51,12.14
,111.65,3.48,27.44,8.0,0.87,56.61,8.5,2.62,13.95
57.36,114.31,9.62,22.72,7.39,1.02,79.02,6.8,3.11,8.97
43.1,106.54,8.51,21.41,10.2,,65.09,10.18,1.16,6.78
58.6,113.08,4.59,30.82,8.34,1.3,62.15,6.61,2.36,13.46
37.66,121.61,8.96,21.44,9.82,1.04,60.64,8.98,3.05,14.23
38.78,103.51,5.41,21.48,9.95,,67.41,7.0,0.82,15.66
60.01,117.14,7.24,28.01,8.71,1.61,82.23,7.0,0.0,7.43
48.33,109.04,3.84,20.54,8.23,1.19,73.05,6.9,4.21,9.17
54.66,124.94,5.95,22.72,8.17,0.67,66.93,5.89,,11.77
45.69,132.28,8.1,21.69,5.6,0.61,79.23,7.19,0.37,10.05
36.77,110.88,8.13,21.76,7.05,,73.45,9.09,1.47,15.92
51.62,106.03,7.4,23.01,7.83,1.53,75.09,7.61,2.2,12.29
44.7,122.86,12.69,21.17,8.39,0.86,,6.3,2.52,13.52
55.34,,,21.89,8.99,0.65,75.57,8.43,1.33,
49.73,120.84,7.06,15.0,8.12,1.19,77.09,,1.26,11.61
48.29,114.94,10.84,23.47,8.69,0.33,73.19,9.47,3.05,11.75
57.43,117.51,7.85,32.89,8.01,1.31,65.91,7.79,2.63,12.61
66.01,132.61,6.28,24.28,9.95,1.07,79.61,7.64,2.9,11.87
53.06,123.42,7.12,23.24,6.77,0.81,,6.22,0.85,16.94
44.74,118.91,12.41,25.57,8.3,0.0,71.34,7.04,2.4,10.92
53.5,120.52,10.08,25.02,8.0,0.44,62.74,9.18,0.39,15.2
52.78,133.26,5.76,24.16,7.93,1.44,73.37,7.7,2.18,17.44
62.08,109.73,7.24,16.49,9.98,1.23,65.49,7.8,1.52,14.87
59.18,122.44,11.09,16.08,9.73,0.48,63.32,6.63,3.33,14.95
49.41,115.92,7.04,17.67,9.1,1.03,78.13,7.61,0.35,8.84
54.78,118.83,7.87,20.16,8.29,0.99,87.64,7.88,1.75,11.48
43.33,120.28,8.3,20.49,7.71,1.17,62.11,8.57,3.27,10.46
56.95,122.77,7.29,20.22,9.15,0.99,68.23,7.17,2.07,8.65
56.4,121.3,2.88,23.43,6.11,0.66,63.18,6.99,1.09,9.69
47.63,129.71,7.05,25.34,8.09,1.28,77.43,7.11,2.65,15.92
45.09,123.67,6.46,14.62,9.95,1.03,60.97,9.72,0.15,13.83
48.14,125.19,7.73,15.6,10.52,0.68,66.87,6.81,0.73,6.2
56.0,128.92,7.64,29.89,7.41,1.03,91.3,6.21,3.73,8.96
48.86,121.92,5.94,20.28,6.81,0.82,68.83,6.95,1.1,7.27
46.75,110.31,5.7,18.02,6.75,1.23,66.35,8.08,2.16,12.67
56.56,115.08,12.53,27.58,7.44,1.01,67.52,8.77,3.75,10.68
44.79,108.67,10.07,23.79,,1.57,75.79,8.56,2.63,8.83
53.96,116.35,3.12,23.17,5.94,1.69,61.96,6.3,1.99,8.07
,117.11,5.64,24.59,7.37,0.2,56.52,8.71,3.01,15.02
48.34,108.11,7.16,19.51,6.72,0.85,56.48,7.85,2.59,5.46
46.75,123.9,6.1,20.14,,1.12,75.76,9.95,2.55,10.13
50.01,115.51,5.23,30.15,9.93,0.95,61.86,9.72,2.3,13.94
46.75,110.46,9.0,17.59,7.05,1.39,78.68,6.78,3.3,16.36
46.32,107.95,6.07,20.1,7.75,0.73,69.45,8.1,2.55,13.17
43.68,108.09,8.77,25.46,,,81.81,7.59,1.48,12.62
37.12,118.83,6.65,19.59,6.65,0.84,73.45,7.73,3.34,8.1
58.13,114.29,7.63,20.61,6.34,1.4,58.92,7.42,1.74,10.17
68.98,121.53,10.68,19.56,6.77,0.73,51.0,7.65,,14.11
42.1,111.43,6.8,20.52,5.55,1.06,80.14,7.36,3.16,15.47
56.97,114.7,7.21,22.46,8.34,0.92,73.43,7.67,4.18,14.67
43.65,124.56,7.45,17.17,7.67,0.82,79.49,6.72,1.07,11.14
53.27,96.22,6.21,21.75,9.73,0.89,65.19,9.87,1.69,15.19
42.87,124.27,4.65,21.72,6.32,0.75,67.78,8.68,3.12,13.2
59.33,112.64,8.1,19.69,7.15,0.91,75.0,7.47,0.12,14.05
44.36,121.21,7.16,24.04,8.63,0.37,82.19,6.87,0.57,9.52
54.53,127.88,8.17,22.5,9.22,1.35,83.63,6.53,2.71,14.99
51.65,125.07,9.26,26.16,8.55,0.83,73.39,,1.24,10.76
55.82,112.91,5.89,,7.64,1.21,85.43,8.01,0.91,10.99
42.99,120.94,12.07,31.48,9.71,0.4,63.03,8.01,0.56,7.61
47.13,114.95,9.19,18.54,6.96,1.23,92.31,7.31,3.31,16.34
46.96,125.05,4.84,19.48,9.92,0.63,74.9,7.38,2.16,7.6
51.07,133.08,10.59,21.55,10.01,,74.21,7.77,3.52,17.98
43.05,105.21,9.33,25.98,8.14,1.06,59.28,8.95,4.14,11.25
53.75,118.56,9.65,20.15,5.88,0.16,62.19,7.75,1.16,11.06
48.86,131.19,8.3,26.07,5.71,0.73,72.2,8.7,0.84,12.11
43.4,107.07,3.41,19.6,9.45,1.1,65.72,6.3,1.89,13.29
59.49,110.02,6.24,13.85,6.43,0.92,56.61,9.27,4.12,7.58
53.13,133.81,10.95,16.3,8.4,0.85,84.38,8.04,1.73,15.78
47.89,102.43,6.23,18.61,6.01,1.01,77.89,8.82,3.29,14.01
43.62,116.12,8.19,21.16,10.57,0.69,54.26,8.09,1.53,13.57
51.11,112.94,7.58,26.61,9.45,0.6,53.33,8.47,3.37,8.83
43.68,114.67,9.03,19.09,9.81,0.69,68.2,8.08,0.72,15.92
49.15,111.86,9.94,21.74,7.32,1.02,59.99,7.78,0.54,16.44
60.29,111.87,6.26,17.91,7.23,1.75,57.18,7.46,2.9,11.75
54.81,134.34,4.77,24.24,7.14,0.88,87.41,8.31,2.13,7.94
56.04,121.19,9.9,23.38,6.16,0.92,82.33,7.87,1.58,8.96
54.68,113.36,10.33,23.07,8.45,1.23,79.92,8.01,1.87,13.42
46.62,127.86,7.95,26.02,6.21,1.2,54.99,7.45,,14.04
53.23,110.63,7.9,18.28,9.44,0.6,75.46,7.35,0.38,13.72
48.03,111.93,9.4,19.83,7.31,0.29,85.78,5.46,2.5,10.46
50.81,126.65,8.11,15.57,10.96,0.82,67.85,7.4,2.4,11.73
61.73,115.33,6.92,23.3,9.0,1.46,73.24,8.65,1.25,16.23
55.98,118.3,12.89,26.04,7.01,1.51,74.18,7.9,1.38,9.72
52.54,107.07,8.65,27.82,7.61,1.2,59.2,8.25,1.27,10.96
47.8,113.14,7.64,24.09,5.76,0.74,58.22,8.14,2.36,9.11
49.68,126.23,7.84,19.26,6.79,0.56,56.91,6.83,2.21,15.1
44.07,126.4,7.31,24.53,11.08,1.32,70.68,8.56,1.97,8.23
59.29,117.91,7.52,22.04,9.06,0.69,81.28,7.41,0.71,13.19
61.94,119.59,5.57,20.85,9.34,1.15,63.63,7.98,3.43,15.53
56.34,116.74,6.97,17.89,6.77,0.85,74.21,8.02,1.56,11.37
48.07,108.39,10.47,17.8,5.66,1.49,58.69,9.51,,12.06
55.95,121.23,7.17,,6.48,0.96,63.7,10.61,2.01,12.83
,117.25,6.58,27.26,7.54,1.53,84.46,7.84,2.65,11.36
61.98,108.03,10.41,26.36,6.59,0.4,81.27,7.85,2.78,
39.67,135.46,9.71,18.09,9.73,,75.25,7.29,1.99,13.73
51.65,113.89,5.55,21.61,9.83,0.98,56.34,,0.0,11.05
53.02,131.39,10.39,25.2,7.5,1.41,77.22,9.75,2.37,10.32
50.96,128.06,6.55,19.3,9.87,1.01,78.81,6.33,2.28,16.03
50.11,113.88,6.02,25.05,8.4,1.51,67.02,9.02,0.0,13.01
44.52,129.37,8.39,21.25,8.69,1.07,92.66,,0.54,14.32
49.32,124.97,7.73,15.91,9.33,0.73,60.09,8.5,1.88,16.33
53.77,119.92,9.64,25.13,9.52,1.16,73.45,8.99,3.3,15.25
54.23,130.37,12.56,20.84,8.77,0.31,80.33,7.8,2.4,12.54
59.09,120.41,8.52,23.35,10.0,1.51,82.48,7.39,2.13,13.56
45.56,123.53,6.67,26.29,6.69,0.69,65.22,7.34,2.5,14.2
46.23,119.19,7.48,24.05,5.96,0.85,73.59,7.12,1.53,13.01
54.11,121.37,4.38,26.0,6.79,1.39,64.73,7.99,0.85,
66.58,127.45,4.65,26.22,5.74,1.39,60.93,6.53,1.75,10.55
46.18,123.96,8.38,19.3,7.82,1.11,61.65,8.6,0.83,8.01
48.87,138.73,8.08,26.61,9.19,0.25,71.1,8.41,1.96,2.55
54.67,136.94,6.47,23.55,8.86,0.96,74.76,8.43,1.43,5.03
52.9,122.03,7.95,30.94,6.16,1.13,71.7,8.04,2.56,17.08
52.8,118.82,7.73,15.93,6.48,1.18,67.82,7.9,2.9,13.42
53.38,127.06,6.78,21.56,7.96,0.22,66.47,8.68,1.95,14.35
52.91,112.85,7.4,27.64,7.38,0.26,53.07,7.26,2.52,10.95
37.72,115.91,10.64,23.91,7.61,1.09,64.02,8.0,0.0,12.3
48.06,119.49,7.13,13.01,7.58,0.43,54.3,7.21,1.57,14.13
44.89,107.85,8.76,20.06,10.2,0.69,78.07,7.54,2.71,5.71
54.59,115.59,7.98,23.81,8.19,0.31,72.81,7.85,1.58,10.09
58.14,111.06,6.17,19.56,8.7,0.19,74.76,6.05,0.49,9.65
47.92,,7.74,20.28,9.15,,64.37,8.25,2.87,11.9
58.06,123.65,11.63,29.43,7.72,0.0,80.59,7.26,2.18,10.01
50.17,123.37,6.34,24.59,9.47,1.23,48.81,7.05,1.98,12.02
42.67,125.91,6.29,26.11,8.51,0.71,64.46,7.02,2.03,8.74
55.93,110.21,7.68,23.79,2.78,0.81,92.77,7.97,1.68,13.92
51.59,114.95,6.97,29.48,5.82,0.56,71.3,8.76,1.27,11.31
44.13,122.34,9.91,12.57,7.91,1.18,59.01,6.79,0.0,14.24
56.26,109.34,6.17,27.73,6.48,1.75,65.99,7.89,3.96,12.98
50.36,118.52,7.66,12.22,7.73,1.02,45.51,8.97,2.69,6.99
45.72,116.01,5.09,20.84,7.86,1.5,66.01,7.41,3.24,5.7
47.71,119.03,8.92,21.46,7.35,1.3,59.01,8.43,3.0,16.61
49.99,102.77,10.06,27.46,7.34,1.06,73.32,8.27,1.42,11.66
58.35,119.63,7.98,23.39,7.05,0.78,47.85,6.57,2.12,15.87
49.34,114.4,6.43,26.55,10.55,0.78,80.14,7.56,2.14,6.69
49.02,109.21,10.3,27.35,9.47,0.87,78.46,6.63,4.06,15.87
47.68,123.1,9.06,19.84,8.45,1.34,51.62,9.1,2.93,15.22
58.57,131.3,10.83,20.25,8.25,1.0,68.93,7.47,3.29,9.47
57.77,112.72,7.65,23.72,6.49,0.76,76.19,7.89,2.03,11.98
50.97,118.23,10.15,18.27,6.63,1.53,70.42,,2.42,7.38
50.11,113.6,8.56,24.01,7.6,2.07,64.12,8.1,2.6,13.34
50.0,121.23,4.25,17.85,8.64,1.51,65.38,8.28,2.58,9.53
46.54,113.56,7.15,24.56,7.29,1.19,78.06,7.83,1.87,13.71
49.45,121.99,8.39,21.8,7.45,0.36,69.65,7.79,1.21,12.81
62.62,97.52,8.03,23.24,9.29,0.56,69.34,5.94,2.71,10.35
51.85,128.98,5.5,21.65,9.11,1.14,82.06,7.14,1.7,14.61
55.31,126.73,6.22,24.03,8.28,0.81,60.61,9.23,1.76,4.62
44.43,130.53,9.72,25.26,6.18,0.53,74.04,6.24,3.39,8.99
,132.44,5.72,23.99,7.25,1.31,84.94,7.58,0.54,12.98
52.29,118.34,11.54,25.28,4.78,0.95,76.95,9.29,4.39,7.83
,117.78,8.98,16.06,7.54,0.82,64.67,10.09,1.04,14.48
59.62,106.79,9.13,19.22,7.88,0.74,69.89,8.09,3.45,14.65
57.67,130.06,9.04,12.55,4.39,0.9,54.56,7.23,3.94,12.86
57.07,113.85,6.95,18.87,7.29,0.56,78.41,8.91,2.06,14.54
53.23,102.94,7.5,26.06,8.94,0.47,62.84,8.09,2.27,12.86
55.67,118.84,8.52,27.27,,2.07,79.28,7.42,1.21,11.37
61.3,123.04,5.84,16.9,9.72,1.37,84.4,7.54,3.21,13.4
64.12,115.94,7.97,19.85,6.16,1.22,45.37,10.34,1.77,14.57
48.74,113.29,6.56,26.19,9.07,1.65,76.79,8.36,,4.84
48.76,122.91,7.66,19.14,6.3,0.38,87.37,9.42,2.09,17.91
50.71,118.67,8.12,27.33,8.91,0.94,55.9,7.38,3.07,12.52
46.0,114.97,14.56,18.84,9.3,1.17,65.95,9.9,2.61,15.19
40.48,131.46,2.31,19.18,10.08,0.89,61.34,8.42,1.13,9.43
61.96,124.66,6.96,24.53,7.19,0.81,70.51,6.79,0.0,11.06
55.5,115.14,9.83,23.71,10.04,0.61,73.23,7.17,,14.91
57.59,129.35,8.21,25.6,6.47,0.97,67.79,8.22,1.43,11.8
63.49,113.17,10.64,23.44,6.2,1.11,65.87,9.05,1.48,13.32
45.89,118.4,7.34,23.01,8.43,1.49,59.29,8.11,1.42,16.42
48.56,123.05,7.83,29.14,7.42,0.95,68.41,7.37,1.41,9.37
60.51,107.91,9.47,20.42,8.18,1.06,51.01,7.14,1.89,13.65
49.18,122.81,8.55,19.56,8.77,0.89,77.22,10.13,2.26,8.16
60.3,107.61,9.7,23.35,7.32,1.55,64.38,8.05,4.18,10.71
48.94,124.38,7.45,20.28,7.15,0.58,68.34,6.96,2.57,7.68
55.49,117.95,3.9,20.51,7.54,1.67,76.33,7.25,0.37,12.64
43.29,121.9,8.41,16.07,5.02,1.5,78.41,9.08,0.63,14.92
46.8,134.4,8.63,23.96,7.73,0.0,72.11,7.96,2.37,13.06
60.02,117.27,9.2,19.76,7.48,1.05,76.03,9.35,2.23,
53.26,132.57,9.58,23.63,10.37,1.54,82.79,7.59,0.78,12.69
54.93,126.64,6.8,18.84,9.4,1.24,77.93,8.2,2.67,8.89
63.89,106.37,7.59,22.2,7.52,0.8,70.74,8.38,2.86,12.32
55.24,120.08,10.25,14.17,7.36,0.37,65.74,,1.66,14.35
55.47,119.09,10.52,20.05,10.56,0.8,63.38,9.46,2.68,14.93
46.22,109.42,6.68,18.01,8.05,1.61,80.93,9.65,2.87,11.24
55.49,119.74,10.44,20.99,8.72,1.1,66.0,6.77,3.88,14.96
55.21,104.2,3.04,27.19,10.0,1.2,81.24,8.89,0.62,10.19
48.03,110.34,6.39,24.88,8.58,0.67,54.1,10.65,,9.83
,98.19,9.1,22.73,9.13,1.64,99.14,7.85,2.97,14.73
47.22,120.86,7.08,22.41,6.44,1.54,80.2,8.34,3.82,8.25
52.19,119.49,,20.42,5.91,0.73,56.09,8.16,0.2,10.91
46.82,107.26,8.55,25.92,6.77,2.74,64.76,8.64,0.58,12.89
53.86,106.75,6.75,23.85,8.51,1.19,72.12,8.66,2.64,15.67
52.55,104.66,12.09,18.69,5.63,0.02,66.05,8.54,0.72,12.23
52.01,117.08,7.47,23.5,9.04,0.17,85.47,9.3,1.5,16.27
55.27,117.18,5.88,22.2,5.92,0.63,56.22,7.85,3.05,11.18
45.25,103.0,6.64,22.32,11.87,0.21,78.74,8.17,3.45,12.21
54.01,115.84,9.94,27.1,6.69,1.02,80.52,10.47,2.41,9.28
50.4,120.73,7.29,13.41,6.96,1.07,80.93,7.74,0.45,10.5
42.76,118.54,6.79,25.48,9.53,0.82,69.63,9.79,2.55,13.46
50.07,117.71,9.06,23.34,8.31,0.22,72.48,9.54,3.67,17.22
61.65,113.32,6.21,23.6,7.82,0.75,63.38,,2.08,11.7
49.5,112.03,6.49,20.19,9.88,0.38,64.06,7.2,0.86,9.2
60.85,118.5,7.77,15.4,6.21,0.0,68.36,6.97,0.0,13.57
58.07,119.51,5.7,24.62,8.61,0.57,83.63,8.94,1.58,15.34
51.48,115.41,7.27,17.38,8.36,0.59,69.86,8.65,2.1,10.81
62.59,116.17,8.49,19.63,7.0,0.47,84.98,7.04,1.49,16.73
58.13,124.16,8.29,23.42,7.7,0.93,77.48,8.61,,12.18
42.89,112.45,8.94,26.79,8.74,0.58,,7.01,2.24,18.25
42.61,121.77,7.47,20.15,,1.08,81.75,8.89,3.18,6.9
58.56,122.47,11.35,29.47,8.79,2.1,,8.21,2.51,5.56
53.51,119.84,10.72,24.96,7.14,0.0,73.96,7.45,2.19,13.57
51.84,128.41,9.28,20.03,9.77,0.27,76.55,8.07,3.01,8.37
53.02,114.88,,20.15,5.64,1.37,70.95,9.63,2.19,10.07
48.61,116.14,5.26,17.68,10.72,0.92,60.43,8.47,0.39,11.07
53.43,,8.13,24.38,9.0,1.24,59.7,8.88,1.42,16.64
48.63,118.49,8.66,17.59,7.96,0.75,69.61,7.96,1.99,10.45
52.01,114.16,7.51,25.18,11.29,1.15,70.83,7.0,2.44,11.76
53.47,108.82,9.58,19.51,6.6,0.86,,7.53,1.77,9.27
48.92,107.98,7.63,21.02,7.52,0.38,51.56,6.19,3.73,
58.92,111.29,3.8,24.08,7.36,0.79,69.13,6.41,1.38,14.99
61.07,125.86,7.3,24.2,6.36,1.3,81.0,8.38,0.0,14.77
57.55,116.52,6.18,24.68,9.33,1.38,77.33,8.06,3.25,12.1
64.72,123.4,6.58,16.73,8.56,0.52,68.86,6.81,2.76,13.56
60.77,119.95,7.22,19.24,9.58,1.52,69.74,8.9,1.65,11.83
46.52,130.95,,20.77,8.15,0.81,57.13,8.22,0.0,10.1
43.88,116.74,11.37,23.4,6.94,0.87,71.68,7.43,2.58,12.06
55.7,115.42,7.57,16.38,9.42,1.26,70.24,7.34,2.25,9.18
46.01,109.06,7.44,22.58,7.73,1.1,71.62,7.09,3.58,11.75
52.64,121.97,12.01,19.94,6.14,1.82,79.65,9.4,2.45,10.8
49.18,121.91,5.4,22.82,8.96,1.29,69.96,7.94,1.79,11.43
56.93,121.82,5.13,21.47,11.24,0.98,62.52,8.01,2.66,12.27
49.81,122.56,7.15,17.55,8.63,1.24,54.01,7.53,0.45,12.15
49.03,124.68,7.39,16.32,11.11,1.18,72.88,7.26,3.43,12.36
51.57,131.92,5.56,20.94,9.13,1.62,70.31,7.85,3.06,12.22
57.29,113.4,7.34,23.44,7.66,0.27,68.88,6.86,2.15,11.17
63.22,125.07,7.71,24.13,5.91,1.9,57.56,7.42,2.41,9.43
46.29,116.99,5.12,19.87,9.11,0.92,58.38,7.37,1.52,4.75
56.42,119.53,,20.76,8.88,1.09,77.79,7.44,2.28,18.08
51.14,120.74,6.92,25.78,8.69,0.68,75.54,6.06,2.47,12.09
47.93,116.57,6.34,26.62,4.8,0.05,72.24,9.45,2.93,14.39
57.32,113.44,6.41,27.82,6.4,1.79,56.9,8.05,1.74,11.39
56.96,117.68,6.1,24.42,7.26,1.45,64.34,7.36,3.48,14.2
53.95,131.27,10.37,22.43,8.13,1.96,77.5,9.58,3.44,11.55
46.13,104.55,10.98,25.27,7.15,0.59,75.03,9.18,1.9,
46.84,122.31,9.77,21.96,6.21,1.8,57.23,7.83,1.42,12.03
66.43,116.8,7.17,27.48,8.43,1.88,73.39,7.44,3.6,7.76
57.41,112.38,8.03,20.65,7.03,0.97,67.08,6.57,2.76,14.48
45.32,120.35,7.13,16.25,8.82,1.09,67.46,8.78,2.31,14.65
54.03,120.8,9.39,24.07,8.43,0.87,66.4,7.14,0.19,19.57
49.7,141.57,4.85,27.12,7.38,1.06,90.36,8.75,,7.45
46.19,122.49,,18.71,4.82,0.75,64.77,9.12,1.45,8.73
58.25,111.1,8.62,20.59,7.46,0.6,84.42,7.72,4.79,9.53
51.59,119.9,8.44,20.43,6.96,0.82,74.08,8.43,1.85,
48.43,113.46,3.5,17.24,5.39,1.83,,6.66,2.23,12.1
47.05,116.17,10.23,25.54,8.82,1.48,70.54,7.07,1.66,11.9
34.51,111.43,9.07,15.76,5.54,1.81,73.19,8.05,1.36,11.11
55.91,108.07,7.5,24.08,8.53,0.17,77.93,7.34,1.25,12.68
,116.71,7.61,25.85,7.73,0.68,80.19,7.93,2.24,6.72
51.96,104.69,8.59,20.23,8.88,1.26,76.01,8.64,2.19,11.01
59.06,117.11,7.34,21.2,8.57,1.0,70.89,9.24,3.41,10.49
47.16,119.85,7.09,25.45,5.95,1.24,,7.96,3.93,8.61
48.45,113.19,2.52,20.56,8.19,0.41,73.17,8.29,2.65,16.93
51.63,114.71,4.78,19.57,8.89,0.66,61.7,8.28,1.4,7.13
63.13,121.62,8.65,17.8,4.4,0.84,69.79,6.92,0.73,14.94
49.89,103.86,9.93,19.96,6.01,1.07,74.92,8.96,1.35,8.64
58.47,118.82,11.56,13.43,6.12,1.54,60.17,7.77,3.04,16.64
54.24,120.37,7.6,18.26,9.17,0.91,81.31,8.97,1.95,14.39
61.63,109.85,7.79,,7.37,1.81,75.45,7.4,2.03,16.06
46.01,114.64,6.69,29.21,8.3,0.82,72.27,6.67,1.8,13.92
54.42,113.01,4.71,20.47,9.42,0.49,82.19,8.44,2.16,12.28
59.52,121.04,4.93,26.07,10.06,0.83,68.45,7.4,2.84,10.08
48.07,114.24,9.44,19.68,5.28,0.73,45.46,7.09,0.0,8.51
45.45,120.16,7.04,18.53,7.55,1.01,63.46,7.24,3.33,10.08
52.12,129.77,4.34,25.04,7.05,0.72,80.43,8.81,1.88,9.35
39.6,140.49,4.79,20.95,10.22,0.34,88.79,7.76,2.17,14.27
54.09,114.38,3.78,30.17,9.16,1.21,54.82,7.79,1.07,10.59
43.44,115.14,9.12,21.71,6.15,0.09,80.5,6.41,0.97,14.47
44.14,102.75,9.08,19.57,7.95,0.57,76.91,9.51,1.69,15.39
50.72,118.01,8.39,26.67,8.19,0.72,73.36,7.95,4.88,7.2
57.88,115.34,8.4,21.64,6.96,1.12,60.86,6.97,2.72,11.61
51.59,120.27,7.38,17.76,8.52,1.24,86.0,7.37,2.97,15.09
57.66,123.26,7.37,27.94,6.44,0.76,74.87,6.69,2.57,7.63
58.12,119.66,5.9,22.01,4.32,0.67,74.29,8.57,3.06,17.19
53.03,127.24,8.07,31.64,7.93,1.7,89.95,5.75,3.77,16.64
59.63,119.14,11.51,31.07,7.43,1.04,81.8,8.4,2.03,7.96
56.86,115.95,11.06,17.8,10.59,0.52,59.16,7.36,2.06,11.88
42.43,119.24,6.43,24.95,5.85,1.18,55.83,9.01,3.83,14.17
47.6,121.76,4.38,26.36,7.56,1.11,75.43,7.12,0.72,16.55
53.26,128.26,9.04,22.75,9.61,0.46,68.51,7.41,1.24,9.73
40.77,138.02,4.53,21.69,8.38,2.0,88.26,9.6,1.57,7.5
52.74,101.86,11.13,26.99,6.5,1.24,64.54,8.63,0.51,14.97
55.52,133.49,9.14,27.26,8.62,1.05,89.21,7.41,2.5,14.81
48.27,120.37,5.56,28.02,,2.46,78.18,7.73,3.45,9.75
56.52,116.08,8.52,22.72,7.11,1.56,76.57,8.44,3.22,13.17
58.57,127.27,9.52,21.82,7.55,0.0,79.24,8.34,2.77,5.98
47.96,113.59,7.49,20.12,7.01,0.92,75.43,7.4,0.07,16.61
49.61,108.75,6.93,27.39,5.64,0.37,84.21,7.91,1.06,11.35
57.77,120.58,8.67,16.1,7.3,0.41,80.61,8.44,2.88,10.43
57.72,113.53,7.96,23.89,8.92,0.67,72.19,7.65,3.12,12.5
49.4,121.78,5.59,17.37,8.77,1.74,48.12,8.6,3.06,7.83
47.85,122.68,6.08,22.2,6.25,1.08,66.66,9.71,1.81,10.01
46.66,116.75,4.13,23.85,9.52,0.63,68.99,9.4,3.01,7.46
49.8,122.53,8.05,27.64,10.72,1.24,78.88,5.88,0.67,12.38
36.06,123.3,8.66,15.76,10.15,0.93,53.89,8.09,0.57,12.17
55.08,118.67,7.78,23.58,7.99,0.77,67.05,7.41,1.79,13.1
53.71,133.03,7.95,29.72,9.41,1.93,64.69,6.05,1.8,6.04
56.89,119.78,8.8,19.62,5.62,0.79,61.0,6.79,3.06,11.38
57.26,108.05,8.37,18.97,7.69,1.66,56.29,7.31,2.24,9.37
47.4,118.19,8.03,12.67,7.22,0.51,75.36,7.29,2.07,12.78
50.54,119.73,9.06,25.4,7.83,0.68,88.46,9.4,2.3,16.49
44.37,128.71,10.19,17.64,8.59,0.97,62.62,9.07,1.05,7.32
50.22,118.02,9.66,24.73,7.81,1.73,57.02,7.4,2.46,9.99
59.11,119.98,5.88,,7.96,1.28,60.47,9.97,1.08,10.36
49.95,119.25,8.57,26.12,8.67,0.94,85.35,7.69,3.11,10.19
61.19,117.6,,23.63,8.69,1.58,65.92,8.56,2.81,8.86
52.35,117.98,10.71,18.37,7.3,0.82,65.08,7.44,1.86,11.38
40.75,97.37,6.69,30.03,10.23,1.65,82.08,6.41,2.68,11.47
48.33,121.5,8.6,29.88,11.34,0.6,59.73,7.9,3.4,11.31
53.93,120.18,8.31,20.32,11.01,0.68,70.62,7.21,0.11,10.73
64.17,106.22,8.87,22.53,6.62,0.99,64.45,8.4,0.28,10.69
44.51,115.76,10.51,17.17,6.17,1.71,63.38,7.67,0.62,14.78
58.48,112.11,4.21,20.89,7.89,0.44,80.18,7.11,1.09,10.47
55.55,117.18,8.47,21.93,5.08,0.61,65.49,6.08,3.42,12.14
53.2,109.35,5.57,19.17,10.43,1.06,89.02,9.23,3.56,9.13
45.24,122.52,4.73,19.96,8.82,0.43,80.93,6.49,0.14,12.91
62.79,,9.45,18.36,9.04,1.96,72.14,7.52,2.37,13.75
48.28,128.04,8.21,19.85,9.79,2.03,82.24,6.58,2.5,14.55
56.15,112.33,,25.68,,0.97,75.72,8.33,2.17,8.86
52.21,114.04,7.36,23.78,6.42,0.86,58.5,7.09,2.99,12.93
46.19,109.05,9.02,25.71,6.24,1.36,51.68,9.04,1.69,9.84
44.5,117.11,12.5,26.81,7.45,0.68,85.08,10.1,3.03,10.83
53.43,99.68,13.19,21.59,7.91,0.91,,8.2,2.32,11.61
44.4,102.82,8.97,18.8,8.7,1.16,68.52,,1.54,12.05
60.94,117.8,6.77,25.65,7.11,1.42,67.5,8.62,0.98,14.02
62.72,125.19,5.91,21.93,6.89,0.6,66.16,8.83,2.55,11.62
55.5,142.21,8.51,27.83,8.95,0.25,76.03,7.23,0.96,8.23
59.59,123.43,9.57,19.06,8.02,1.18,88.03,7.74,0.43,11.82
54.96,106.42,8.29,,9.69,1.4,56.62,8.82,1.05,10.6
38.3,103.9,7.41,26.14,12.57,0.58,,10.27,,15.07
52.44,122.12,4.66,28.14,5.46,0.65,67.29,7.81,2.31,14.72
56.14,113.51,7.26,20.55,6.56,1.05,66.2,7.84,0.61,12.13
59.8,121.17,8.62,14.78,8.18,1.67,47.81,,1.47,15.74
42.98,117.59,7.04,28.27,9.11,1.03,74.2,,3.29,13.34
