performance_score,projects_completed,weekly_hours,training_hours_yr,salary_lakh,promotions,attendance_pct,satisfaction_score,years_experience,team_rating
93.37,21.14,53.27,83.93,24.82,2.94,95.85,4.73,8.83,4.73
85.78,,46.88,76.55,18.36,3.63,95.29,4.17,7.94,5.0
93.87,16.88,38.87,68.92,30.94,2.95,97.77,4.03,9.12,4.3
92.59,17.18,45.11,66.55,23.89,3.46,93.29,3.88,8.21,4.4
88.86,20.09,45.29,69.84,27.24,1.59,97.6,4.56,9.8,4.43
99.32,15.49,55.44,91.5,27.15,2.57,97.43,3.93,6.73,4.57
96.48,17.86,49.17,83.45,26.25,2.77,95.89,4.23,6.95,4.97
99.12,19.44,53.75,91.38,26.14,1.69,100.0,4.35,6.67,4.55
93.12,14.47,44.51,79.53,20.78,3.08,100.0,4.26,9.33,4.99
82.34,18.44,45.67,,33.11,2.11,97.16,4.02,5.55,5.0
99.66,17.23,44.82,75.36,27.76,2.16,100.0,4.93,11.73,4.0
95.03,15.85,49.16,82.61,23.94,3.73,95.67,3.88,8.46,4.42
89.14,16.2,46.01,84.83,29.26,2.74,96.37,4.04,5.44,4.71
92.17,16.81,44.36,74.47,33.47,2.72,,4.14,9.79,4.48
86.42,18.06,46.93,84.17,37.32,,96.74,4.24,9.5,4.89
92.22,20.51,45.71,77.08,38.07,3.42,95.3,4.1,8.31,4.44
85.64,15.17,50.53,91.23,24.32,4.58,99.69,,9.63,4.4
94.36,16.62,45.48,79.43,23.63,2.79,96.88,3.84,6.91,4.41
88.04,18.58,35.75,72.04,26.7,2.63,93.93,4.03,4.79,4.8
83.29,17.71,43.23,83.66,25.76,1.89,99.98,4.3,8.98,4.66
98.39,18.73,52.6,59.46,35.19,2.64,98.74,3.97,,4.95
87.56,17.09,42.18,84.83,30.33,3.03,96.88,4.64,7.64,4.25
100.0,17.14,47.22,96.84,28.69,1.33,95.91,4.2,7.71,4.68
86.22,18.13,,100.07,30.63,3.94,96.6,,9.01,4.65
90.12,16.69,45.52,70.56,26.77,3.66,93.26,4.25,4.84,4.16
88.63,16.69,45.55,80.35,27.93,2.08,95.65,,10.74,5.0
88.14,13.69,50.81,84.52,20.54,3.85,100.0,4.35,7.69,4.32
96.21,17.37,52.0,,29.83,2.03,96.81,4.39,7.4,4.56
90.29,20.66,48.83,77.11,29.93,3.17,93.24,4.29,9.63,4.54
97.62,20.53,44.42,92.63,27.01,0.97,96.0,4.21,8.59,
96.39,15.8,53.04,75.91,26.09,,96.7,4.19,12.42,4.4
84.99,18.32,49.39,44.23,26.4,2.36,96.43,4.62,8.39,4.99
91.6,20.94,43.65,91.35,19.87,2.9,96.4,3.83,7.52,4.67
94.88,15.48,53.12,77.14,32.33,3.28,99.32,4.72,6.69,4.44
89.79,18.13,55.99,82.13,26.21,3.11,93.52,4.18,13.23,4.55
89.07,14.99,52.18,72.49,28.04,4.0,99.69,4.29,9.98,4.73
91.87,16.02,48.61,71.67,29.37,1.82,94.13,4.59,8.01,4.47
98.65,18.62,48.44,63.9,26.25,1.82,96.86,4.07,6.58,4.79
93.42,15.03,50.41,85.25,32.63,2.24,95.64,4.17,9.52,4.18
90.29,15.88,44.64,82.64,33.32,3.65,98.34,4.58,7.69,4.65
93.47,15.82,43.2,85.5,27.56,,98.27,4.13,5.78,4.8
97.18,17.14,46.64,67.81,32.17,2.27,94.68,4.51,6.2,4.7
89.91,16.86,46.13,77.35,23.62,2.85,95.96,4.64,7.54,4.68
89.74,16.42,43.74,72.07,24.39,2.76,98.04,4.18,8.07,4.13
90.34,18.63,44.16,99.42,31.72,2.9,95.69,4.02,7.01,4.29
98.94,20.97,55.25,79.03,27.4,2.16,100.0,4.37,8.63,4.77
89.4,16.45,47.57,69.49,26.77,2.47,97.81,3.8,10.45,4.77
94.37,17.61,47.18,72.93,30.25,2.1,100.0,4.5,6.9,3.94
87.64,19.66,41.14,89.16,27.11,2.18,96.23,4.33,7.96,4.5
96.51,18.0,53.67,81.44,26.23,2.25,98.55,3.71,7.12,4.56
91.68,20.57,43.94,69.71,28.96,1.67,97.77,4.47,11.02,4.7
92.52,16.1,53.38,77.81,28.47,4.07,96.01,4.06,7.11,4.65
90.32,19.94,41.92,79.37,30.75,3.27,100.0,4.69,5.35,4.99
91.7,18.9,50.95,76.95,22.47,2.83,95.09,4.34,5.17,4.66
96.93,21.11,40.73,85.03,25.81,3.03,98.68,4.39,5.5,4.82
96.07,21.55,44.49,89.99,23.03,3.35,99.39,3.73,9.49,4.37
90.9,15.97,43.89,86.05,26.0,2.96,98.61,,7.63,4.6
93.19,16.38,49.14,79.36,31.5,,99.5,4.15,6.39,5.0
95.59,16.08,50.53,84.1,25.29,,,4.87,9.05,4.77
94.06,17.74,39.65,67.16,26.6,2.39,98.97,3.94,7.19,4.81
90.08,21.3,57.33,90.96,32.45,3.03,93.75,4.28,8.01,4.87
83.05,19.66,40.24,88.87,21.98,2.89,95.6,4.21,6.84,4.73
90.27,,52.11,81.94,25.97,2.53,98.69,4.01,9.03,4.19
91.75,17.62,52.35,81.65,29.94,,96.71,4.3,11.47,4.74
97.53,17.42,45.12,86.26,34.23,2.21,93.63,4.92,11.54,4.86
95.1,19.42,51.4,80.66,30.96,4.05,97.78,4.34,10.37,4.51
81.56,20.89,49.01,60.41,22.93,2.3,100.0,4.33,4.22,4.53
94.27,19.48,50.03,90.85,21.18,3.0,98.46,3.93,7.65,4.01
90.28,17.42,52.27,,27.7,2.95,99.03,3.98,7.68,4.31
97.78,17.66,44.27,81.15,25.45,3.58,94.18,3.72,7.6,4.55
92.89,18.84,50.43,73.63,33.06,3.27,97.27,4.24,5.64,4.44
96.25,18.03,49.96,79.8,28.11,3.94,96.4,4.68,9.4,4.12
91.43,16.65,,73.24,22.19,2.43,97.12,3.91,6.42,4.41
94.12,20.39,47.17,89.5,21.4,3.58,95.56,4.78,8.28,4.67
86.79,17.12,49.99,86.28,29.84,4.02,96.45,4.37,9.05,4.05
92.67,17.9,51.42,63.61,27.03,4.2,100.0,4.24,9.23,4.1
82.91,21.19,51.27,68.83,32.97,4.1,95.9,4.16,6.66,4.09
95.68,14.13,47.24,70.27,33.3,3.32,98.55,4.53,10.6,4.66
91.8,17.33,46.5,78.14,26.55,2.4,99.37,3.62,5.66,4.69
96.62,17.74,51.4,91.37,30.43,2.8,96.63,4.28,9.61,4.75
87.99,,49.63,81.5,27.19,3.15,100.0,4.34,9.33,4.61
89.8,20.86,52.18,88.88,27.48,3.2,95.28,4.51,7.31,4.8
89.29,19.74,46.36,79.74,25.34,2.45,98.23,4.47,9.37,4.58
86.91,16.76,39.95,73.15,26.5,5.22,97.55,4.42,4.2,4.58
84.98,16.2,45.79,83.29,19.2,4.16,95.19,3.67,10.58,4.31
90.96,17.49,49.76,64.95,26.41,2.84,97.63,4.29,7.1,3.96
96.92,17.79,54.12,65.27,26.67,3.28,96.02,3.98,7.27,4.44
90.65,19.62,47.52,,30.41,2.65,96.22,3.92,14.69,5.0
84.9,21.22,54.33,81.7,36.41,2.08,98.31,4.62,8.79,4.38
95.35,18.8,45.96,77.41,23.89,3.66,95.3,4.71,5.37,4.06
89.39,18.62,50.23,82.44,31.88,2.82,99.8,3.95,7.45,4.26
95.39,17.89,45.73,60.99,27.24,2.79,97.19,3.99,9.73,4.83
89.81,19.26,45.43,76.95,25.64,3.9,96.48,3.51,4.72,4.46
90.26,18.57,46.98,66.73,24.44,3.31,95.17,4.07,8.55,4.9
92.22,15.31,,64.29,29.05,2.29,100.0,4.29,9.57,4.08
98.34,17.16,40.67,82.32,32.46,4.91,99.14,3.75,5.09,5.0
94.55,17.34,47.16,83.55,25.64,3.67,100.0,3.26,7.64,4.43
92.75,16.3,48.72,82.16,20.99,2.86,96.09,4.22,5.21,4.63
83.52,17.73,48.01,79.27,28.38,2.56,95.19,3.88,5.52,4.22
88.13,19.48,50.14,78.39,30.74,2.79,95.23,4.79,4.23,4.95
93.35,16.92,52.21,73.31,31.09,2.51,96.34,3.85,5.02,4.45
92.74,19.77,40.87,112.06,24.53,,95.85,3.91,8.08,
94.29,16.28,48.36,70.73,32.25,3.65,95.86,3.98,9.85,4.29
93.83,19.16,48.75,75.69,32.82,2.92,96.67,3.72,9.32,4.84
89.05,15.8,41.78,89.62,31.13,1.95,95.03,3.74,8.96,4.74
86.87,20.08,53.08,86.17,31.05,2.66,98.06,4.29,11.1,4.22
100.0,20.24,50.67,83.04,35.93,3.45,97.61,4.36,6.63,3.72
91.46,18.96,55.45,78.33,25.78,3.43,99.78,3.67,10.3,4.43
88.6,19.47,48.68,72.17,22.11,2.72,97.9,4.22,7.19,4.88
100.0,17.0,46.33,72.76,24.46,2.91,97.52,4.15,8.14,
81.46,,49.34,71.46,27.28,2.24,97.18,3.53,7.31,4.51
94.65,16.1,41.32,87.53,32.69,1.46,96.67,4.36,8.82,4.11
91.21,13.98,59.03,82.96,25.65,2.72,99.78,3.9,8.35,4.7
90.06,20.27,44.32,78.97,33.57,1.72,96.88,4.56,10.29,4.72
86.19,20.96,50.59,88.92,23.19,3.35,97.65,4.42,13.83,4.7
93.8,17.07,45.11,91.24,25.35,3.61,98.26,3.89,6.44,4.02
92.42,13.62,47.17,82.78,25.62,2.94,100.0,4.62,9.35,4.88
94.55,17.62,55.0,72.37,37.22,2.68,95.69,4.2,9.9,4.12
95.66,18.4,49.93,75.57,31.44,3.71,99.4,4.05,4.72,4.86
88.23,18.03,49.2,95.53,23.65,3.47,96.28,4.17,8.72,4.73
92.98,17.11,53.03,,26.16,,96.14,4.54,10.9,4.11
90.53_err,17.47,50.66,95.43,23.3,3.32,90.38,4.53,8.6,4.33
93.07,21.24,44.69,84.35,24.29,1.91,97.16,4.29,9.56,4.5
95.66,17.12,42.47,70.21,28.29,3.59,,4.2,7.7,4.77
97.86,19.52,48.73,74.91,21.62,3.08,,4.73,9.11,4.4
92.27,19.33,46.24,97.04,26.75,4.68,96.02,4.19,4.44,4.38
95.11,18.69,43.4,85.81,30.97,1.89,95.52,3.91,5.77,4.49
94.16,16.33,48.15,85.03,28.79,3.4,,4.4,6.02,5.0
94.85,17.83,47.2,99.53,25.7,3.51,97.75,4.26,7.71,4.66
94.6,18.09,50.55,58.15,34.39,3.05,96.36,3.84,10.23,4.48
90.14,17.48,52.83,77.78,33.34,4.73,96.22,4.09,8.34,4.68
90.3,17.09,52.86,73.65,29.72,3.7,97.41,4.49,8.77,4.48
90.63,15.16,47.03,62.88,23.7,2.8,99.53,3.47,7.41,4.63
92.38,15.56,43.87,91.1,20.49,2.22,97.31,4.17,8.67,4.33
95.33,16.18,44.42,69.54,30.24,2.89,98.91,4.26,7.85,4.26
84.96,20.24,41.98,74.76,24.9,4.57,99.58,4.45,7.68,4.63
89.56,17.36,,77.65,30.37,3.63,97.24,5.0,9.11,4.89
92.55,17.07,41.49,74.2,18.34,3.61,97.37,3.59,10.2,4.4
91.73,18.14,50.57,94.15,28.26,3.03,96.63,4.17,11.36,4.46
95.93,16.21,41.4,83.39,24.73,3.53,95.67,4.23,7.74,4.68
86.69,18.06,51.62,66.29,32.5,4.69,96.88,4.2,8.08,5.0
90.95_err,16.45,45.61,77.49,27.25,2.45,97.07,3.96,6.36,4.04
94.5,19.45,54.88,85.2,25.64,2.88,98.69,4.25,8.59,4.26
93.01,15.04,47.49,79.45,40.09,3.31,95.13,4.79,12.73,4.62
86.58,16.41,51.42,72.62,32.52,1.22,96.84,3.9,7.07,4.82
93.29,18.83,49.02,94.04,27.57,2.23,98.34,4.15,8.25,4.48
90.15,16.59,45.22,90.71,32.0,2.3,93.81,4.4,8.81,4.82
91.45,18.1,46.21,71.18,26.21,1.73,99.33,4.66,5.39,5.0
86.21,15.37,47.41,99.99,32.6,3.45,96.29,4.26,9.24,4.22
99.33,19.68,51.33,89.5,27.83,3.08,96.79,3.84,5.44,4.61
97.79,19.29,58.02,92.52,28.91,2.66,,3.94,5.04,4.01
94.28,20.88,54.48,66.22,30.97,3.52,98.22,4.57,10.29,4.72
87.83,15.18,44.43,92.82,34.84,1.67,94.83,4.14,12.98,4.29
94.0,16.4,51.23,64.5,36.64,2.49,96.03,4.23,11.38,
94.13,13.18,,94.42,21.28,1.34,96.4,4.04,9.34,4.43
93.28,18.02,48.81,77.01,25.73,3.52,96.33,4.59,6.99,3.56
93.14,17.99,50.09,81.45,29.22,3.0,96.17,4.06,8.08,4.24
92.25,19.5,53.15,84.82,23.44,2.13,,4.6,9.94,4.33
89.93,15.63,44.76,81.12,25.56,2.26,96.76,4.27,6.21,4.57
91.89,14.18,41.06,68.67,27.0,1.92,99.2,4.14,6.15,4.69
93.78,17.93,52.42,78.59,27.15,1.58,96.56,4.31,5.32,4.82
88.65,21.83,47.33,87.72,28.58,3.2,97.9,4.47,10.76,4.74
91.71,14.77,50.18,60.16,31.95,3.18,98.3,4.21,7.31,4.6
96.28,19.48,52.64,80.05,27.65,2.38,99.06,4.23,9.01,4.4
91.37,15.7,49.34,74.18,29.12,2.4,94.32,4.57,8.67,4.76
94.97,16.81,49.63,77.08,27.99,2.52,96.14,3.84,5.73,4.76
90.26,19.58,47.6,85.68,18.76,3.35,97.18,4.51,5.97,4.31
93.63,19.45,47.73,72.57,23.32,3.78,96.68,4.28,5.96,4.86
96.2,15.13,49.37,52.76,28.49,0.95,95.37,4.6,8.87,4.18
,17.34,45.53,86.89,30.04,2.65,96.98,4.85,7.78,4.99
98.19,19.94,47.46,80.16,24.48,2.5,98.9,4.74,4.11,4.52
92.15,15.75,49.34,70.18,26.59,2.4,98.72,4.46,8.57,5.0
99.26,13.95,37.79,85.89,29.49,3.75,96.35,4.09,6.6,4.51
87.8,20.6,46.59,71.25,30.55,1.62,94.03,4.1,6.44,4.02
87.43,17.15,51.84,65.99,33.82,4.71,99.46,4.08,9.4,4.63
95.74,16.69,53.16,80.67,27.69,3.55,100.0,4.15,5.8,4.84
89.1,14.19,43.77,81.39,31.58,3.7,93.73,3.99,6.25,4.15
94.39,16.93,47.21,84.66,22.9,3.62,95.08,4.73,8.4,5.0
,,41.24,91.54,28.43,2.01,95.81,4.15,6.04,4.32
94.03,17.12,45.09,70.3,24.77,3.4,95.5,4.67,7.6,4.66
94.12,16.92,53.72,84.03,26.68,3.48,97.12,4.15,4.26,4.59
93.61,19.76,45.08,74.21,21.58,,94.7,4.85,7.45,4.86
94.16,18.47,50.12,56.65,28.45,2.94,98.55,3.82,10.52,4.19
89.95,16.99,48.95,86.86,34.28,1.83,96.35,4.64,9.98,4.89
92.27,20.8,44.65,72.99,31.87,3.41,96.32,4.19,,4.59
90.69,22.08,43.04,78.41,29.16,1.94,97.75,4.85,9.81,
90.57,17.75,55.79,87.2,30.17,2.52,93.61,4.0,8.66,4.3
86.34,17.91,52.8,81.28,29.1,3.9,97.69,4.02,5.87,4.6
95.41,18.27,46.8,84.56,27.24,4.61,92.98,4.13,7.82,4.87
94.27,16.17,48.44,74.3,31.95,3.4,96.5,4.44,8.65,4.85
92.21,18.23,44.88,92.25,23.48,3.5,96.65,4.15,7.92,4.1
90.06,15.81,46.13,85.05,30.05,3.96,99.4,4.1,8.63,4.51
96.62,13.88,44.67,77.73,21.0,2.01,95.32,4.3,10.07,4.31
90.48,16.5,52.8,,29.9,3.2,95.7,3.56,5.17,4.26
92.14,19.51,47.4,85.95,19.44,2.12,93.01,3.91,8.95,4.55
94.8,18.72,43.38,91.4,27.11,3.06,96.95,4.13,6.74,4.8
94.03,18.4,46.35,71.75,22.5,2.44,99.25,4.1,11.71,4.63
94.88,16.83,45.35,69.82,30.12,4.23,94.43,4.27,10.13,4.4
86.8,15.86,50.76,,31.71,2.55,92.47,3.93,7.28,4.57
94.73,18.19,50.88,93.51,27.52,3.99,96.17,4.73,8.31,4.2
91.83,13.51,45.33,86.37,29.88,2.9,97.22,4.04,8.16,4.48
93.76,21.42,43.74,71.4,28.21,3.65,95.36,3.91,11.98,4.22
98.9,19.79,,85.53,,2.9,97.54,4.13,9.22,4.39
88.69,23.91,44.29,79.75,28.43,3.42,96.53,3.77,9.94,4.01
92.96,19.17,50.36,91.13,31.62,3.23,100.0,4.87,9.29,4.6
86.94,17.65,42.45,87.3,25.98,3.83,96.67,4.36,8.25,4.48
93.56,18.44,47.95,78.86,32.07,4.23,97.78,4.2,7.89,4.21
87.5,17.15,44.81,78.43,35.9,3.55,97.17,4.82,8.1,4.38
84.7,19.97,49.57,81.01,27.65,2.89,97.14,4.27,9.85,4.51
92.53,16.38,44.3,84.44,28.89,3.52,96.82,4.26,9.19,4.64
94.98,18.82,39.14,67.13,29.53,,98.24,4.36,8.99,4.53
83.81,15.56,46.8,74.97,28.46,2.5,95.26,4.19,10.21,4.65
95.05,22.44,44.95,79.64,27.71,2.38,96.56,4.01,8.7,4.19
94.89,18.13,43.16,82.25,36.64,,98.85,3.98,8.24,4.7
91.6,15.87,49.37,70.23,22.48,,96.02,3.84,8.61,4.52
93.84,16.83,44.29,82.16,38.17,2.54,99.73,4.26,8.27,4.18
94.24,19.93,51.33,74.32,27.41,3.73,94.09,4.32,7.94,4.99
91.36,20.54,41.42,77.24,29.82,2.24,95.46,4.16,6.12,
96.94,16.83,49.57,68.65,24.61,3.24,100.0,4.51,6.35,4.32
94.4,17.41,54.02,91.49,27.34,1.34,97.59,3.68,11.8,4.56
90.34,13.34,50.76,74.26,17.13,1.97,95.92,4.58,7.69,4.43
83.7,18.37,36.67,96.1,28.49,1.82,95.12,4.3,8.31,4.87
92.68,21.65,44.3,62.8,23.4,2.35,98.69,4.33,6.66,4.35
90.32,19.88,53.74,67.2,29.28,2.57,100.0,4.37,8.32,4.59
94.29,18.39,48.69,72.12,29.05,1.3,91.97,4.36,9.74,4.51
90.44,18.56,51.72,100.1,28.63,1.83,95.46,4.44,9.55,
98.12,20.85,46.72,102.47,27.25,3.31,99.0,4.72,9.8,3.92
88.52,13.79,43.23,94.61,22.77,3.8,93.13,4.42,12.43,4.81
89.93,15.13,44.69,85.4,19.93,2.59,98.38,4.32,8.02,4.68
,21.42,51.24,88.36,24.38,2.36,92.72,4.82,11.11,4.24
93.52,15.63,52.72,59.89,32.18,3.3,93.91,3.7,10.94,4.88
89.93,18.86,46.15,,31.48,2.58,99.32,3.62,6.49,4.07
84.1,,51.57,76.32,28.98,1.38,96.07,4.82,5.16,4.54
89.61,16.65,60.77,76.32,25.35,3.01,95.36,4.23,3.5,4.69
89.82,17.75,43.72,91.43,39.45,1.96,99.35,4.16,9.09,4.75
88.23,18.39,44.3,88.01,29.61,3.83,93.45,4.85,8.28,4.77
100.0,16.79,46.55,79.1,29.67,2.68,98.37,4.23,8.8,4.62
89.38,16.49,49.3,86.32,35.69,2.72,98.76,3.94,7.41,4.23
90.13,16.38,46.81,97.19,28.91,2.9,97.51,3.87,10.26,4.54
81.28,19.33,51.34,80.98,27.2,2.23,97.05,4.43,4.59,4.1
91.21,16.09,45.63,93.79,29.4,2.62,96.18,4.14,8.92,4.39
91.4,18.42,41.75,86.69,31.01,2.01,96.08,4.43,10.51,4.45
89.2,16.71,50.88,87.25,28.56,3.42,97.43,4.5,11.08,4.44
91.18,19.06,45.79,74.56,23.42,1.97,96.73,4.59,5.2,5.0
91.14,18.09,46.85,74.09,37.11,,97.92,,11.57,4.01
89.35,14.78,46.42,70.35,25.15,1.84,98.66,4.79,7.78,4.14
100.0,18.05,51.89,69.27,32.08,3.13,93.92,4.32,8.5,4.7
90.75,17.03,45.63,78.52,24.02,3.27,95.33,,6.59,4.23
89.09,20.22,46.01,66.37,32.38,3.58,,3.9,6.61,4.6
88.35,19.53,42.15,79.71,33.29,2.25,97.93,4.74,6.7,4.82
95.17,20.04,52.16,82.67,24.33,3.88,93.75,4.09,4.3,3.33
93.33,18.89,44.85,80.4,27.81,4.05,98.53,4.5,8.59,4.27
84.02,14.85,46.78,73.36,28.0,2.83,-10.0,4.13,9.27,4.47
94.81,18.55,44.03,69.0,28.48,1.94,95.72,4.19,8.52,4.47
90.83,14.46,45.09,87.34,31.75,2.43,95.87,4.42,6.39,3.97
94.62,13.9,52.48,88.1,25.81,4.25,95.97,4.21,6.26,4.38
94.59,16.94,46.8,72.21,25.47,2.9,97.84,4.55,6.22,4.78
95.3,16.6,46.58,86.24,30.38,2.82,98.48,4.45,8.25,4.51
94.08,14.99,47.51,77.59,29.57,2.66,97.89,4.26,8.82,4.43
85.54,18.23,51.98,61.45,34.63,2.3,98.19,4.52,8.6,4.84
89.16,18.2,52.5,93.07,30.43,2.23,97.62,4.11,6.74,4.65
96.61,18.73,41.15,73.23,23.5,1.42,95.76,4.74,5.38,4.78
88.83,19.68,52.47,,27.98,3.08,99.64,3.94,8.56,4.53
96.0,18.91,57.42,92.21,35.46,2.56,,3.78,8.69,5.0
96.14,19.77,40.65,81.5,25.54,3.07,98.91,4.15,8.12,4.26
89.71,18.41,52.15,72.94,29.98,3.88,95.81,4.34,5.22,4.55
89.74,17.08,52.92,,30.74,2.71,95.19,5.0,9.46,3.97
90.93,22.14,54.1,99.93,29.03,2.53,99.41,4.18,4.35,4.27
89.34,19.38,44.68,81.99,24.73,2.79,98.3,4.5,11.14,4.6
92.57,17.54,49.96,81.64,25.57,3.29,96.64,4.45,9.41,4.36
87.07,17.41,50.79,65.86,21.84,2.89,95.61,4.12,8.95,4.59
89.06,21.81,50.09,67.9,29.99,2.12,98.43,4.46,6.55,4.52
90.76,22.24,40.96,86.67,19.94,2.95,93.33,4.68,8.36,4.32
92.16,15.62,58.19,72.29,30.0,2.83,97.44,3.96,4.45,4.43
89.58,19.62,48.79,69.28,23.0,3.82,96.95,4.2,9.98,4.48
90.91,17.12,47.04,77.41,28.52,3.44,99.08,4.55,8.56,4.51
89.9,16.56,50.58,72.71,30.63,5.05,93.89,4.04,4.22,4.32
97.12,16.07,46.54,85.09,30.76,2.25,97.24,4.2,8.76,4.6
92.52,17.45,45.49,82.02,27.68,3.22,99.12,4.45,7.92,4.49
97.34,17.07,47.27,91.43,20.5,2.99,95.47,4.29,11.02,4.29
98.32,17.75,45.51,69.55,26.76,2.59,93.33,3.99,11.34,3.96
94.04,18.31,47.02,,34.01,3.47,96.84,4.5,8.19,4.64
90.06,20.21,48.32,98.81,29.35,1.06,97.93,4.14,3.56,4.18
94.57,15.37,45.01,93.55,36.61,2.23,96.84,4.68,8.22,4.32
88.35,21.0,52.22,108.77,28.77,3.37,94.7,4.76,7.1,4.64
95.17,15.62,48.79,74.69,26.96,3.67,95.17,3.97,4.91,4.73
90.94,17.52,50.82,68.8,33.48,3.0,96.23,4.34,8.58,4.41
93.19,20.11,61.64,69.88,33.54,2.46,98.68,4.25,7.65,4.61
93.47,19.99,47.08,85.64,32.31,3.03,100.0,3.99,11.38,4.71
100.0,21.91,44.23,79.78,28.46,2.92,94.29,3.97,6.62,4.8
93.58,17.97,51.6,77.85,27.02,2.87,96.54,3.5,9.5,4.5
99.61,18.74,48.92,77.98,31.46,4.29,98.42,4.63,7.43,3.63
93.25,16.29,57.52,80.77,29.06,3.14,98.2,3.7,9.65,4.29
91.02,14.32,43.52,70.64,24.08,2.78,96.18,4.18,8.07,4.75
92.25,19.36,44.53,90.07,31.61,1.98,96.67,3.84,7.39,4.71
94.82,13.17,46.21,84.78,19.98,3.21,95.6,4.02,9.96,4.21
90.35,18.21,49.94,97.52,24.35,3.01,100.0,4.04,6.33,
90.48,14.49,46.26,75.56,32.35,3.24,96.76,3.43,7.35,4.81
95.45,21.75,45.0,71.22,24.17,4.22,95.83,3.92,8.97,4.65
90.99,20.16,52.29,91.33,22.25,,99.35,4.31,10.04,4.37
89.35,19.98,51.92,82.39,28.3,1.47,95.59,4.36,6.84,4.12
93.47,15.54,47.87,64.82,27.6,3.04,97.0,3.84,7.66,4.46
91.06,18.0,46.95,73.53,20.11,2.83,100.0,3.92,5.28,4.37
92.5,14.9,48.87,73.98,30.71,1.68,94.69,4.33,6.59,4.17
88.33,14.66,50.71,79.13,29.8,3.56,100.0,4.73,8.4,
94.3,17.3,47.2,87.91,23.87,2.35,98.8,3.23,9.17,4.1
84.29,19.35,54.29,72.02,27.54,3.59,96.9,3.8,10.68,4.52
94.41,17.19,53.78,78.75,26.63,1.73,98.59,4.08,5.67,4.37
87.71,16.57,45.8,80.28,25.98,3.07,94.52,4.36,10.87,4.41
93.33,17.57,48.94,75.76,24.83,3.05,97.6,4.27,9.93,4.31
,18.96,43.77,87.5,27.12,2.62,94.65,4.38,10.29,
87.59,19.36,45.1,88.76,29.91,3.21,94.5,4.39,6.94,4.63
85.72,14.48,48.94,,23.86,2.37,96.75,4.3,11.29,4.07
,21.05,40.9,78.61,20.87,3.01,95.65,4.38,7.5,4.55
95.38,15.92,46.87,80.84,31.24,,100.0,4.03,5.32,4.25
85.31,18.28,44.99,,32.48,1.72,95.99,4.29,8.21,4.27
89.55,13.91,50.53,61.94,27.51,3.2,100.0,4.5,7.66,4.54
91.04,20.24,42.64,89.7,27.91,2.86,95.03,3.81,5.17,3.91
90.61,18.05,44.58,66.94,24.34,3.77,96.59,4.13,10.87,4.53
89.72,18.89,58.33,86.47,24.22,2.08,98.43,4.05,5.08,4.21
91.83,14.56,44.84,80.62,27.78,3.4,98.99,4.08,10.5,4.31
93.56,18.41,45.91,86.38,22.59,3.13,94.75,4.1,4.7,4.42
98.14,15.67,48.73,64.65,30.86,3.67,95.85,4.0,14.02,4.43
89.36,18.78,43.88,82.29,26.9,3.47,99.23,4.26,11.3,4.91
89.71,,45.26,90.69,29.24,2.11,94.77,4.39,11.0,4.43
86.21,18.36,51.53,77.11,30.2,2.4,96.42,4.02,8.71,4.09
84.61,19.24,44.87,85.19,21.52,2.96,97.49,3.76,8.23,4.08
90.34,18.1,44.74,63.82,25.7,3.32,99.11,4.0,7.13,4.88
90.35,19.03,47.95,80.69,27.65,2.45,96.57,4.4,7.25,4.03
88.49,20.07,48.56,89.75,25.52,3.82,96.81,3.54,11.09,4.22
84.23,18.13,51.2,87.41,28.12,2.31,96.19,4.19,5.59,4.54
96.3,16.9,55.68,74.55,26.36,3.59,96.16,4.56,6.14,3.81
94.76,15.52,44.0,102.09,34.29,2.85,99.04,3.97,6.94,5.0
88.62,17.38,47.28,67.9,21.03,3.32,96.6,4.35,7.16,4.4
100.0,17.82,42.61,74.8,28.13,3.49,97.5,4.65,5.9,4.63
90.35,16.77,49.37,74.89,27.54,2.46,97.37,3.55,7.07,4.86
86.24,18.96,53.85,81.77,32.99,3.24,94.74,4.24,7.44,5.0
95.32,,44.12,99.02,26.87,2.97,96.6,4.49,4.46,4.89
89.42,18.97,42.94,79.75,26.76,4.89,96.78,4.25,6.58,4.56
87.64,18.68,47.78,75.56,24.83,3.82,99.33,3.67,5.92,4.48
86.54,20.04,41.07,78.17,20.45,4.51,100.0,5.0,8.77,4.59
85.98,16.48,48.17,76.26,28.1,3.2,98.43,3.81,7.94,4.53
86.61,17.25,47.84,102.39,27.84,2.53,100.0,3.74,9.53,4.63
92.76,21.5,48.99,71.03,20.13,2.08,95.97,4.02,7.58,4.32
99.39,22.6,47.55,87.13,34.42,3.39,97.53,4.1,5.7,4.28
92.42,21.18,50.38,88.87,28.71,2.88,95.79,3.8,9.84,4.39
86.38,17.89,47.06,77.29,21.12,2.8,96.11,4.37,5.48,4.7
91.19,18.54,42.24,67.88,,2.42,96.0,4.25,9.21,4.41
88.82,15.56,46.97,88.9,24.3,3.88,96.43,4.3,3.86,4.59
95.43,18.51,48.49,75.07,23.66,2.64,96.59,4.26,6.03,4.57
86.6,19.79,44.29,70.46,31.44,3.19,97.29,3.67,5.95,4.5
91.14,16.45,48.19,85.84,25.95,4.06,98.13,4.35,6.98,4.46
94.34,17.54,50.64,68.91,25.79,2.2,95.6,4.38,8.93,4.41
94.09,17.88,46.75,75.31,31.11,3.5,96.08,3.84,5.57,4.21
