fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,alcohol,high_quality
15.2,0.29,0.11,10.7,0.05,70.9,20.8,0.9997,3.96,13.3,1
9.1,0.67,0.96,,0.061,18.0,67.3,0.9989,3.75,9.9,1
12.6,0.44,0.12,6.9,0.088,42.4,145.3,1.0037,3.09,10.0,1
7.4,1.07,0.32,8.7,0.05,39.8,80.9,1.0017,3.24,12.4,1
7.2,0.19,0.31,8.9,,7.1,253.6,0.9932,3.38,13.7,1
13.3,,0.86,8.6,0.186,58.3,271.9,0.9958,3.29,14.1,1
7.0,0.24,0.8,5.1,0.156,71.3,26.1,0.9987,3.23,11.7,1
6.4,0.74,0.1,12.4,0.1,35.6,186.5,0.9925,3.73,8.7,0
12.8,0.56,0.36,,0.03,4.5,101.9,1.0022,3.17,11.8,1
12.7,0.78,0.89,4.0,0.123,63.6,148.7,0.9933,3.39,14.3,1
11.0,1.24,0.75,9.7,0.192,18.4,179.9,1.0022,3.64,13.0,1
12.8,1.12,0.3,13.4,0.122,63.5,178.7,0.9924,3.41,,1
14.6,1.37,0.08,9.4,0.058,61.5,143.3,,3.35,10.3,1
9.7,1.02,0.65,2.7,0.149,47.4,54.6,0.9996,3.31,10.3,0
9.1,1.05,0.33,2.1,0.101,63.6,132.0,0.9993,3.82,13.1,0
8.8,1.37,0.9,10.6,0.062,4.4,220.0,0.9969,3.72,8.0,0
7.6,0.11,0.21,7.2,0.174,61.0,94.7,0.9926,2.92,,0
10.2,1.0,0.35,12.6,0.131,30.1,271.7,1.003,3.62,12.3,1
6.2,0.92,0.92,14.9,0.163,48.5,139.6,0.997,3.33,11.0,0
8.5,0.9,0.51,7.1,0.038,33.6,202.2,0.9934,3.82,9.6,0
12.1,0.51,0.96,13.4,0.026,50.2,207.6,1.0024,3.12,11.6,1
12.5,0.38,0.11,9.0,0.175,25.5,97.2,0.998,3.46,11.6,1
13.3,1.5,0.97,12.5,0.054,25.1,161.9,0.9912,3.84,9.6,0
7.8,0.72,0.61,2.6,0.017,16.2,275.8,0.998,3.06,14.3,1
4.8,0.15,0.53,13.3,0.087,38.8,93.8,0.9959,3.68,11.6,0
15.7,1.16,0.9,9.4,0.159,26.9,131.4,0.9999,3.83,12.3,1
15.3,0.73,0.99,7.0,0.165,45.6,216.3,0.998,3.85,12.8,0
11.2,0.18,0.56,13.9,0.041,32.1,251.6,0.9921,2.95,9.0,0
4.8,0.47,0.3,7.8,0.038,68.9,193.4,0.99,3.14,13.0,1
12.8,1.6,0.79,10.1,0.09,59.3,197.3,1.0004,3.16,9.7,0
14.5,0.28,0.03,4.6,0.113,41.8,134.7,1.0019,3.74,11.3,1
9.5,1.27,0.94,13.8,0.093,37.1,143.6,0.9904,3.64,10.0,0
7.6,1.19,0.04,4.1,0.102,67.6,258.9,0.9972,2.91,14.0,1
14.5,0.44,0.43,5.2,0.126,9.0,97.7,0.9982,3.44,13.1,0
14.9,1.31,0.03,12.9,0.012,58.9,77.8,1.0037,3.41,13.3,1
6.4,0.49,0.09,6.3,0.114,5.4,134.4,0.9932,2.94,12.5,0
9.2,0.92,0.63,2.8,0.048,70.1,107.5,0.991,3.95,8.6,0
11.5,0.69,0.69,10.1,0.159,,272.3,1.0007,3.78,11.5,1
10.5,0.67,0.19,2.2,0.124,35.0,206.3,1.0002,3.41,13.6,1
14.5,0.22,0.63,13.2,0.05,11.4,73.9,0.9951,3.6,8.1,0
,0.98,1.0,14.8,0.122,7.7,85.6,0.9946,3.3,11.5,1
6.3,1.13,0.58,2.1,0.064,66.6,246.9,1.0015,2.99,8.5,0
4.8,0.99,0.24,10.2,0.024,68.9,218.0,1.0027,3.2,14.2,1
5.9,0.46,0.32,7.2,0.015,4.2,151.0,0.9911,3.64,11.6,0
8.7,0.61,0.08,12.7,0.189,43.9,116.9,0.9999,3.54,13.5,0
12.9,0.14,0.49,12.6,0.187,55.4,77.6,0.9998,3.39,9.5,1
6.8,,0.72,4.7,0.082,53.7,124.0,0.995,3.73,14.9,1
13.7,1.38,0.69,8.2,0.095,30.2,91.2,0.996,3.67,12.6,1
5.3,1.35,0.9,13.4,0.035,32.0,144.0,0.9981,3.55,11.2,0
,1.43,0.86,9.9,0.091,44.9,126.1,0.9999,3.74,12.2,1
10.2,0.78,0.4,,0.037,66.1,10.2,1.0018,,8.3,0
6.0,0.48,0.54,5.3,0.191,57.2,257.3,1.0013,3.45,8.9,0
7.6,0.79,0.32,9.0,0.136,25.5,123.4,1.004,3.42,9.2,0
6.0,1.57,0.08,4.2,0.017,7.7,85.2,0.9938,3.51,12.3,0
11.6,0.53,0.12,11.0,0.092,50.2,184.2,0.9992,3.19,8.1,1
13.0,0.4,0.65,13.5,0.045,54.9,224.7,0.9913,3.45,11.9,0
11.1,0.46,0.94,10.7,0.031,17.3,176.0,1.0036,3.69,11.1,1
15.6,1.02,0.83,1.8,0.112,35.3,86.4,1.0006,3.12,10.7,1
11.4,1.14,0.57,6.5,0.151,31.4,134.3,0.9988,,13.4,1
5.0,0.47,0.45,9.9,0.137,12.3,159.2,0.9943,3.84,12.0,0
12.9,1.22,0.24,10.0,0.14,21.7,123.5,0.9938,3.57,14.1,0
9.8,0.85,0.18,11.3,0.119,67.7,113.7,1.0033,3.03,10.8,0
11.2,0.33,0.8,5.7,0.022,63.9,6.0,0.9909,3.18,11.5,1
6.1,1.22,0.04,7.4,0.063,21.9,279.2,1.0021,3.63,10.7,0
5.7,1.55,0.18,7.9,0.032,5.0,124.8,1.0024,3.91,12.7,0
8.8,0.65,0.8,2.7,0.148,29.3,91.9,0.9952,3.55,12.5,1
13.6,0.31,0.9,14.6,0.093,66.1,90.8,0.9919,2.94,9.8,1
6.0,0.55,0.38,2.9,0.068,32.5,141.0,0.9902,3.35,9.4,0
13.1,,0.43,12.5,0.194,59.5,196.7,0.9911,3.47,9.3,0
7.1,1.58,0.07,9.9,0.167,,65.0,0.9914,3.41,10.3,0
13.5,0.72,0.53,12.2,0.082,30.5,198.2,0.9988,3.7,8.1,0
9.2,0.88,0.19,1.8,0.022,44.6,75.9,0.9943,3.09,11.4,1
11.9,0.9,0.64,1.4,0.048,61.4,276.5,1.0004,3.47,11.9,1
5.5,0.96,0.09,8.3,0.027,68.4,154.8,1.0023,3.48,8.7,0
5.5,1.57,0.94,1.1,0.086,51.9,121.8,0.9924,,9.3,0
12.3,0.24,0.86,3.5,0.168,32.2,254.6,1.0015,3.99,13.1,1
15.2,1.09,0.18,12.5,0.116,30.2,107.5,0.9965,2.97,13.3,1
6.7,1.28,0.86,5.0,0.018,22.4,119.3,0.9977,3.49,13.6,1
13.5,1.04,0.71,11.3,0.061,29.9,119.3,1.0033,3.54,14.0,1
4.9,0.77,0.69,3.9,0.157,70.8,54.5,0.9927,3.56,9.9,1
15.4,0.96,0.17,14.9,0.136,7.4,186.9,1.0019,2.97,14.7,1
8.9,1.31,0.64,9.8,0.071,22.5,228.5,1.001,3.44,9.0,0
8.6,0.97,0.51,7.3,0.111,51.5,131.6,0.9934,3.75,11.9,0
10.5,0.72,0.7,2.2,0.017,62.4,215.4,0.9952,3.99,14.1,1
10.9,0.74,0.38,7.2,0.127,52.5,18.8,1.0026,3.51,8.3,0
16.0,0.43,0.53,8.3,0.153,28.0,144.9,1.0012,3.5,9.0,0
15.6,0.97,0.06,7.6,0.11,44.9,217.7,0.9999,3.25,8.2,0
11.1,0.21,0.67,4.6,0.074,33.5,24.4,0.9954,2.9,12.4,1
10.1,0.89,0.34,4.2,0.03,51.4,279.5,0.9918,3.53,11.3,0
,0.59,0.23,12.5,0.052,2.9,263.9,1.0021,3.6,11.0,1
11.8,0.82,0.43,14.0,0.055,43.6,167.7,0.9901,3.79,14.0,0
5.3,0.9,0.34,12.9,0.092,31.3,210.0,0.9901,3.27,9.0,0
8.1,0.69,0.57,3.8,0.012,57.5,193.6,0.9921,3.66,10.4,0
4.7,1.35,0.05,4.6,0.112,44.6,101.2,1.0002,3.82,14.7,0
7.2,0.4,0.69,6.7,0.026,21.4,161.3,0.9947,3.46,10.3,0
5.2,1.46,0.65,,0.096,57.0,60.8,0.9957,3.12,12.7,1
,1.6,0.55,2.6,0.155,17.3,246.3,0.9914,3.83,14.9,1
6.4,1.56,0.77,5.3,0.142,29.9,174.9,1.0011,3.68,12.8,0
5.9,1.41,0.53,9.9,0.083,67.6,56.5,0.9975,3.93,14.4,1
11.4,1.28,,2.8,0.088,38.3,163.9,0.9999,3.55,9.9,0
6.2,1.39,0.3,5.9,0.179,23.7,136.4,0.9972,3.61,14.2,1
4.7,,0.75,8.3,0.016,65.6,81.8,1.0008,3.38,10.7,1
4.5,1.18,0.14,5.4,0.071,12.9,172.5,1.0003,3.11,11.1,0
13.4,0.77,0.49,10.8,0.047,58.0,268.9,1.0029,3.19,13.4,1
8.3,1.14,0.2,1.0,0.165,14.0,30.8,1.0024,3.52,14.0,1
11.1,0.56,0.96,12.9,0.19,68.6,244.2,0.9988,3.56,8.3,0
12.5,0.38,0.45,10.2,0.139,45.5,289.1,0.9993,3.4,13.1,0
15.5,0.93,0.24,13.3,0.086,70.8,39.8,0.9947,3.69,12.1,1
9.6,0.44,0.6,11.6,0.18,20.5,276.4,1.0032,3.59,13.0,1
7.7,1.48,0.81,1.2,0.158,12.3,165.4,0.9956,3.22,8.3,0
14.0,0.14,,13.9,0.142,38.5,225.6,0.9946,2.96,9.2,1
15.6,0.85,0.49,14.0,0.088,8.3,161.5,1.0012,3.91,13.9,1
9.3,0.26,0.64,2.6,0.09,50.0,141.6,0.9941,3.62,8.5,0
13.8,1.31,0.53,,0.039,34.3,289.2,0.9949,3.32,11.0,0
13.8,0.64,0.01,10.5,0.101,6.9,102.9,0.9946,3.82,13.1,1
12.0,0.12,0.42,7.9,0.07,64.3,156.8,1.0012,3.41,13.8,1
4.6,1.56,0.81,6.1,0.194,40.7,274.6,0.9997,3.86,14.6,1
14.3,1.16,0.63,8.1,,26.7,119.3,0.9904,3.49,14.1,1
14.0,0.26,0.36,7.3,0.014,70.8,22.4,0.9964,3.72,10.5,0
12.7,1.16,0.37,13.7,0.159,70.6,58.9,0.9931,3.26,10.7,1
4.8,0.55,0.67,5.3,0.107,42.2,19.3,0.9904,2.93,14.7,1
8.8,0.67,0.73,11.8,0.098,5.4,12.5,0.9941,3.5,13.7,1
12.1,0.65,0.78,12.2,0.126,58.8,161.0,1.0032,3.52,9.6,0
13.6,0.3,0.8,1.3,0.11,28.9,,0.9925,3.44,14.0,1
13.1,1.5,0.14,2.1,0.102,58.4,262.7,1.0001,3.9,12.6,0
5.0,1.5,0.6,5.1,0.132,62.9,180.6,1.0006,3.57,9.0,0
14.2,1.1,0.12,11.0,0.023,51.5,,1.0027,2.99,,0
13.5,0.58,0.61,3.0,0.091,6.4,289.8,0.9917,3.52,8.7,0
9.8,,0.21,,0.091,49.8,143.4,0.9977,3.16,8.0,0
13.5,1.42,0.07,10.9,0.117,8.8,126.1,0.9961,3.38,12.6,1
14.9,0.15,0.35,10.5,0.035,36.8,241.4,1.0039,3.57,11.1,1
11.4,0.58,0.64,9.7,0.135,70.3,51.7,,3.63,13.2,1
10.6,0.15,0.73,2.6,0.042,23.5,45.3,0.9907,3.83,10.3,0
6.9,1.24,0.36,6.4,0.153,4.5,250.7,0.9978,3.46,11.2,1
13.1,0.44,0.28,11.5,0.119,70.4,122.0,0.99,3.13,11.5,1
12.0,1.53,0.73,8.3,0.038,2.5,234.7,0.997,3.17,10.1,0
4.8,0.18,0.54,3.3,0.071,19.7,260.9,0.9906,3.02,14.0,1
7.3,1.4,0.27,10.1,0.014,38.6,112.2,0.9925,3.0,14.3,1
14.8,1.23,0.07,8.8,0.171,38.8,126.7,0.9931,3.36,9.5,0
11.0,0.38,0.01,2.9,0.113,22.8,146.0,0.9908,2.94,13.9,1
4.9,1.32,0.81,10.4,0.147,46.6,157.8,0.9989,3.46,8.6,0
14.6,1.12,0.32,9.1,0.159,57.4,240.0,1.0003,3.34,12.5,1
5.7,0.71,0.76,3.9,0.036,60.9,276.7,0.9955,3.68,14.3,1
11.3,0.94,0.98,8.2,0.135,45.6,142.0,0.9996,3.44,9.4,0
5.8,0.33,0.77,3.4,0.061,37.9,30.2,1.0023,3.0,13.3,1
11.1,0.87,0.86,4.3,0.187,34.4,251.4,1.0011,3.26,10.0,0
15.0,0.88,0.8,5.0,0.105,19.1,255.3,0.9985,3.5,11.1,0
15.2,0.47,0.82,7.0,0.011,7.4,62.8,0.9913,3.79,8.4,0
5.9,0.89,0.82,5.5,0.071,15.2,277.1,0.991,3.22,13.2,1
10.4,1.05,0.25,10.9,0.137,19.5,252.2,0.9961,3.01,11.2,0
10.7,1.53,0.25,5.5,0.018,11.9,50.3,0.9988,3.24,14.1,1
8.6,0.52,0.02,6.4,0.01,29.1,263.3,0.9964,3.66,13.5,1
15.4,1.34,0.04,1.2,0.055,47.4,136.9,0.9946,3.56,11.9,1
11.3,0.88,0.42,5.5,0.025,,85.2,1.0021,3.68,9.6,0
9.6,1.33,0.42,10.4,0.179,58.7,209.6,0.9968,3.52,10.8,0
7.4,1.36,0.2,5.1,0.1,18.1,165.4,0.9927,3.86,13.0,1
11.0,0.49,0.69,2.7,0.072,25.9,244.8,0.998,3.75,11.1,1
8.2,0.5,0.9,7.7,0.103,65.5,52.9,0.9918,3.86,9.0,0
15.8,0.32,0.84,9.7,0.071,39.4,129.0,0.9959,3.52,9.4,0
7.8,1.13,0.5,1.5,0.148,36.7,231.2,0.9918,3.14,13.1,1
10.6,1.18,0.36,5.8,0.17,10.5,171.1,0.9977,3.23,10.4,0
8.7,1.53,0.79,11.8,0.114,20.2,29.4,0.997,3.99,15.0,1
11.9,0.69,0.87,12.1,0.018,13.2,157.1,0.993,3.47,,1
15.8,0.3,0.05,6.6,0.051,33.8,273.5,1.0025,3.13,13.8,1
13.1,0.75,0.93,2.5,0.1,62.8,60.9,0.9959,3.23,12.8,1
10.9,0.91,0.86,13.4,0.056,54.8,75.8,1.0031,3.13,13.4,1
15.4,1.49,0.86,13.8,0.033,2.9,280.6,0.9948,3.96,13.1,0
7.6,1.38,0.84,13.7,0.145,31.0,112.1,1.001,3.44,11.1,0
15.5,0.22,0.87,8.6,0.162,54.7,89.4,0.9944,3.43,8.1,0
6.9,0.18,0.27,8.6,0.118,4.1,221.5,0.9945,3.41,10.7,0
10.6,0.26,0.15,6.1,0.093,61.7,48.1,0.9926,3.72,12.0,0
8.0,1.48,0.27,9.2,0.028,56.3,288.4,0.9941,3.08,14.5,1
13.1,0.92,0.02,6.4,0.163,21.2,271.6,0.9983,3.03,10.4,0
5.9,0.24,0.54,7.2,0.117,15.1,289.3,0.9993,3.09,10.6,0
7.7,1.09,0.79,1.0,0.106,30.9,75.7,1.0,3.34,12.5,1
15.0,0.26,0.55,5.1,0.169,27.2,259.4,0.9941,3.57,10.7,1
5.3,0.51,0.15,3.5,0.061,43.5,92.3,0.9993,3.8,12.2,1
5.1,1.06,0.65,9.7,0.093,64.9,224.8,1.0005,3.15,9.2,1
7.7,0.69,,12.6,0.124,13.1,104.0,0.9933,3.66,8.6,0
12.3,,0.72,2.8,0.192,8.6,69.1,0.991,3.39,8.8,1
13.0,1.08,0.35,5.0,0.195,18.0,145.4,1.0018,3.82,8.5,0
5.1,1.39,0.23,14.2,0.133,30.2,165.8,0.9909,3.03,14.6,1
8.9,0.5,0.08,1.6,0.051,21.2,114.0,0.9936,3.84,9.8,1
14.3,1.54,0.83,12.5,0.013,45.9,238.9,0.9989,2.92,9.6,1
13.3_err,0.16,0.4,12.9,0.057,55.9,119.1,0.9964,3.14,9.6,0
15.6,0.2,0.14,5.6,0.012,29.7,13.5,1.002,3.63,12.0,0
7.0,1.51,0.77,10.2,0.049,31.1,47.7,1.001,3.36,12.7,0
15.0,0.29,0.16,2.6,0.071,61.9,30.0,0.9915,3.84,13.9,1
6.6,0.73,0.08,9.6,0.089,61.1,248.8,1.0,3.67,13.4,0
11.8,0.69,0.08,4.2,0.053,44.4,183.7,0.9985,3.1,8.7,0
12.1,,0.61,14.5,0.012,22.0,238.5,0.9923,,12.4,0
14.6,1.58,0.36,2.5,0.11,55.0,36.2,1.0018,2.9,8.6,0
8.0,0.72,0.86,7.7,0.083,48.4,172.4,0.996,3.01,9.3,0
4.8,0.73,0.01,11.3,0.136,10.9,145.8,1.0004,3.8,12.7,1
12.9,0.59,0.43,9.2,0.088,17.5,45.7,0.9993,2.96,9.2,0
11.8,0.69,0.23,1.7,0.118,19.4,284.5,1.0038,,13.8,1
7.0,1.32,0.38,13.0,0.035,30.9,182.1,0.9988,3.46,11.4,0
8.2,0.6,0.67,12.6,0.064,22.8,262.2,0.9921,3.48,14.2,1
10.1,0.65,0.65,6.7,0.079,41.3,231.0,,3.83,,1
6.2,0.12,0.81,11.7,0.083,71.1,217.7,0.9917,3.68,10.3,0
6.2,0.41,0.61,5.1,0.023,32.7,93.4,1.001,3.37,14.7,1
7.4,,0.42,5.3,0.164,69.3,30.2,0.9998,3.91,11.3,1
10.0,0.36,0.31,14.3,0.039,5.8,264.0,0.9927,3.62,12.7,1
15.2,1.1,0.52,4.6,0.081,60.9,203.1,1.0031,3.49,13.2,1
9.8,1.53,0.52,9.4,0.121,67.4,6.7,1.0026,3.92,10.7,0
13.1,0.41,0.08,5.1,0.087,41.7,231.0,0.9981,3.73,13.7,1
7.2,1.37,0.77,1.2,0.196,53.2,284.4,0.9993,3.14,11.2,0
5.8,0.48,0.69,6.1,0.094,5.4,185.5,1.0025,3.21,14.7,0
14.6,0.54,0.39,2.1,0.193,33.5,167.4,0.994,3.45,11.4,1
7.8,0.37,0.49,7.6,0.09,37.2,35.0,0.9924,2.91,11.8,1
8.4,0.88,0.97,2.2,0.036,60.2,6.1,1.002,3.97,,0
6.4,1.38,0.34,7.0,0.065,67.6,54.5,0.9968,3.57,8.9,0
7.2,,0.8,9.7,0.13,16.1,,1.0008,3.93,14.0,0
7.6,,0.21,12.4,0.06,46.3,109.9,0.9936,3.77,13.9,1
12.1,0.27,0.94,11.8,0.045,31.1,68.2,0.9984,3.18,11.0,1
7.3,1.02,,7.7,0.156,38.7,286.3,0.9925,3.17,14.6,1
6.2,0.46,0.53,14.4,0.043,13.4,178.9,1.0018,,11.9,0
4.5,1.32,0.86,4.5,0.012,32.5,99.5,0.9935,3.04,13.6,1
6.5,0.86,0.36,5.3,0.065,36.9,18.8,1.0036,2.99,10.7,1
6.3,1.37,0.35,11.8,0.183,14.8,83.1,0.9914,3.87,14.2,1
9.6,0.42,1.0,2.1,0.025,46.4,143.1,1.0023,3.89,12.6,1
,0.74,0.61,6.6,0.064,64.6,248.3,0.9902,3.59,12.9,0
7.2,0.16,0.62,8.9,0.111,17.0,41.5,0.9909,3.46,14.0,1
7.7,0.21,0.15,13.9,0.121,58.2,35.7,0.9959,2.99,12.7,1
14.0,,0.59,10.6,0.082,45.1,105.9,1.0006,3.39,11.8,1
9.6,0.33,0.84,2.0,0.033,43.6,115.8,0.9943,3.35,13.7,1
12.7,1.46,0.03,10.1,0.03,64.3,228.7,0.9944,2.9,8.7,0
6.1,1.27,0.25,12.7,0.095,37.3,98.3,0.9996,3.97,13.7,1
14.6,0.67,0.99,3.3,0.17,5.5,165.6,0.9902,3.75,9.1,0
15.9,0.45,0.3,10.2,0.139,51.2,125.0,0.9906,3.2,10.5,0
15.2,1.06,0.53,10.7,0.15,51.4,191.8,1.0036,3.87,11.6,0
13.2,1.28,0.09,6.3,0.143,46.7,256.1,0.9938,3.67,9.0,0
13.5,1.36,0.04,13.0,0.075,25.8,212.0,0.9981,3.18,9.9,0
15.6,0.33,0.47,4.8,0.11,10.2,67.2,0.9969,3.39,9.1,0
10.9,0.31,0.19,1.1,0.177,61.4,8.4,1.0025,3.91,9.2,0
10.1,0.28,0.4,14.4,0.129,,116.0,1.0022,3.12,8.7,0
8.4,0.4,0.59,9.4,0.199,61.9,23.1,0.9947,3.57,12.0,1
5.6,0.81,0.4,10.4,0.159,6.1,109.6,1.0012,3.4,11.9,0
6.7,1.1,0.51,12.6,0.162,35.1,223.7,0.9939,3.41,13.7,1
8.1,0.78,0.19,,0.112,10.3,40.3,0.9954,3.46,13.0,1
15.7,0.82,0.05,8.5,0.169,29.7,234.8,0.9936,3.97,11.4,1
13.3,0.57,,13.0,0.134,35.8,196.3,0.9975,3.49,9.2,1
11.8,1.45,0.25,13.4,0.116,29.1,80.4,1.002,3.31,14.8,1
9.3,0.95,0.44,11.6,0.153,56.5,14.1,0.9973,3.84,12.0,0
14.7,0.15,0.83,6.7,0.127,33.7,106.5,0.9994,3.61,8.7,0
9.2,0.53,0.87,10.8,0.105,6.8,235.9,1.0016,3.81,10.9,0
,1.2,0.76,8.9,0.167,62.4,142.3,1.0034,3.25,11.0,0
11.9,0.79,0.75,9.5,0.194,15.4,112.5,0.9975,3.83,11.1,1
15.3,1.48,0.41,11.3,0.049,44.6,249.5,0.9956,2.92,14.9,1
13.6,0.81,0.6,10.3,0.088,10.2,232.0,0.9961,3.7,9.4,0
10.6,1.15,0.19,4.6,0.043,39.1,181.1,1.002,3.39,9.4,0
12.4,1.05,0.01,7.0,0.194,9.5,89.3,1.0001,3.08,10.4,0
4.5,0.17,0.58,14.0,0.191,46.5,103.2,0.9998,3.89,12.8,1
12.5,0.63,0.94,,0.105,60.2,166.7,0.9974,3.92,10.6,0
13.4,0.85,0.97,13.3,0.117,71.2,241.1,1.0033,3.35,9.5,0
7.4,1.01,0.71,3.0,0.196,,47.6,0.9987,2.94,14.6,1
14.4,0.76,0.19,3.7,0.064,32.4,63.5,0.9946,2.97,14.5,1
6.8,0.35,0.58,6.2,0.017,36.9,257.2,0.998,3.32,10.5,0
15.1,1.44,0.96,5.9,0.054,62.7,113.9,1.0003,3.61,12.0,0
5.2,0.9,0.22,13.9,0.184,65.3,274.4,1.0037,3.02,10.9,0
16.0,0.27,0.46,13.8,0.017,14.9,259.1,1.0008,3.51,11.1,0
6.1,0.12,0.46,9.1,0.11,6.2,59.4,0.9929,3.72,13.7,1
5.7,1.08,0.73,3.8,0.102,51.0,283.7,0.9993,3.47,12.6,1
8.5,0.79,0.88,14.3,0.182,70.4,129.5,1.0011,3.95,9.8,0
11.4,0.19,0.59,11.7,0.148,20.1,150.3,0.9955,3.98,13.9,1
7.1,0.2,0.36,12.8,,23.2,117.6,0.9934,3.31,11.1,0
9.4,0.15,0.78,1.6,0.054,60.5,231.2,1.003,3.19,8.4,0
10.5,0.31,0.3,5.0,0.181,68.4,29.3,0.991,3.67,12.7,0
11.7,1.14,0.67,2.4,0.086,12.8,46.1,1.0036,3.07,14.5,1
6.6,0.66,0.76,1.7,0.023,46.9,230.1,0.9997,3.71,14.9,1
5.7,1.34,0.47,1.4,0.089,29.2,180.3,0.9992,3.41,10.6,0
8.6,1.53,0.39,13.0,0.128,52.8,203.6,0.9963,3.68,14.7,1
15.3,0.23,0.35,11.0,0.065,9.1,92.6,0.9914,3.4,9.0,0
15.9,1.02,0.06,12.6,0.177,37.7,168.4,0.9983,3.05,9.2,1
8.7,0.14,0.88,12.7,0.184,22.9,214.0,0.9929,3.25,11.0,1
7.4,0.58,0.88,2.0,0.145,6.7,160.8,0.9985,3.44,13.4,1
14.6,0.51,0.27,7.7,0.031,1.9,216.9,1.0039,3.73,11.2,0
5.8,1.58,0.54,5.1,0.086,3.7,281.1,0.9903,3.66,10.1,0
6.1,0.52,0.53,,0.119,42.6,267.0,0.9918,3.32,11.3,1
9.8,1.2,0.51,14.1,0.127,37.8,9.0,0.9946,3.03,9.5,1
13.9,0.14,0.15,9.7,0.084,60.5,10.9,0.9959,3.04,13.8,1
12.5,1.5,0.53,14.9,0.117,42.1,164.7,0.9987,3.36,9.6,0
10.3,0.31,0.14,7.7,0.08,12.7,62.5,0.9984,3.0,9.3,0
15.3,0.24,0.26,3.8,0.043,6.6,52.8,0.9973,3.16,10.5,1
12.7,1.51,0.11,13.2,0.166,5.0,91.1,1.0018,3.67,10.5,0
14.4,0.22,1.0,13.2,0.154,13.8,13.6,0.9998,3.01,13.8,1
7.3,0.91,0.19,10.4,0.078,48.2,236.2,,3.35,8.4,0
13.1,1.12,0.33,1.5,0.105,13.6,213.3,0.9924,3.76,11.7,0
7.3,0.88,0.85,6.5,0.114,69.3,277.8,0.9965,2.94,8.9,0
13.5,1.06,0.4,13.9,0.046,1.6,288.7,1.0039,3.52,9.3,0
10.3,0.85,0.03,5.1,0.181,67.0,121.7,0.9918,,11.3,0
15.7,0.83,0.61,13.6,0.055,67.6,65.3,1.0001,3.17,13.1,1
4.8,0.71,0.0,1.1,0.147,64.9,75.0,1.0018,3.33,13.1,1
9.8,0.91,0.72,,0.097,23.4,182.3,0.9959,3.54,14.6,1
15.7,0.22,0.34,4.5,0.076,28.9,224.2,0.9973,3.79,11.3,1
14.8,0.66,0.29,7.3,0.171,13.4,,1.0007,3.08,10.8,0
7.3,0.77,0.32,2.2,0.016,57.0,84.1,0.9981,3.81,10.4,0
12.6,0.8,0.91,4.8,0.029,33.4,170.6,0.9972,3.43,10.3,1
14.9,0.78,0.22,7.1,0.102,29.6,274.6,0.9939,3.5,14.8,1
14.1,1.04,1.0,1.6,0.148,50.5,230.9,0.9959,3.65,12.5,0
13.7,0.75,0.76,11.4,0.193,29.6,,0.9918,3.95,8.7,0
14.3,1.17,,5.9,0.16,16.4,261.6,0.9946,3.02,11.9,1
14.4,1.57,0.67,9.9,0.024,43.3,90.7,0.9991,3.65,8.2,0
7.4,0.98,0.66,4.3,0.152,52.7,147.6,0.9976,3.58,8.2,0
14.7,1.39,0.36,1.1,0.06,58.1,104.2,,3.79,9.9,0
15.2,1.11,0.34,4.5,0.1,70.7,206.5,0.9973,3.48,13.4,1
6.4,0.38,0.24,14.7,0.17,2.6,97.8,0.9901,2.98,10.0,0
8.4,0.35,0.85,1.5,0.152,9.6,251.9,1.0038,3.78,9.1,0
5.3,0.99,0.32,12.9,0.044,31.5,101.0,0.9915,3.15,10.3,1
12.1,0.37,0.8,4.4,0.03,24.2,229.6,0.9977,3.19,11.4,0
6.8,0.22,0.43,4.4,0.167,27.5,125.8,0.9934,3.21,12.2,0
6.2,1.58,0.47,12.5,0.192,23.8,23.8,1.0023,3.04,9.1,0
10.4,0.89,0.86,9.3,0.032,68.2,278.5,0.9901,3.3,9.8,0
13.3,0.87,0.94,2.6,0.09,56.1,252.0,0.9979,4.0,13.8,1
10.2,1.26,0.42,1.1,0.169,44.2,213.4,1.0005,3.98,12.3,0
14.1,0.96,0.76,1.2,0.032,28.6,197.7,0.9938,3.84,14.1,1
7.1,0.8,0.06,7.6,0.085,70.3,59.4,0.9988,2.98,11.6,0
9.4,0.79,0.3,8.6,0.051,33.9,96.9,1.0031,3.58,13.0,1
15.3,1.54,0.74,13.7,0.047,60.6,42.3,1.001,3.96,10.1,0
5.0,0.15,0.1,8.1,0.199,67.6,86.0,0.9917,3.98,12.5,1
8.2,0.5,,9.2,0.1,60.4,238.6,1.0,3.81,9.4,0
12.3,,0.32,14.6,0.034,56.1,211.1,1.0031,3.18,12.8,1
6.4,0.12,0.25,2.8,0.197,48.4,50.9,0.9919,3.2,10.0,1
16.0,1.11,0.83,5.5,,35.2,143.2,1.0002,3.3,8.2,0
15.3,0.85,0.69,1.4,0.079,17.6,189.8,0.9988,3.71,11.2,1
9.6,0.93,0.93,7.9,0.12,51.6,227.9,1.0029,2.95,13.4,1
9.1,1.06,0.62,14.4,0.197,57.7,124.1,0.9945,3.26,9.6,0
12.0,0.77,0.23,1.9,0.167,20.1,277.5,1.0033,3.8,13.2,0
10.2,0.58,0.79,12.1,0.026,56.6,173.3,0.9914,3.98,12.4,0
