tenure_months,monthly_charges,total_charges,num_services,support_calls,contract_type,payment_delays,data_usage_gb,num_complaints,churned
58.0,71.48,4455.22,5.0,6.0,1.0,6.0,25.2,2.0,0
51.0,61.42,3418.66,6.0,6.0,1.0,7.0,38.29,1.0,0
62.0,,6421.0,7.0,3.0,1.0,4.0,31.84,3.0,0
39.0,104.86,4006.83,5.0,3.0,0.0,0.0,25.43,0.0,0
23.0,21.85,480.3,3.0,3.0,1.0,1.0,34.3,1.0,0
1.0,60.25,54.82,6.0,6.0,0.0,3.0,30.9,2.0,1
2.0,119.02,243.68,7.0,10.0,1.0,6.0,39.82,0.0,1
61.0,27.51,1664.01,,4.0,0.0,7.0,37.09,2.0,0
5.0,66.17,320.21,5.0,14.0,0.0,1.0,12.01,1.0,1
3.0,61.26,167.96,1.0,6.0,1.0,1.0,1.48,2.0,1
66.0,36.97,2344.66,3.0,11.0,0.0,1.0,43.12,3.0,0
63.0,28.83,1799.23,7.0,10.0,2.0,6.0,8.07,4.0,0
59.0,102.24,5869.15,2.0,12.0,2.0,1.0,18.37,2.0,0
15.0,28.36,462.45,5.0,3.0,2.0,4.0,25.29,0.0,0
48.0,91.3,4020.91,6.0,2.0,0.0,5.0,32.21,0.0,1
4.0,96.64,411.57,3.0,2.0,0.0,5.0,47.21,2.0,1
33.0,77.52,2458.47,4.0,3.0,2.0,0.0,7.09,2.0,0
43.0,,,6.0,9.0,2.0,4.0,29.41,2.0,0
18.0,45.44,892.34,1.0,2.0,0.0,4.0,49.01,,1
20.0,82.27,1725.43,7.0,13.0,0.0,5.0,21.74,0.0,1
7.0,82.56,598.66,7.0,6.0,0.0,5.0,34.53,3.0,1
59.0,66.42,4265.03,6.0,4.0,1.0,3.0,31.95,3.0,0
19.0,43.07,758.34,7.0,13.0,2.0,0.0,16.99,1.0,0
57.0,74.1,4213.05,2.0,10.0,2.0,6.0,39.84,4.0,1
17.0,42.66,756.88,2.0,5.0,2.0,6.0,33.96,0.0,0
52.0,61.18,3496.82,3.0,8.0,,6.0,22.0,1.0,0
16.0,37.92,595.39,6.0,14.0,1.0,6.0,12.48,3.0,1
67.0,95.23,6742.73,3.0,4.0,0.0,6.0,40.11,2.0,1
69.0,85.47,5800.58,2.0,14.0,0.0,6.0,44.96,3.0,1
19.0,48.41,957.49,7.0,11.0,0.0,6.0,13.06,3.0,1
25.0,63.82,1486.23,1.0,14.0,1.0,5.0,7.17,4.0,1
26.0,39.65,1119.99,3.0,3.0,1.0,7.0,7.07,3.0,1
52.0,90.02,4604.43,4.0,,1.0,1.0,35.5,2.0,0
65.0,25.19,1616.45,7.0,13.0,0.0,1.0,35.7,0.0,0
67.0,86.96,5595.16,6.0,5.0,0.0,0.0,21.15,3.0,0
15.0,85.29,,4.0,9.0,1.0,7.0,20.21,3.0,1
60.0,64.37,4189.61,3.0,14.0,1.0,6.0,16.49,4.0,1
36.0,86.16,2868.1,7.0,14.0,2.0,1.0,10.9,0.0,1
42.0,37.92,1660.56,2.0,7.0,0.0,7.0,26.29,0.0,1
12.0,29.49,379.05,7.0,8.0,2.0,6.0,6.93,0.0,1
67.0,88.14,6312.2,7.0,9.0,0.0,3.0,43.63,4.0,1
11.0,93.71,1090.47,5.0,12.0,2.0,0.0,42.95,3.0,1
63.0,37.97,2436.65,4.0,0.0,2.0,2.0,14.95,1.0,0
13.0,28.22,376.28,4.0,13.0,0.0,2.0,17.76,2.0,1
23.0,37.14,799.25,5.0,4.0,1.0,3.0,10.3,4.0,1
,21.91,245.58,1.0,7.0,0.0,1.0,47.55,4.0,1
2.0,65.91,130.03,6.0,12.0,2.0,0.0,21.09,1.0,1
2.0,67.94,146.72,4.0,11.0,1.0,1.0,33.62,1.0,1
66.0,62.68,4099.04,7.0,5.0,2.0,4.0,19.27,2.0,0
3.0,69.55,,3.0,13.0,1.0,3.0,1.63,4.0,1
41.0,26.45,1048.5,5.0,2.0,0.0,5.0,3.45,3.0,0
11.0,104.46,1037.42,4.0,7.0,1.0,5.0,2.04,1.0,0
12.0,40.8,514.84,2.0,2.0,1.0,3.0,41.77,2.0,1
62.0,65.71,3963.68,5.0,0.0,1.0,4.0,11.25,4.0,0
39.0,77.02,3123.72,1.0,9.0,1.0,6.0,9.51,2.0,1
6.0,119.45,645.7,6.0,6.0,2.0,2.0,38.07,0.0,0
14.0,78.6,1011.08,1.0,8.0,2.0,7.0,5.2,3.0,1
70.0,32.72,2306.97,2.0,1.0,1.0,4.0,44.73,3.0,0
17.0,82.47,1263.9,6.0,14.0,0.0,3.0,9.89,4.0,1
50.0,87.21,4787.83,2.0,6.0,1.0,2.0,3.47,0.0,0
31.0,48.15,1594.46,7.0,2.0,2.0,2.0,17.31,0.0,0
14.0,53.84,683.27,1.0,11.0,2.0,2.0,1.85,3.0,1
1.0,66.34,70.9,7.0,2.0,0.0,7.0,2.83,0.0,1
13.0,92.85,1166.63,2.0,3.0,2.0,6.0,45.59,3.0,1
40.0,30.25,1224.5,2.0,6.0,2.0,2.0,12.04,3.0,0
53.0,47.24,2349.21,3.0,10.0,2.0,6.0,,2.0,1
64.0,51.94,3547.0,3.0,8.0,1.0,5.0,18.23,4.0,1
40.0,63.88,2633.83,1.0,0.0,1.0,4.0,15.2,0.0,0
30.0,88.49,2591.71,4.0,5.0,0.0,0.0,9.63,0.0,1
20.0,83.7,1653.95,3.0,14.0,0.0,6.0,22.01,0.0,1
5.0,34.46,176.8,2.0,9.0,0.0,3.0,30.24,1.0,1
17.0,25.5,398.55,3.0,2.0,2.0,4.0,16.77,2.0,0
50.0,33.02,1650.14,2.0,2.0,2.0,4.0,40.03,1.0,0
69.0,106.94,7137.19,3.0,9.0,0.0,6.0,6.24,1.0,1
7.0,118.17,762.32,4.0,11.0,0.0,1.0,48.75,4.0,1
9.0,83.8,823.37,1.0,1.0,1.0,7.0,17.4,0.0,1
44.0,107.9,4930.46,7.0,5.0,2.0,0.0,47.25,2.0,0
43.0,95.0,4466.26,3.0,9.0,2.0,3.0,16.76,0.0,0
19.0,60.56,1135.69,2.0,7.0,0.0,0.0,3.66,1.0,1
1.0,67.5,62.0,3.0,1.0,1.0,3.0,12.41,4.0,1
63.0,109.19,6219.45,5.0,11.0,2.0,6.0,35.78,2.0,0
8.0,46.61,363.72,2.0,2.0,1.0,2.0,19.93,1.0,0
35.0,32.69,1056.41,2.0,2.0,1.0,2.0,32.9,2.0,0
1.0,78.41,79.27,6.0,14.0,2.0,7.0,48.76,0.0,1
66.0,85.33,6021.51,4.0,7.0,2.0,2.0,29.9,4.0,1
66.0,95.38,6074.63,6.0,2.0,1.0,0.0,22.42,4.0,0
24.0,102.79,2598.39,5.0,6.0,0.0,5.0,28.18,,1
5.0,98.93,479.11,2.0,2.0,0.0,7.0,6.92,0.0,1
60.0,73.11,4478.46,3.0,11.0,1.0,5.0,32.54,1.0,1
25.0,112.53,2755.36,7.0,11.0,1.0,3.0,30.97,4.0,1
43.0,43.58,2044.72,6.0,1.0,1.0,5.0,44.01,0.0,0
26.0,34.83,859.59,4.0,0.0,1.0,7.0,43.5,0.0,0
43.0,91.92,3710.95,7.0,9.0,0.0,0.0,41.54,2.0,0
61.0,66.73,3927.84,1.0,9.0,0.0,3.0,5.62,2.0,1
12.0,93.54,1022.31,6.0,1.0,0.0,7.0,20.56,2.0,1
39.0,69.58,2514.32,1.0,12.0,1.0,3.0,37.89,2.0,1
36.0,111.18,3732.8,5.0,4.0,0.0,6.0,22.51,4.0,1
65.0,89.91,6190.29,5.0,11.0,1.0,0.0,11.95,1.0,0
47.0,118.3,5528.72,7.0,5.0,2.0,6.0,28.55,2.0,0
67.0,119.21,7451.2,1.0,3.0,0.0,2.0,,0.0,0
48.0,109.5,5444.48,7.0,14.0,2.0,1.0,1.1,0.0,1
38.0,66.2,2282.12,7.0,11.0,0.0,5.0,5.99,3.0,1
21.0,63.48,1217.45,4.0,0.0,2.0,0.0,14.04,4.0,0
37.0,99.41,3731.66,5.0,6.0,0.0,2.0,5.76,0.0,0
30.0,93.38,2685.92,2.0,4.0,2.0,2.0,19.51,3.0,0
40.0,48.29,1930.43,2.0,2.0,2.0,5.0,43.93,0.0,0
55.0,111.75,6030.77,2.0,4.0,1.0,7.0,8.56,4.0,1
57.0,52.5,2919.94,1.0,13.0,1.0,3.0,10.26,4.0,1
60.0,111.98,6958.48,1.0,2.0,0.0,0.0,40.77,1.0,0
40.0,63.16,2566.43,2.0,12.0,0.0,6.0,9.92,3.0,1
31.0,104.0,2926.95,2.0,3.0,1.0,5.0,47.1,1.0,1
29.0,20.14,607.18,4.0,14.0,2.0,3.0,33.95,4.0,1
57.0,53.78,2822.85,2.0,1.0,2.0,4.0,42.84,4.0,0
38.0,50.47,2048.37,3.0,9.0,2.0,4.0,36.65,4.0,0
44.0,25.36,1050.7,3.0,8.0,2.0,5.0,10.64,4.0,0
9.0,66.14,636.35,1.0,5.0,2.0,5.0,13.57,3.0,1
31.0,32.8,933.38,7.0,7.0,0.0,5.0,25.29,4.0,1
24.0,65.18,1512.74,6.0,12.0,0.0,5.0,36.63,3.0,1
52.0,80.47,3929.04,7.0,6.0,2.0,2.0,45.96,4.0,0
16.0,68.62,1165.03,4.0,7.0,1.0,4.0,49.48,0.0,1
56.0,56.98,2969.33,1.0,8.0,1.0,3.0,8.51,1.0,0
5.0,68.36,340.8,7.0,13.0,2.0,4.0,38.87,3.0,0
11.0,23.43,250.64,2.0,5.0,2.0,7.0,8.82,2.0,1
10.0,91.37,990.79,2.0,2.0,1.0,0.0,16.98,4.0,1
29.0,78.54,2280.63,6.0,11.0,1.0,2.0,21.37,0.0,0
20.0,24.95,521.79,4.0,10.0,2.0,1.0,39.75,0.0,0
9.0,37.48,355.45,4.0,1.0,0.0,0.0,8.01,3.0,0
42.0,75.44,3074.6,2.0,3.0,0.0,6.0,44.08,3.0,1
53.0,104.13,5672.29,6.0,11.0,1.0,2.0,36.7,2.0,0
9.0,46.05,389.22,2.0,10.0,1.0,1.0,13.05,0.0,1
2.0,41.48,80.82,6.0,6.0,1.0,4.0,21.29,4.0,1
12.0,49.67,560.19,2.0,4.0,1.0,0.0,8.4,4.0,0
8.0,31.62,266.61,5.0,8.0,2.0,4.0,32.05,1.0,0
13.0,98.82,1296.61,5.0,10.0,1.0,4.0,12.63,3.0,1
12.0,20.36,222.77,7.0,13.0,1.0,1.0,6.54,0.0,1
36.0,56.91_err,2172.37,1.0,10.0,1.0,1.0,37.85,1.0,0
16.0,96.45,1650.49,1.0,10.0,0.0,0.0,6.81,4.0,1
20.0,35.45,660.86,1.0,10.0,2.0,0.0,3.48,1.0,0
36.0,57.23,1966.62,4.0,5.0,1.0,0.0,25.11,1.0,0
66.0,28.21,1833.04,7.0,2.0,1.0,3.0,7.29,1.0,0
64.0,58.65,3643.41,6.0,13.0,0.0,0.0,3.84,1.0,0
59.0,38.61,2427.51,1.0,11.0,1.0,5.0,33.82,0.0,0
30.0,55.68,1592.12,1.0,7.0,0.0,2.0,0.1,2.0,1
67.0,91.15,5767.19,1.0,11.0,2.0,7.0,45.63,0.0,1
47.0,86.86,4439.17,6.0,6.0,2.0,1.0,35.27,1.0,0
5.0,45.59,228.95,2.0,12.0,1.0,7.0,6.42,3.0,1
,86.98,4430.2,5.0,11.0,2.0,1.0,11.81,3.0,0
,21.04,1443.09,,14.0,1.0,7.0,20.31,2.0,1
35.0,75.78,2486.38,,8.0,0.0,7.0,37.99,0.0,1
70.0,52.46,3570.16,3.0,11.0,2.0,7.0,35.88,2.0,0
15.0,86.88,1265.51,4.0,7.0,1.0,,2.96,1.0,0
22.0,111.69,2244.58,1.0,3.0,2.0,0.0,3.35,0.0,0
57.0,98.48,5925.72,2.0,11.0,1.0,7.0,34.97,3.0,1
12.0,46.13,588.87,6.0,2.0,1.0,2.0,10.47,1.0,0
2.0,28.36,52.36,1.0,0.0,2.0,0.0,27.05,4.0,0
20.0,54.1,1086.02,2.0,6.0,1.0,2.0,38.01,2.0,0
33.0,112.84,3616.87,4.0,6.0,1.0,6.0,18.48,0.0,1
54.0,118.79,6286.06,3.0,3.0,0.0,1.0,31.63,4.0,0
43.0,33.28,1405.53,6.0,10.0,2.0,4.0,23.03,2.0,0
58.0,115.37,7120.81,7.0,11.0,1.0,7.0,5.05,2.0,1
52.0,20.16,998.4,7.0,11.0,0.0,4.0,12.77,4.0,1
,101.75,3579.79,7.0,11.0,0.0,2.0,48.44,1.0,1
11.0,101.86,1190.07,2.0,8.0,0.0,5.0,6.32,2.0,1
65.0,80.55,5620.81,3.0,6.0,1.0,7.0,19.09,0.0,0
10.0,90.06,829.97,4.0,11.0,1.0,0.0,5.58,3.0,1
2.0,21.44,44.98,2.0,11.0,1.0,2.0,20.84,4.0,1
40.0,33.09,1401.32,1.0,12.0,1.0,3.0,10.19,3.0,1
5.0,38.59,201.48,6.0,7.0,2.0,2.0,16.69,3.0,0
23.0,80.38,1914.64,1.0,12.0,2.0,0.0,11.21,0.0,0
50.0,28.52,1285.89,3.0,1.0,0.0,2.0,21.3,2.0,0
15.0,,1168.53,6.0,13.0,1.0,7.0,7.63,,1
34.0,104.51,3292.43,4.0,5.0,1.0,3.0,19.54,1.0,0
36.0,41.65,1506.7,4.0,1.0,1.0,7.0,,3.0,1
36.0,55.03,1972.13,1.0,8.0,2.0,4.0,32.6,2.0,0
66.0,26.48,1892.75,7.0,1.0,0.0,0.0,2.0,0.0,0
22.0,55.84,1326.33,3.0,7.0,2.0,0.0,32.98,0.0,0
5.0,105.54,529.22,4.0,9.0,0.0,4.0,32.53,3.0,1
41.0,50.06,2104.65,3.0,9.0,1.0,1.0,32.11,2.0,0
56.0,87.62,4958.06,1.0,0.0,1.0,2.0,37.55,1.0,0
20.0,114.34,2435.09,2.0,6.0,,0.0,26.03,4.0,1
64.0,23.58,1491.36,2.0,7.0,0.0,2.0,1.83,3.0,1
16.0,70.35,1088.87,7.0,2.0,1.0,3.0,47.76,0.0,0
12.0,98.3,1287.73,2.0,2.0,0.0,1.0,33.93,2.0,0
50.0,95.38,4366.75,3.0,10.0,1.0,7.0,29.08,1.0,1
33.0,108.74,3679.85,2.0,7.0,2.0,6.0,36.69,4.0,1
28.0,46.98,1405.94,6.0,10.0,1.0,3.0,38.93,3.0,0
69.0,41.35,2625.98,1.0,10.0,0.0,3.0,10.22,3.0,0
17.0,61.25,991.98,4.0,1.0,0.0,7.0,3.13,3.0,1
11.0,43.39,432.34,2.0,7.0,1.0,0.0,18.4,1.0,0
56.0,30.11,1835.07,2.0,2.0,2.0,1.0,13.48,4.0,0
14.0,82.72,1160.75,2.0,6.0,2.0,6.0,3.3,2.0,1
45.0,35.85,1647.07,5.0,3.0,2.0,2.0,46.22,0.0,0
32.0,57.96,1775.13,1.0,5.0,2.0,2.0,1.31,1.0,0
61.0,31.75,1804.48,3.0,3.0,1.0,4.0,35.32,3.0,0
51.0,115.99,6341.37,6.0,7.0,2.0,6.0,5.26,3.0,1
38.0,84.53,3288.2,7.0,7.0,0.0,3.0,39.51,1.0,1
1.0,21.36,20.54,5.0,4.0,2.0,7.0,44.81,4.0,1
44.0,88.25,3658.15,3.0,5.0,2.0,0.0,26.08,4.0,0
31.0,56.19,1688.65,7.0,7.0,0.0,5.0,34.63,3.0,1
61.0,45.04,2697.36,7.0,13.0,2.0,3.0,,3.0,0
71.0,30.9,2288.6,3.0,8.0,0.0,3.0,28.74,1.0,0
40.0,109.06,3979.6,6.0,0.0,2.0,3.0,0.4,3.0,0
48.0,36.13,1715.1,6.0,0.0,2.0,6.0,12.77,4.0,0
,43.72,2523.36,3.0,11.0,1.0,6.0,14.0,4.0,1
12.0,82.69,947.37,1.0,8.0,0.0,2.0,0.36,4.0,1
22.0,119.9,2831.52,3.0,6.0,2.0,0.0,21.7,1.0,0
23.0,96.58,2100.48,7.0,13.0,0.0,7.0,21.67,0.0,1
25.0,22.84,599.47,7.0,10.0,2.0,1.0,44.24,3.0,0
16.0,103.09,1733.44,2.0,1.0,0.0,7.0,22.26,0.0,0
44.0,95.09,3935.33,7.0,8.0,0.0,7.0,15.94,4.0,1
33.0,52.97,1730.12,6.0,10.0,1.0,5.0,19.8,3.0,1
3.0,111.11,311.65,2.0,11.0,2.0,7.0,35.48,2.0,1
12.0,104.03,1296.47,3.0,13.0,2.0,0.0,42.93,2.0,1
35.0,91.63,3033.19,3.0,12.0,1.0,4.0,36.67,2.0,1
70.0,55.04,4179.79,3.0,7.0,,0.0,37.46,0.0,0
61.0,39.21,2321.01,4.0,14.0,1.0,3.0,7.64,1.0,0
45.0,43.09,1804.78,6.0,10.0,0.0,4.0,22.85,3.0,1
31.0,102.26,2986.14,4.0,11.0,0.0,3.0,38.8,2.0,1
68.0,,6738.37,4.0,12.0,2.0,2.0,6.02,4.0,1
69.0,83.08,6082.9,3.0,5.0,0.0,7.0,45.05,3.0,1
4.0,42.13,183.87,2.0,12.0,1.0,4.0,29.96,2.0,1
22.0,70.36,1646.37,5.0,8.0,2.0,0.0,2.33,2.0,0
37.0,44.59,1527.95,6.0,7.0,0.0,6.0,25.65,1.0,1
13.0,80.26,1045.27,3.0,12.0,1.0,0.0,10.73,2.0,1
9.0,107.12,1040.5,4.0,0.0,2.0,7.0,15.17,1.0,1
22.0,40.25,887.69,1.0,12.0,0.0,3.0,49.81,3.0,1
12.0,46.88,522.66,6.0,11.0,2.0,7.0,31.0,2.0,1
14.0,29.47,372.66,1.0,13.0,2.0,2.0,2.26,2.0,0
45.0,66.22,2987.22,6.0,5.0,0.0,7.0,32.9,3.0,1
64.0,84.26,4898.56,1.0,6.0,0.0,3.0,28.9,4.0,1
65.0,41.29,2445.07,,10.0,0.0,7.0,47.37,0.0,1
46.0,51.19,,4.0,3.0,2.0,3.0,22.52,0.0,0
34.0,88.33,2728.07,7.0,0.0,1.0,4.0,,1.0,0
33.0,44.84,1597.48,2.0,6.0,0.0,1.0,10.91,4.0,0
16.0,28.0,406.96,5.0,0.0,2.0,6.0,8.52,3.0,0
65.0,63.8,,6.0,2.0,1.0,6.0,26.98,2.0,0
59.0,32.08,1857.03,6.0,12.0,2.0,2.0,42.81,3.0,0
25.0,62.4,1406.23,7.0,7.0,2.0,0.0,37.82,1.0,0
49.0,93.13,4213.55,5.0,12.0,0.0,3.0,36.63,1.0,0
64.0,98.67,6305.24,7.0,1.0,2.0,1.0,11.63,2.0,0
65.0,32.3,2229.57,7.0,3.0,0.0,0.0,46.87,3.0,0
59.0,100.19,5564.89,6.0,12.0,0.0,4.0,15.21,2.0,1
10.0,64.06,579.0,1.0,9.0,2.0,4.0,36.85,4.0,1
68.0,26.63,1636.87,4.0,11.0,1.0,4.0,2.11,0.0,1
33.0,41.55,1365.6,6.0,1.0,1.0,4.0,10.0,2.0,0
67.0,71.63,4712.56,5.0,11.0,2.0,,32.7,2.0,1
1.0,72.74,75.89,7.0,2.0,1.0,5.0,23.57,2.0,0
64.0,110.1,6423.19,2.0,7.0,0.0,4.0,15.78,0.0,0
62.0,66.01,4228.67,5.0,5.0,2.0,7.0,2.55,0.0,0
17.0,100.72,1665.16,3.0,5.0,0.0,2.0,11.24,3.0,1
54.0,119.53,6567.54,5.0,6.0,1.0,3.0,0.54,4.0,0
50.0,93.62,4825.15,6.0,5.0,2.0,4.0,5.31,4.0,0
31.0,119.43,3714.8,6.0,3.0,2.0,3.0,2.9,0.0,0
71.0,85.44,6202.25,4.0,1.0,1.0,1.0,19.34,2.0,0
52.0,108.18,6017.79,1.0,9.0,1.0,5.0,28.21,3.0,1
18.0,107.61,1798.14,7.0,7.0,2.0,1.0,7.21,2.0,0
15.0,98.78,1337.92,7.0,11.0,1.0,7.0,4.3,3.0,1
55.0,27.68,1527.45,3.0,13.0,0.0,2.0,27.75,1.0,0
18.0,60.28,1169.63,2.0,3.0,2.0,7.0,17.1,1.0,1
62.0,111.17,6371.37,5.0,1.0,2.0,0.0,2.93,1.0,0
10.0,,1116.74,2.0,12.0,1.0,1.0,4.51,4.0,1
53.0,85.57,4647.75,5.0,10.0,2.0,1.0,4.13,3.0,1
9.0,99.42,945.84,6.0,7.0,1.0,0.0,38.22,1.0,0
37.0,38.15,1430.17,2.0,13.0,1.0,2.0,5.96,,0
22.0,32.27,757.32,1.0,,0.0,2.0,22.85,0.0,1
46.0,116.02,5551.5,3.0,13.0,1.0,3.0,0.43,3.0,0
16.0,117.81,1932.35,5.0,5.0,2.0,0.0,22.95,1.0,0
35.0,79.28,2620.03,6.0,8.0,1.0,1.0,29.23,4.0,0
49.0,90.47,4821.5,4.0,9.0,2.0,4.0,9.47,1.0,0
24.0,71.99,1558.62,7.0,1.0,2.0,2.0,11.63,1.0,0
42.0,97.78,4185.4,6.0,8.0,0.0,1.0,49.57,3.0,0
41.0,43.59,1689.09,3.0,13.0,0.0,0.0,34.81,2.0,1
61.0,43.66,2594.54,4.0,13.0,0.0,5.0,49.01,0.0,0
64.0,34.16,2223.41,3.0,5.0,0.0,7.0,2.25,2.0,1
52.0,26.2,1413.65,1.0,8.0,0.0,3.0,35.56,1.0,0
19.0,20.83,418.16,3.0,6.0,1.0,1.0,22.66,4.0,0
1.0,119.0,107.8,3.0,5.0,2.0,6.0,3.13,3.0,1
4.0,98.47,425.34,4.0,7.0,2.0,7.0,11.28,0.0,1
58.0,,6443.97,,11.0,2.0,1.0,49.47,4.0,0
27.0,79.13,2042.17,5.0,3.0,2.0,7.0,1.97,0.0,1
61.0,95.03,6283.72,7.0,4.0,0.0,5.0,45.88,0.0,0
1.0,47.57,48.49,3.0,0.0,1.0,1.0,35.65,0.0,0
70.0,117.39,8034.72,4.0,2.0,1.0,5.0,32.53,2.0,0
43.0,100.24,4316.84,3.0,8.0,2.0,1.0,48.27,3.0,1
52.0,53.5,2771.88,5.0,1.0,0.0,7.0,44.29,3.0,0
45.0,47.17,2259.55,6.0,13.0,0.0,4.0,45.22,4.0,1
68.0,29.1,2046.47,3.0,3.0,2.0,5.0,29.64,2.0,0
7.0,100.59,645.5,2.0,3.0,1.0,7.0,47.11,1.0,1
68.0,71.38,5224.22,7.0,10.0,2.0,6.0,38.66,0.0,0
10.0,111.43,1007.54,3.0,11.0,0.0,2.0,44.24,2.0,1
67.0,93.26,6714.55,2.0,9.0,2.0,6.0,35.77,1.0,1
21.0,67.94,1382.49,2.0,13.0,0.0,1.0,44.03,0.0,1
30.0,118.32,3576.93,3.0,12.0,2.0,3.0,20.25,0.0,1
27.0,58.94,1536.24,6.0,3.0,0.0,7.0,31.51,3.0,1
26.0,56.96,1593.75,3.0,12.0,2.0,5.0,37.23,3.0,1
70.0,26.87,1773.53,2.0,9.0,1.0,5.0,37.18,4.0,1
29.0,102.01,3102.91,6.0,5.0,0.0,7.0,,1.0,1
22.0,77.68,1607.22,5.0,14.0,0.0,5.0,5.26,2.0,1
50.0,101.43,5427.92,4.0,3.0,1.0,1.0,36.61,0.0,0
37.0,36.63,1303.13,3.0,0.0,2.0,0.0,21.21,3.0,0
31.0,103.47,3448.85,4.0,10.0,2.0,3.0,35.22,1.0,0
20.0,35.11,688.83,5.0,4.0,0.0,4.0,29.23,2.0,0
54.0,43.91,2391.65,4.0,6.0,0.0,2.0,12.61,4.0,1
31.0,24.2,774.13,6.0,12.0,0.0,3.0,20.04,3.0,1
61.0,78.68,4863.98,2.0,8.0,1.0,3.0,12.74,0.0,1
36.0,56.71,1972.68,6.0,9.0,1.0,0.0,19.38,1.0,0
26.0,47.36,1215.8,1.0,13.0,1.0,6.0,40.61,4.0,1
23.0,93.61,2362.97,7.0,4.0,1.0,7.0,36.73,3.0,1
9.0,51.32,466.7,3.0,11.0,1.0,4.0,31.27,3.0,1
28.0,65.5,,1.0,7.0,0.0,3.0,13.89,4.0,1
16.0,119.1,2095.0,4.0,13.0,0.0,2.0,8.61,2.0,1
69.0,38.97,2691.66,7.0,5.0,0.0,5.0,6.6,1.0,0
20.0,40.64,802.92,4.0,4.0,0.0,0.0,30.6,2.0,0
11.0,23.63,258.47,2.0,1.0,2.0,2.0,27.53,4.0,0
46.0,111.7,5651.78,1.0,11.0,0.0,7.0,49.98,3.0,1
69.0,23.18,1562.18,5.0,7.0,1.0,6.0,28.38,1.0,0
69.0,36.26,2542.84,3.0,14.0,2.0,7.0,4.21,3.0,1
36.0,115.51,4152.13,2.0,14.0,0.0,5.0,22.55,4.0,1
60.0,109.16,7168.65,1.0,8.0,2.0,4.0,13.12,3.0,0
3.0,89.37,255.18,4.0,8.0,1.0,0.0,23.82,3.0,1
22.0,71.97,1692.4,2.0,,0.0,2.0,2.65,3.0,1
63.0,113.1,6537.35,4.0,13.0,0.0,2.0,12.18,3.0,0
49.0,87.0,4127.69,7.0,0.0,2.0,,12.27,1.0,0
51.0,117.72,6408.56,4.0,8.0,2.0,0.0,36.37,4.0,0
25.0,111.34,2820.57,4.0,8.0,1.0,5.0,46.74,,1
16.0,113.59,1637.65,3.0,5.0,2.0,7.0,36.9,2.0,1
36.0,57.49,2075.84,5.0,,2.0,4.0,26.9,4.0,0
13.0,87.92,1051.73,1.0,14.0,0.0,0.0,16.14,1.0,1
62.0,101.01,6783.14,3.0,1.0,0.0,6.0,22.86,3.0,0
31.0,43.55,1240.86,3.0,3.0,1.0,0.0,8.34,1.0,0
26.0,22.13,539.41,2.0,1.0,0.0,0.0,44.85,4.0,0
55.0,29.77,1773.73,3.0,10.0,2.0,7.0,15.94,3.0,0
31.0,61.71,2039.79,2.0,5.0,2.0,5.0,46.12,3.0,1
56.0,24.98,1511.41,4.0,2.0,1.0,6.0,12.47,3.0,0
66.0,91.64,6582.39,1.0,3.0,1.0,4.0,12.42,2.0,1
12.0,54.57,601.04,4.0,6.0,0.0,5.0,26.77,1.0,1
70.0,98.05,7022.84,1.0,11.0,0.0,6.0,42.8,2.0,1
15.0,115.77,1759.69,3.0,4.0,0.0,4.0,26.35,4.0,1
6.0,72.91,461.74,6.0,8.0,2.0,3.0,43.19,3.0,1
49.0,25.61,1256.58,7.0,10.0,1.0,7.0,41.02,4.0,1
52.0,69.58,3547.02,7.0,13.0,0.0,1.0,19.93,0.0,0
21.0,86.96,1809.57,6.0,8.0,1.0,1.0,40.72,4.0,0
50.0,33.54,1675.46,3.0,11.0,1.0,7.0,8.69,3.0,1
59.0,96.23,5855.84,2.0,3.0,1.0,0.0,40.36,0.0,0
18.0,71.34,1191.88,3.0,4.0,2.0,5.0,36.16,0.0,0
56.0,101.67,5979.5,6.0,9.0,0.0,0.0,18.82,4.0,0
32.0,105.48,3110.85,1.0,13.0,0.0,,1.96,2.0,1
29.0,28.46,879.0,7.0,0.0,2.0,5.0,26.0,0.0,0
8.0,64.09,485.58,3.0,6.0,0.0,6.0,35.08,2.0,1
,109.37,888.62,6.0,9.0,0.0,4.0,43.68,0.0,1
49.0,74.65,3618.72,6.0,12.0,1.0,1.0,35.21,4.0,1
23.0,90.72,1955.48,5.0,6.0,0.0,7.0,43.72,3.0,1
12.0,101.88,1133.03,4.0,12.0,0.0,3.0,33.52,3.0,1
65.0,113.41,7585.52,5.0,14.0,1.0,4.0,34.34,4.0,1
1.0,96.73,106.24,3.0,10.0,0.0,3.0,44.38,3.0,1
55.0,38.73,2234.6,7.0,3.0,1.0,0.0,24.23,4.0,0
6.0,74.2,477.1,1.0,10.0,0.0,2.0,19.62,2.0,1
1.0,31.34,31.71,2.0,3.0,1.0,5.0,43.99,3.0,1
17.0,118.05,2146.86,5.0,,2.0,5.0,38.49,1.0,0
13.0,106.21,1472.69,2.0,,0.0,7.0,31.96,2.0,1
71.0,73.97,4983.76,5.0,9.0,2.0,4.0,14.11,2.0,0
33.0,65.66,2373.4,6.0,3.0,2.0,3.0,25.91,2.0,0
1.0,48.11,43.35,6.0,12.0,2.0,1.0,9.74,0.0,0
