sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,leaf_area_cm2,stem_height_cm,species
7.53,3.95,2.83,0.98,9.03,26.02,0
7.28,3.65,5.75,0.19,7.32,14.31,0
5.55,3.16,5.65,0.64,19.8,30.94,1
5.7,2.93,7.0,1.41,10.91,13.49,1
6.03,4.22,5.36,1.63,,75.01,1
7.14,2.73,6.33,0.53,12.54,44.58,0
7.94,2.08,5.91,,15.3,57.7,1
4.66,3.6,4.4,1.52,14.88,61.39,1
7.5,4.19,4.55,0.84,17.82,62.12,0
4.96,2.16,5.08,0.77,8.42,18.5,1
7.53,3.32,1.69,1.84,4.65,49.22,0
4.7,4.34,2.19,1.58,5.55,40.82,0
6.22,2.03,4.86,0.64,6.75,12.95,1
6.86,4.06,1.16,1.62,3.94,70.47,0
6.87,3.89,3.55,0.84,3.22,70.03,0
6.19,3.08,4.97,0.62,12.0,52.57,0
7.98,3.55,1.38,0.29,18.23,48.4,0
6.54,,4.83,1.9,9.77,10.58,1
7.25,3.4,1.27,1.66,10.49,48.01,0
4.89,2.7,5.16,2.04,10.51,77.56,1
4.4,3.68,4.39,1.36,14.02,20.17,1
6.78,4.22,3.63,0.96,17.42,41.06,0
6.2,3.3,4.39,0.6,11.51,19.59,0
4.77,3.85,2.31,0.28,2.73,58.92,0
4.67,3.3,6.97,2.06,17.31,15.57,1
7.73,4.25,3.09,1.62,4.13,76.47,0
4.11,4.21,3.53,1.35,8.02,55.18,0
5.46,2.61,1.94,0.34,5.85,22.28,0
4.03,2.67,5.55,0.52,19.98,56.05,1
5.14,3.85,5.13,1.65,14.0,65.32,1
7.33,3.99,6.27,1.68,13.82,61.17,1
5.08,4.39,2.14,0.85,8.01,11.09,0
5.19,3.36,1.67,0.52,17.82,,0
5.51,4.13,2.95,1.67,2.25,40.24,0
6.85,2.45,6.3,0.5,13.8,40.13,1
4.87,2.1,1.96,0.96,16.47,44.68,0
5.83,2.63,1.14,1.28,2.45,55.2,0
4.11,3.52,6.98,0.45,7.29,77.41,1
5.65,2.98,6.49,0.51,7.57,58.79,1
4.24,3.61,6.38,1.87,12.6,24.33,1
5.3,2.47,4.35,2.04,3.76,43.79,0
4.41,2.91,2.75,0.9,15.56,67.03,0
7.9,2.09,6.96,0.34,12.22,79.21,0
,4.37,1.59,1.69,4.74,75.46,0
6.41,2.57,3.9,1.76,,56.25,1
4.31,3.35,5.2,2.09,18.7,15.91,1
5.51,3.34,2.65,1.49,2.65,72.02,0
7.17,2.76,1.91,0.78,2.25,68.05,0
5.08,2.21,4.92,1.45,19.62,43.95,1
7.39,3.98,4.76,1.9,18.26,45.37,1
5.86,2.04,4.43,2.07,7.3,,1
4.59,2.86,4.64,2.5,2.03,76.56,1
4.94,3.87,3.81,2.09,13.43,56.51,1
5.8,3.15,5.89,2.47,16.38,50.24,1
7.49,2.94,1.91,1.56,3.52,45.83,0
4.54,3.61,2.32,1.69,11.55,34.87,0
4.78,3.14,1.73,0.31,17.85,78.68,0
6.05,3.69,6.37,0.14,19.14,10.26,1
7.22,2.72,2.31,1.88,3.14,61.87,0
7.14,3.66,3.88,1.32,6.77,53.75,0
6.68,3.18,5.85,0.29,2.22,29.08,0
4.66,3.6,5.22,0.63,10.83,19.16,1
6.56,3.64,3.66,1.09,16.71,69.87,0
7.21,2.41,2.83,1.47,8.54,50.0,0
6.36,3.97,2.01,1.47,11.34,28.07,0
6.42,,2.33,1.21,17.31,28.58,0
7.57,2.91,5.84,0.86,18.21,29.49,1
4.17,4.15,2.86,0.19,7.94,27.2,0
4.42,3.71,1.46,0.48,16.8,40.88,0
7.33,3.67,5.45,1.46,8.13,35.58,1
5.28,2.02,5.47,0.52,7.13,53.21,0
6.33,3.07,2.61,1.2,6.32,64.4,0
5.45,3.72,1.24,2.2,2.89,52.24,0
,3.77,6.41,0.63,2.27,15.86,1
6.92,4.44,2.45,1.55,4.04,72.41,0
5.09,2.39,6.33,1.2,2.4,51.82,1
6.06_err,4.05,3.49,1.91,,47.53,0
7.22,4.42,2.68,0.97,18.1,44.28,0
7.93,3.45,3.43,0.65,5.58,26.81,0
4.17,3.1,3.56,0.61,6.39,61.36,0
5.85,2.29,2.1,2.39,10.49,76.31,1
6.26,3.38,6.83,1.23,4.18,60.71,1
4.75,2.17,1.41,0.77,18.24,60.94,0
6.4,2.98,2.56,0.2,16.0,59.76,0
6.7,3.77,3.06,0.64,13.23,67.29,0
7.47,3.89,2.73,1.59,4.79,18.12,0
7.55,3.49,2.91,0.77,5.04,74.68,0
7.08,2.57,2.42,1.51,9.11,75.13,0
5.71,3.34,5.12,1.92,3.63,11.51,1
6.51,2.6,2.65,2.34,7.7,47.89,0
6.23,4.27,4.48,0.26,18.94,70.96,0
4.14,3.25,6.91,2.02,3.88,42.59,1
4.44,2.85,2.53,1.84,2.82,22.49,0
7.5,4.2,6.12,1.23,6.85,72.45,1
5.59,4.42,5.13,1.92,12.49,73.14,1
5.77,4.11,5.6,1.84,2.61,69.37,1
6.23_err,4.1,5.44,1.56,16.19,42.97,1
4.95,2.22,1.53,1.01,18.96,53.46,0
6.75,4.41,3.09,0.61,5.75,26.72,0
6.25,4.49,3.29,0.94,8.6,49.3,0
4.2,3.52,6.92,1.8,5.64,36.99,1
,2.17,6.73,1.39,4.78,63.58,1
6.18,3.32,1.77,0.81,9.15,50.41,0
6.13,2.92,4.47,0.45,6.04,43.47,0
7.97,4.13,1.21,1.71,18.88,51.88,0
4.82,3.6,6.09,1.74,16.37,49.33,1
5.29,4.31,6.7,1.69,14.72,52.57,1
6.72,3.8,6.49,0.59,7.38,44.66,1
5.05,2.9,3.21,0.17,14.65,65.5,0
7.86,3.42,6.4,0.44,12.21,55.71,1
7.27,4.0,4.31,0.92,,44.54,0
,2.18,1.43,0.57,8.09,37.55,0
7.83,2.47,6.31,1.16,19.71,27.8,1
6.76,3.39,1.4,0.5,18.74,45.36,0
5.6,3.38,2.72,1.26,17.74,40.6,0
7.85,2.05,1.72,0.99,13.63,50.47,0
5.06,2.06,6.39,2.29,6.07,61.65,1
7.06,,4.77,0.65,15.5,65.15,1
6.53,4.07,5.01,0.48,2.14,12.3,0
7.11,,1.93,1.35,16.73,65.13,0
5.88,2.01,6.14,1.87,7.88,79.77,1
6.07,2.65,2.56,2.05,13.9,76.52,0
4.06,4.31,6.01,1.37,8.13,24.35,1
7.07,3.73,5.55,0.82,15.18,66.15,1
4.31,3.2,1.49,1.53,14.91,21.22,0
5.49,3.19,4.74,0.13,6.71,11.02,0
5.46,,3.26,0.87,19.52,53.27,0
7.66,2.38,1.68,2.46,5.38,76.76,0
4.8,3.12,2.81,1.8,7.44,66.6,0
7.67,3.86,5.17,1.62,18.85,23.21,1
4.46,2.71,1.72,1.29,4.06,21.99,0
6.99,2.3,5.26,1.94,2.03,34.75,1
4.58,3.74,6.63,0.25,3.22,20.72,1
7.49,4.29,5.52,1.23,18.67,29.74,1
6.74,2.99,4.68,1.75,7.63,26.69,1
7.83,3.05,2.3,0.46,11.56,75.91,0
,3.65,2.89,1.33,18.69,55.07,0
4.99,4.23,2.94,0.54,,69.44,0
6.17,4.45,3.1,1.86,3.76,68.72,0
4.87,2.7,6.52,2.15,16.24,17.28,1
4.63,4.39,6.78,0.56,,17.87,1
7.39,3.6,6.25,2.17,2.78,31.32,1
6.8,2.77,5.76,1.99,10.21,42.9,1
5.09,4.01,6.17,1.92,8.79,59.16,1
5.55_err,2.75,6.91,1.17,14.57,52.76,1
7.12,2.1,5.88,2.28,11.01,57.97,1
6.38,2.7,1.44,1.28,9.45,13.55,0
5.72,4.28,6.11,2.21,6.66,35.88,1
7.17,2.44,6.63,0.9,12.99,20.98,1
4.27,2.72,5.88,1.7,18.03,16.95,1
5.46,2.83,5.99,2.16,4.72,54.55,1
5.84,3.84,3.65,1.1,9.02,60.64,0
7.34,2.92,6.21,1.85,9.3,26.08,1
6.09,3.37,4.57,2.4,9.67,10.92,1
7.76,3.75,4.03,0.97,18.32,49.44,0
4.31,3.96,3.52,,2.44,79.95,0
8.0,2.47,1.82,2.4,,62.16,0
7.96,2.96,3.77,0.12,7.53,60.69,0
,4.12,5.35,0.46,19.79,73.02,1
7.5,4.39,4.97,0.32,9.98,19.04,0
7.46,2.51,4.44,0.13,15.07,74.14,0
4.6,2.12,2.86,0.52,4.13,39.77,0
7.72,2.22,2.73,1.42,11.13,21.81,0
,,6.2,2.13,14.55,,1
6.39,3.28,3.28,1.8,3.03,31.59,0
7.96,3.2,3.5,2.04,17.37,37.41,0
5.02,4.38,6.53,2.06,5.48,77.66,1
7.97,3.18,1.14,1.41,3.32,76.58,0
7.98,4.09,3.33,0.66,19.04,36.84,0
7.67,3.57,1.05,1.09,11.89,19.54,0
4.99,3.24,4.3,0.78,18.03,42.14,1
4.04,4.31,1.47,0.65,7.92,19.74,0
5.71,3.75,4.75,0.19,17.63,27.8,1
7.66,3.66,3.22,0.6,13.08,74.87,0
7.16,3.28,5.5,1.69,17.06,79.17,1
,3.7,3.44,0.92,13.99,37.39,1
5.42,2.61,3.49,2.4,4.23,19.83,1
6.0,2.59,1.19,2.37,14.82,18.84,0
5.58,3.5,2.4,0.68,18.89,56.51,0
7.67,3.04,5.08,1.94,13.55,69.77,1
5.69,2.15,1.03,2.25,9.32,46.06,0
5.11,2.26,4.45,1.91,10.44,60.93,1
5.85,2.69,3.45,1.78,8.93,13.74,1
6.43,3.47,5.76,1.48,19.16,52.72,1
6.12,3.22,1.26,1.77,18.35,51.85,0
7.45,2.02,2.85,2.4,16.49,35.84,1
5.24,3.14,3.08,0.81,6.53,50.5,0
7.87,2.23,4.3,2.27,19.7,29.23,1
7.07,4.13,6.47,1.14,13.69,62.99,1
5.23,2.72,5.28,1.41,9.62,61.71,1
6.79,3.05,3.33,2.05,,23.81,0
7.99,3.67,3.15,1.78,8.31,71.21,0
7.73,4.0,6.88,1.06,2.05,27.4,1
6.72,2.85,5.73,1.13,18.93,70.97,1
4.7,2.34,6.66,1.29,19.17,28.05,1
5.03,2.9,4.34,0.64,14.95,45.6,1
5.52,2.87,5.26,1.06,9.66,28.32,1
6.54,2.81,5.4,1.59,3.12,19.27,1
6.07,2.03,2.53,0.22,17.13,44.55,0
5.57,3.64,3.0,0.39,6.29,35.41,0
5.24,2.7,1.52,1.93,6.35,26.84,0
4.6,4.3,3.4,1.31,8.07,67.12,0
6.98,4.28,6.51,1.95,3.4,38.34,1
5.05,3.29,1.21,2.33,3.85,46.29,0
4.4,2.56,3.28,1.25,15.47,17.95,1
5.01,2.94,3.24,2.39,5.25,15.01,1
4.42,3.08,1.35,1.62,2.91,64.53,0
7.2,3.93,5.2,0.85,7.93,56.44,0
5.01,3.77,5.71,1.31,11.27,74.41,1
4.58,3.09,2.67,1.3,4.83,61.97,0
5.11,3.91,1.25,0.86,15.44,69.42,0
7.71,3.67,2.0,1.1,5.56,56.84,0
6.45,2.26,3.75,0.49,2.58,72.94,0
7.28,3.88,3.69,1.76,8.89,73.37,1
7.65,3.31,5.76,2.12,14.33,16.82,1
7.53,2.63,3.12,1.13,8.99,23.22,0
7.02,3.52,2.22,1.55,11.44,46.23,0
5.6,3.77,1.69,,10.27,32.68,0
6.24,3.8,6.37,0.83,3.77,39.98,1
5.34,4.48,3.45,0.87,13.06,69.83,0
5.16,3.23,1.89,1.89,19.28,17.8,0
6.1,3.46,3.19,1.13,14.72,50.7,0
4.7,3.48,1.12,0.37,6.39,,0
7.44,4.31,4.15,2.25,3.45,30.98,1
6.04,2.26,6.26,1.0,6.77,71.09,1
7.58,3.46,5.85,1.99,3.37,50.46,1
4.45,3.13,1.31,1.29,9.09,28.8,0
4.64,,2.84,2.44,8.02,28.56,1
5.8,3.56,7.0,2.17,8.65,79.68,1
6.51,4.23,5.42,1.72,5.3,60.09,1
6.61,4.37,1.56,0.53,17.88,38.72,0
7.63,2.97,5.37,1.5,7.21,39.61,1
7.3,4.22,2.26,1.62,14.6,54.82,0
6.81,3.85,3.91,1.91,10.21,11.52,0
6.13,2.29,6.52,0.92,8.65,12.01,1
5.96,3.9,3.8,2.08,4.06,11.41,1
6.21,3.25,5.24,2.38,16.98,66.93,1
7.25,4.02,4.9,0.47,12.61,15.83,1
5.16,3.24,2.16,1.34,10.04,37.88,0
7.54,2.81,2.09,2.29,15.59,49.69,0
5.5,3.37,3.74,1.34,4.86,15.55,1
5.19,2.93,1.58,1.07,9.82,34.71,0
7.35,3.26,4.51,2.19,8.83,46.19,1
6.74,4.31,4.25,1.92,14.11,15.02,1
6.97,3.0,2.41,1.53,17.38,36.21,0
7.35,4.4,5.37,1.7,3.69,41.33,0
5.73,4.27,1.19,1.06,9.24,10.25,0
6.04,3.82,1.52,0.31,19.67,31.01,0
6.14,4.24,2.46,1.81,2.27,75.86,0
5.78,3.22,1.88,2.3,14.0,13.25,1
4.77,4.11,2.61,0.18,5.81,25.4,0
4.53,2.63,2.28,1.79,6.81,44.39,0
5.19,4.0,1.38,0.67,19.32,12.53,0
7.96,3.55,3.32,0.27,7.62,54.5,0
4.25,4.46,2.97,0.96,18.83,76.76,0
6.64,4.15,5.93,1.62,10.64,40.96,1
6.2,2.81,3.76,1.02,5.55,53.5,0
4.49,3.04,1.95,1.71,8.79,63.63,0
6.41,2.11,2.64,0.36,11.81,69.77,0
4.82,2.1,6.22,0.86,11.35,41.66,1
6.58,3.84,1.45,1.59,19.94,10.52,0
6.97,2.75,4.19,1.72,5.79,79.21,1
7.76,3.69,2.17,2.17,8.83,26.19,0
6.44,2.08,4.83,1.78,15.2,65.65,1
7.52,2.57,2.67,0.27,9.78,48.01,0
4.59,3.16,5.77,2.25,8.02,70.38,1
7.47,2.27,5.36,0.19,18.28,35.84,0
4.65,3.32,5.32,1.16,3.09,20.73,1
5.09,3.32,3.25,1.98,12.38,36.96,1
7.23,2.38,,2.24,8.69,54.75,1
6.46,2.58,5.6,2.32,12.4,10.14,1
6.16,3.79,3.61,1.56,12.43,44.98,1
7.21,2.73,3.04,2.06,5.84,59.57,0
5.09,2.22,2.3,0.69,3.62,19.62,0
7.71,3.95,4.48,1.29,16.86,21.19,1
5.09,3.15,3.5,1.86,7.25,49.31,1
4.96,2.78,3.47,0.37,14.51,34.03,0
5.51,3.79,5.3,1.99,5.19,13.34,1
6.98,3.34,3.76,0.6,14.63,57.33,0
5.65,3.71,4.15,0.36,3.15,25.5,0
6.94,3.87,4.81,2.16,8.86,48.54,1
7.55,4.05,5.21,2.48,11.42,69.78,1
7.98,2.99,4.07,0.56,15.26,15.64,0
7.45,2.53,4.97,2.48,8.97,61.51,1
7.41,4.48,5.89,1.81,2.43,28.31,1
5.69,3.53,1.58,2.38,13.0,35.02,0
5.11,4.09,6.22,1.88,16.36,32.26,1
7.48,3.37,1.23,1.42,18.08,18.59,0
7.92,3.51,3.32,1.96,17.75,19.19,0
5.12,2.7,,0.8,7.77,65.2,1
7.72,4.0,2.9,1.11,8.35,27.37,0
6.55,2.61,5.19,2.49,11.4,38.24,1
6.13,4.31,6.74,0.35,7.44,19.38,1
5.94,3.4,6.52,2.42,5.26,40.27,1
7.95,2.29,3.54,0.97,10.91,61.67,0
5.23,3.73,1.24,2.02,14.03,61.32,0
4.31,2.63,2.05,0.16,5.63,17.62,0
6.42,2.06,3.62,2.08,4.06,46.46,1
6.59,3.21,5.72,0.82,18.48,22.62,1
6.15,3.2,4.27,2.06,6.35,23.65,1
6.98,3.01,1.31,2.01,8.63,50.94,0
4.18,3.91,1.84,2.1,4.05,24.51,0
7.73,2.18,1.97,2.38,4.26,11.24,0
6.23,2.09,5.88,0.48,7.6,55.2,1
4.2,2.25,2.2,2.44,18.39,31.54,1
7.97,2.33,4.42,2.14,2.01,65.13,0
4.13,3.71,1.29,0.3,2.27,10.8,0
7.16,3.96,5.92,0.34,8.0,35.62,1
5.82,2.65,4.06,1.19,4.5,78.27,0
5.32,2.03,3.66,1.3,19.01,71.74,0
6.28,3.21,3.64,0.59,7.56,24.96,0
5.68,,6.61,2.27,13.83,41.38,1
4.63,2.17,3.17,0.71,4.33,40.77,0
5.69,3.46,5.52,2.19,15.26,20.3,1
6.79,2.72,1.16,0.9,4.18,68.85,0
7.74,3.57,1.09,0.73,14.15,70.66,0
6.75,3.99,3.28,0.88,11.59,63.16,0
7.27,3.25,2.14,1.08,12.58,17.7,0
7.11,3.14,1.03,1.87,17.58,18.59,0
4.02,4.33,6.47,1.55,2.39,77.17,1
7.91,3.17,2.62,0.32,16.92,73.95,0
7.27,2.8,1.13,1.38,16.98,52.68,0
5.29,4.29,6.61,1.54,9.7,,1
7.21,2.76,2.03,0.91,4.55,11.51,0
5.18,4.33,3.03,2.49,7.46,21.05,1
4.54,,5.81,0.7,17.65,55.78,1
4.87,2.87,6.99,0.75,8.16,12.43,1
4.32,2.05,6.6,0.87,5.75,14.22,1
5.87,2.22,6.54,1.36,10.2,69.56,1
6.65,2.66,2.34,1.24,7.91,28.83,0
6.14,3.87,3.14,1.16,14.94,36.61,0
6.09,3.93,5.43,0.34,10.74,62.77,0
5.44,2.66,,2.49,19.85,26.06,1
6.08,2.6,4.03,1.32,13.31,52.87,1
5.53,4.01,2.15,0.38,9.16,16.7,0
5.82,4.02,6.52,1.7,17.91,16.35,1
5.44,2.65,4.95,0.52,18.08,28.38,1
7.8,3.85,1.9,0.25,17.03,22.76,0
7.36,3.4,2.98,1.36,9.5,23.08,0
4.76,2.98,6.78,1.31,2.37,43.49,1
6.15,3.47,4.06,1.44,13.96,12.41,1
7.76,2.91,2.01,0.87,3.61,10.54,0
6.34,2.89,1.86,0.21,8.33,63.26,0
5.05,3.49,1.26,0.39,7.1,18.59,0
6.57,3.37,3.87,0.28,7.26,11.54,0
5.09,3.25,5.88,1.98,8.01,50.87,1
7.33_err,3.06,1.89,1.75,6.99,31.31,0
7.24,2.19,4.59,1.36,19.09,62.99,0
6.59,2.32,6.01,1.27,16.57,23.82,1
7.13,3.78,1.42,1.34,2.74,34.13,0
,2.68,5.35,0.13,10.57,15.69,0
4.94,3.6,2.41,1.5,10.83,73.44,0
5.32,3.09,1.61,,,79.5,0
4.38,4.14,3.13,1.37,15.01,47.2,0
7.27,2.76,6.61,0.42,11.17,11.09,1
6.49,2.14,4.76,1.42,16.91,38.21,1
4.01,4.47,5.85,0.32,19.1,42.53,1
5.33,2.76,3.71,1.33,11.05,18.69,0
6.57,3.18,4.07,0.57,15.42,54.32,0
6.72,2.5,3.82,0.72,19.36,60.1,0
6.84,3.82,1.8,2.31,9.92,43.43,1
7.67,2.5,3.58,2.08,8.79,19.03,1
4.48,2.02,3.94,0.56,18.36,54.75,1
5.53,4.45,3.12,1.76,11.68,56.95,1
4.82,2.72,6.68,2.26,12.86,45.41,1
7.31,3.0,5.63,0.65,11.6,31.99,0
4.15,3.38,5.9,1.89,15.61,33.87,1
4.68,2.94,2.88,1.23,2.49,53.91,0
5.94,4.06,6.83,2.12,8.43,25.82,1
4.16,,3.0,1.49,7.63,46.95,0
6.01,2.51,4.54,2.13,4.72,65.25,1
7.94,3.28,3.98,1.02,,39.76,0
7.71,2.79,5.14,0.95,9.84,44.78,0
4.76,3.43,6.06,0.55,8.41,30.36,1
5.73,,4.1,2.12,15.24,73.81,1
5.68,2.77,1.69,1.08,2.24,27.54,0
4.58,3.87,3.47,0.54,11.11,31.51,0
7.46,3.45,2.61,1.28,15.24,12.83,0
6.75,4.48,6.03,2.36,3.84,38.65,1
7.77,3.83,2.28,1.73,7.26,42.97,0
7.26,3.34,2.14,1.62,4.3,45.3,0
5.86,2.26,4.36,0.23,17.92,64.07,0
5.25,2.41,1.59,0.71,7.68,74.27,0
6.09,2.24,5.28,1.75,7.89,51.31,1
6.67,,1.27,2.46,19.6,32.61,0
5.54,3.57,1.52,1.31,17.88,41.7,0
5.07,3.66,1.91,0.16,13.0,16.48,0
7.54,3.22,1.22,1.05,14.29,71.94,0
6.48,4.41,2.99,1.0,11.05,32.56,0
6.5,4.33,1.2,0.97,16.91,77.28,0
6.32,2.77,5.12,0.33,16.43,31.23,0
7.44,2.56,6.07,0.47,2.91,34.89,0
6.81,2.72,4.86,1.88,14.67,57.2,1
6.25,3.4,3.28,1.43,18.42,59.11,0
6.21,4.35,1.74,2.08,4.44,19.66,0
7.96,2.93,6.56,0.66,10.7,56.65,0
5.88,4.21,5.3,0.14,7.49,18.0,0
6.14,2.85,5.12,1.73,5.39,61.18,1
6.85,3.13,4.68,1.91,9.55,40.98,1
7.99,3.21,1.23,0.89,,31.23,0
6.19,4.33,6.86,2.02,17.51,77.94,1
6.99,2.66,3.15,0.68,12.1,39.37,0
4.7,3.95,5.54,2.24,2.01,23.74,1
7.4,2.51,3.78,1.46,17.22,47.78,1
5.48,3.17,2.8,1.05,11.59,16.68,1
6.64,3.68,4.36,0.47,2.89,56.82,0
5.85,4.21,6.21,1.53,15.99,60.09,1
6.98,3.08,1.96,2.05,14.07,41.28,0
4.26,3.89,6.55,1.08,11.86,60.08,1
4.85,2.99,4.15,0.8,6.38,55.92,1
6.25,4.32,5.9,1.72,7.06,70.05,1
7.14,2.47,4.6,2.48,3.03,27.78,1
6.67,3.56,4.94,0.7,3.75,63.38,0
5.98,2.11,6.64,1.7,18.0,68.45,1
5.65,2.57,4.35,0.5,12.7,30.75,0
4.59,3.07,3.3,1.23,6.71,78.83,0
7.37,3.56,4.01,1.81,15.94,38.28,1
4.48,4.27,6.32,2.46,19.33,78.74,1
7.78,4.06,1.23,1.08,7.79,28.8,0
5.25,3.11,2.93,0.54,,69.38,0
7.52,4.11,5.16,1.38,14.16,64.7,1
6.05,2.01,2.11,1.6,17.78,41.46,0
4.01,3.68,3.42,2.09,12.86,29.51,1
6.5,4.01,4.68,0.28,10.59,29.82,0
4.02,2.91,2.04,1.74,11.23,26.13,0
4.81,2.18,2.9,2.15,14.15,66.29,0
6.81,3.13,2.6,0.29,14.73,54.01,0
4.0,3.48,6.69,1.49,3.58,66.12,1
7.48,3.44,4.08,1.75,2.87,31.53,0
4.87,3.31,5.66,1.85,4.77,39.44,1
6.92,3.71,4.02,0.96,10.8,,0
5.44,3.45,2.89,2.12,15.65,79.38,1
7.54,3.29,5.81,1.86,14.11,70.89,1
6.16,3.39,3.47,1.59,16.4,57.59,1
5.16,3.06,2.62,2.5,8.6,51.55,1
7.48,3.47,1.02,2.19,19.41,70.24,0
5.27,3.81,1.82,0.41,,77.45,0
4.53,2.26,2.24,1.15,13.5,31.58,0
,2.44,3.38,2.44,4.66,27.32,0
7.18,4.41,4.47,0.81,10.23,56.28,1
6.68,3.89,3.19,0.87,4.57,45.33,0
7.25,3.92,6.86,1.09,6.88,19.5,1
6.72,2.58,4.15,0.22,18.42,53.71,0
7.6,3.52,4.96,0.64,10.45,,0
4.54,4.17,1.39,0.73,14.54,42.93,0
6.82,3.32,5.62,0.42,16.47,26.14,1
6.76,4.21,6.79,1.99,4.63,37.61,1
6.72,2.41,4.18,2.17,2.68,77.96,0
4.95,3.36,5.29,1.35,7.9,14.4,1
5.8,2.54,5.79,2.06,18.53,48.9,1
6.75,3.31,3.43,0.77,4.63,18.5,0
6.89,3.64,4.68,0.67,17.58,46.84,0
6.34,4.34,2.37,1.44,16.21,55.35,0
4.65,2.29,6.21,1.07,12.95,70.12,1
7.94,3.42,1.09,0.92,9.08,41.06,0
5.01,3.94,5.6,1.25,10.82,50.32,1
7.16,3.63,3.8,2.44,7.43,13.67,1
7.2,4.4,3.63,0.87,10.58,63.64,0
5.85,2.08,,1.75,9.92,75.06,1
6.98,2.99,4.36,2.31,18.98,38.28,1
5.08,2.45,2.5,2.47,,41.68,0
6.67,4.04,2.94,0.56,15.56,56.77,0
7.21,2.35,1.97,1.68,8.75,,0
6.61,2.64,2.28,0.55,14.14,19.12,0
7.61,2.42,5.39,0.82,6.1,74.97,0
4.79,2.4,3.62,0.22,10.88,45.54,0
7.79,3.97,5.79,2.32,16.1,44.46,1
6.81,3.69,6.22,1.11,11.36,74.62,1
7.72,4.11,3.78,2.44,12.06,63.65,1
4.83,2.1,1.25,1.3,18.86,31.6,0
6.13,3.81,3.22,2.1,14.4,52.97,1
4.24,4.27,3.75,0.21,17.23,66.05,0
4.89,2.69,3.13,,15.52,72.12,1
7.64,2.68,2.0,0.3,,20.16,0
6.29,2.14,3.4,0.22,2.98,33.42,0
4.09,4.4,2.43,1.87,16.41,58.36,1
5.88,3.03,6.48,0.65,13.74,49.07,1
4.91,4.47,1.63,0.68,9.22,33.02,0
6.53,2.65,5.61,2.4,11.88,73.31,1
6.05,2.5,4.97,1.53,4.68,22.86,1
5.4,2.7,6.2,0.37,8.62,23.67,1
5.06,2.65,1.81,1.01,18.24,58.08,0
5.48,3.28,4.71,0.86,17.61,18.56,1
4.77,3.41,5.58,2.4,14.68,66.46,1
4.53,3.55,3.57,1.51,4.11,14.7,1
6.18,4.25,6.27,0.95,5.65,39.46,1
7.4,2.24,5.0,1.86,13.03,41.31,1
4.53,3.19,4.58,0.94,11.05,60.47,1
4.11,3.42,1.29,0.75,9.77,58.54,0
7.02,3.33,5.56,0.38,19.04,46.39,1
6.99,3.85,,1.45,5.62,52.32,0
7.47,2.75,2.3,0.6,12.6,33.13,0
7.1,2.57,6.2,0.3,18.91,74.71,1
4.1,4.03,5.48,1.86,3.3,65.01,1
4.96,2.36,2.38,,7.91,43.07,0
5.02,3.33,6.33,0.78,12.68,35.12,1
4.36,3.08,2.41,1.81,4.42,23.38,1
7.21,4.5,2.21,2.27,2.55,53.65,0
7.48,4.12,4.21,1.49,7.05,74.29,0
6.02,3.63,3.73,1.82,10.26,46.67,0
6.13,4.18,1.04,1.66,14.25,38.7,0
4.83,2.89,2.64,1.19,4.81,59.55,0
5.32,4.5,5.0,2.14,16.54,18.33,1
6.5,4.32,6.51,1.08,10.26,35.93,1
5.5,3.45,3.7,2.41,6.51,39.44,1
6.92,3.15,2.75,0.27,18.94,68.14,0
5.0,3.66,4.36,1.32,10.94,24.56,1
5.01,4.02,5.01,0.63,4.02,29.65,1
7.02,2.45,3.26,0.38,11.13,60.37,0
7.1,4.45,2.61,0.9,12.19,42.03,0
4.13,3.08,1.24,1.32,9.38,72.88,0
7.36,3.24,1.47,2.37,10.07,25.47,0
6.58,3.76,6.64,1.86,16.21,64.41,1
6.27,2.78,1.22,1.84,7.54,,0
5.24,2.79,2.96,2.36,5.26,23.7,1
4.35,2.53,5.41,0.75,14.77,54.02,1
4.17,4.02,1.3,1.44,17.19,67.57,0
5.88,3.72,5.01,1.86,10.6,55.27,1
7.36,3.61,2.08,1.66,8.06,70.15,0
4.83,2.34,1.39,2.49,7.0,59.05,0
4.66,3.37,6.88,2.05,17.34,67.06,1
5.89,3.67,4.35,2.08,15.97,40.7,1
5.67,3.19,5.18,1.85,17.24,25.92,1
7.46,2.05,3.79,2.14,17.68,40.01,0
4.29,3.53,2.76,2.3,12.01,77.39,1
4.83,2.87,2.1,2.03,17.85,12.47,1
6.37,3.82,4.19,1.19,9.48,73.6,1
5.01,4.03,2.93,,6.94,77.74,1
7.9,4.29,4.86,0.75,17.26,23.09,1
7.61,2.19,6.65,0.2,,35.53,1
5.89,3.33,3.86,2.49,15.64,35.02,1
7.59,4.36,2.71,1.05,17.31,66.38,0
5.69,2.58,5.74,0.85,10.66,42.45,1
5.64,3.5,5.61,0.61,11.66,43.76,1
4.68,4.37,4.93,2.27,14.97,18.03,1
5.47,2.81,2.15,1.01,3.92,70.71,0
6.85,2.12,1.07,1.21,19.03,59.46,0
4.03,3.74,1.72,,4.39,47.8,0
7.44,2.95,2.75,0.18,18.51,45.98,0
6.06,3.05,4.28,1.11,15.77,,0
6.0,4.15,5.37,2.3,16.4,10.92,1
6.38,2.67,3.32,1.07,5.47,52.55,0
7.74,3.17,5.2,0.24,14.09,73.42,0
