radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,symmetry_mean,malignant
18.59,38.69,123.21,278.36,0.1193,0.0421,0.372,0.2478,0
16.58,11.41,104.11,493.24,0.1391,0.0419,0.0202,0.2252,0
15.62,25.5,123.43,1900.08,0.0782,0.0245,0.1637,0.2496,0
19.43,18.4,164.64,580.14,0.0852,0.0928,,0.2426,0
9.73,21.18,94.42,695.81,0.1183,0.2443,0.3332,0.263,0
10.37,14.57,68.59,2011.44,0.168,0.1244,0.1345,,0
26.68,26.92,133.59,360.19,0.0761,0.1331,0.0486,0.299,0
28.71,38.7,146.43,1172.44,0.1683,0.0635,0.2285,0.1952,1
14.96,24.6,154.03,194.43,0.1357,0.2099,0.394,0.2436,1
12.5,11.57,181.12,958.47,0.1491,0.1329,0.3907,0.2356,1
21.46,28.22,99.39,1789.6,0.0608,0.2432,0.1073,0.2132,1
15.81,19.55,52.06,352.64,0.0861,0.2647,0.3095,0.2992,0
6.61,35.53,193.34,2236.47,0.0569,0.2129,0.013,0.1435,1
9.75,22.48,109.6,2286.42,0.0946,0.1111,0.0567,0.1843,0
23.18,14.98,139.72,387.78,,0.1878,0.2148,0.1255,1
21.81,14.92,146.61,2478.13,0.0626,0.1031,0.0984,0.1364,0
6.65,32.83,127.44,842.17,0.1175,0.318,0.3433,0.2426,1
11.33,17.23,72.84,338.48,0.0507,0.2729,0.4004,0.101,0
11.55,32.78,160.82,151.96,0.1355,0.1827,0.0019,0.278,0
22.13,,168.6,1104.11,0.0737,0.3386,0.1002,,1
,18.97,128.48,1626.35,0.0656,0.2004,0.189,0.1882,0
8.5,23.43,118.17,923.94,0.0904,0.1284,0.2421,0.1663,0
25.2,,58.23,2114.65,0.1425,0.0515,0.3938,0.1253,1
10.29,37.88,53.43,1831.19,0.0628,0.1994,0.3835,0.2843,0
21.67,15.41,94.33,966.38,0.0776,0.3039,0.274,0.2425,0
11.72,20.1,89.74,1872.97,0.051,0.306,0.1107,0.1673,0
8.39,13.63,192.59,2359.55,0.1662,0.2195,0.3368,0.1142,0
11.84,24.81,165.38,359.71,0.1211,0.1498,0.0871,0.1651,0
23.33,,145.59,862.41,0.1364,0.2346,0.415,0.1369,1
26.54,36.92,122.82,1233.45,0.1282,0.2715,0.0025,0.2573,1
25.93,37.83,66.78,1315.26,0.0673,0.1558,0.245,0.2439,1
15.53,20.89,196.55,1419.58,0.1214,0.1772,0.038,0.1996,0
22.03,24.24,100.01,849.48,0.0658,0.2446,0.1753,0.2772,1
10.92,36.78,57.11,1714.73,0.0981,0.3093,0.273,0.1361,1
13.04,34.01,119.01,1662.4,0.1183,0.281,0.2965,0.1904,1
27.51,9.11,179.84,1503.66,0.1171,0.0274,0.3378,0.2421,1
6.31,18.92,181.97,408.48,0.0643,0.061,0.2551,0.1136,0
8.05,22.08,41.75,1265.64,0.0541,0.3014,0.1081,0.1745,0
10.99,16.12,181.81,980.7,0.1458,0.2952,0.3824,0.2143,1
6.64,15.19,83.44,1298.85,0.1371,0.1483,0.3488,0.1734,0
10.35,10.17,46.24,2315.6,0.0598,0.2128,,0.196,0
19.99,28.94,175.65,1274.05,0.0653,0.3189,0.3554,0.2216,1
16.11,17.14,178.22,172.99,0.1571,0.3208,0.4182,0.1737,0
27.42,10.62,135.4,1175.65,,0.2784,0.274,,0
25.62,16.16,131.91,2076.73,0.1695,0.0892,0.1212,0.1279,0
14.2,33.86,170.1,1980.94,0.0805,0.261,0.2608,0.2054,1
12.23,35.4,165.81,1351.6,0.1085,0.0534,0.1473,0.1349,1
15.11,23.98,,729.45,0.0784,0.315,0.2907,0.278,0
20.17,21.9,128.44,1237.61,0.1247,0.0692,0.2343,0.2668,1
12.43,39.31,194.82,1470.34,0.0638,0.2386,0.3997,0.1698,1
20.98,15.22,199.38,2499.7,0.0653,0.2214,0.2657,0.2662,1
15.83,15.68,58.65,1660.26,0.0586,0.2764,0.092,0.2066,0
19.25,18.05,175.93,1778.47,0.1332,0.202,0.3118,0.1318,0
16.47,14.36,119.97,1299.83,0.1093,0.0397,0.1294,0.2228,0
13.07,20.76,102.01,976.6,0.1241,0.2529,0.1171,0.2359,0
28.76,37.24,138.09,2058.57,0.1555,0.1464,0.1685,0.1168,1
24.33,,48.95,1308.04,0.1388,0.1257,0.0052,0.1629,1
9.36,21.77,121.03,2487.47,0.1054,0.3473,0.4167,0.1011,1
26.84,37.97,179.34,1218.8,0.1681,0.2148,0.2289,0.1633,1
17.7,10.5,74.15,300.48,0.1048,0.2545,0.3326,0.1671,0
27.47,15.52,108.22,1750.88,0.0635,0.1937,0.1109,0.226,0
25.2,26.54,190.32,250.07,0.1691,0.2741,0.321,0.1398,1
16.21,28.08,108.57,731.18,0.0527,0.2682,0.2439,0.106,0
6.54,10.23,97.34,974.82,0.116,0.2369,0.1824,0.1631,0
12.45,21.49,110.49,1885.18,0.0871,0.3493,0.4174,0.2651,0
19.0,29.12,123.11,1306.4,0.1104,0.1717,0.2124,0.1798,1
21.2,30.64,,207.6,0.117,0.253,0.2827,0.183,1
12.19,28.78,168.11,1595.77,0.0788,0.2833,0.0066,0.1938,0
9.34,18.94,112.34,1110.99,0.1168,0.1441,0.1296,0.2504,0
26.04,11.9,170.8,,0.1407,0.1709,0.3821,0.196,1
29.63,22.24,125.4,1318.97,0.082,0.3398,0.3264,0.1183,1
18.62,12.99,94.16,1813.18,0.096,0.0307,0.2308,0.1413,0
10.12,38.38,145.27,656.53,0.0822,,0.3871,0.1376,1
12.54,23.73,154.84,1935.9,0.1485,0.1805,0.2091,0.2016,0
6.44,18.84,129.29,1841.45,0.137,0.0205,0.2436,0.106,0
27.94,32.76,49.06,2273.63,0.1545,0.3167,0.1643,0.1567,1
8.83,24.44,67.18,219.82,0.0704,0.1145,0.2666,0.2214,0
19.84,18.61,85.65,1196.1,0.0588,0.105,0.1372,0.1709,0
12.58,34.17,85.22,1742.81,0.0643,0.2907,0.1658,0.2415,1
19.3,35.88,147.75,364.59,0.0693,0.1117,0.4155,0.1782,0
21.63,29.86,42.94,1109.03,0.114,0.237,0.0479,0.2959,0
25.91,10.46,160.91,2363.47,0.1665,0.2911,0.0453,0.2931,1
10.95,26.56,82.45,,0.0929,0.2815,0.0186,0.26,0
6.26,32.66,89.6,2465.56,0.165,0.278,0.1376,0.2909,0
9.29,13.23,124.47,274.14,0.0546,0.0493,0.1712,0.141,0
27.6,16.09,74.55,1834.08,0.1612,0.0463,0.0406,0.2502,0
26.97,36.36,181.52,1511.2,0.0717,0.1212,0.2361,0.1643,1
20.34,9.62,53.66,1321.27,0.1595,0.0319,0.2508,0.2451,0
20.41,32.33,111.1,2431.2,0.0567,0.1851,0.3229,0.1748,1
21.96,23.69,175.91,445.97,0.1638,0.1503,0.4197,0.1579,1
10.21,22.85,,2254.56,0.0741,0.2038,0.2663,0.2918,0
27.95,9.22,86.77,1771.33,0.0863,0.1186,0.048,0.142,0
16.05,34.4,107.32,751.23,0.1089,0.1803,0.0381,0.2517,0
15.2,20.15,153.07,,0.0957,0.1305,0.3343,0.2349,1
18.45,25.76,195.72,1153.14,0.1301,0.0844,0.2796,0.1607,0
7.13,30.0,182.9,2061.58,0.167,0.2343,0.0696,0.1917,0
9.99,30.78,94.79,1057.65,0.1228,0.2422,0.1089,0.1286,1
23.71,38.64,199.71,,0.1366,0.2936,0.3226,0.2842,1
7.99,25.47,40.56,1642.44,0.0606,0.3087,0.2434,0.2936,0
20.48,21.39,44.42,472.87,0.1253,0.2525,0.2516,0.2465,1
11.89,38.56,171.81,1673.21,0.1045,0.2469,0.0903,0.2699,1
15.34,28.91,71.91,591.57,0.1563,0.0387,0.2705,0.1165,0
12.93,18.24,49.72,1112.14,0.0966,0.0562,0.3314,0.1768,0
14.54,12.92,77.94,541.9,0.1315,0.2881,0.3807,0.1662,0
23.26,35.12,108.18,191.96,0.0774,0.0969,0.3168,0.213,1
13.13,20.23,156.89,640.05,0.0811,0.1373,0.2478,0.1367,0
19.59,29.47,139.89,1405.84,0.0951,0.0679,0.2895,,1
17.43,23.6,78.02,1276.48,0.0865,0.0844,0.2086,0.2309,0
21.93,15.17,120.52,1323.53,0.0805,0.2759,0.0976,0.1265,0
28.48,27.65,188.19,724.54,0.056,0.1064,0.3793,0.1263,1
23.58,10.88,170.4,1756.98,0.1504,0.1682,0.229,0.1071,0
11.16,21.81,91.71,1802.06,0.0577,0.0701,0.2556,0.2522,0
6.75,25.95,197.16,984.8,0.1565,0.2437,0.4257,0.1662,1
12.29,22.52,153.38,2219.56,0.0651,0.2603,0.4236,0.1451,1
20.28,32.21,49.99,1659.89,0.0578,0.1394,0.2521,0.2556,1
7.23,34.67,45.63,1822.77,0.1176,0.279,0.0146,0.1287,0
17.91,32.91,66.95,794.52,0.1103,0.0992,0.1703,0.1854,0
20.32,10.2,156.46,141.44,0.1089,0.2483,0.403,0.249,1
14.02,15.02,69.4,2182.29,0.1189,0.2609,0.124,0.2148,0
24.5,25.63,121.84,2080.92,0.0844,0.3397,0.4297,0.2108,1
8.56,37.98,54.92,430.73,0.1296,0.0967,0.0363,0.1315,0
7.8,34.88,187.34,1022.89,0.1103,0.0509,0.2443,0.1362,0
23.48,35.12,95.03,1700.76,0.0902,0.1068,0.2216,0.2165,1
17.89,18.4,185.3,1678.98,0.1492,0.0605,0.1098,0.1047,0
22.52,22.31,191.18,2170.43,0.1373,0.076,0.4079,0.2738,1
16.44,23.59,40.98,471.03,0.0972,0.1303,0.2662,0.1701,0
11.91,13.88,114.26,1154.66,0.1517,0.1566,0.099,0.1833,0
25.66,9.96,43.94,369.45,0.1604,0.3182,0.1651,0.1517,0
25.19,38.35,185.39,1059.44,0.1144,0.0846,0.3101,0.2753,1
22.67,16.46,122.95,175.65,0.0758,0.3407,0.128,0.2285,0
12.53,16.44,51.99,2259.92,0.1599,0.2874,0.3782,0.19,1
20.17,11.58,57.64,1383.82,0.0727,0.3109,0.0712,0.2171,0
14.66,37.78,101.36,2145.53,0.0558,0.3267,0.1137,0.1761,1
8.2,26.97,190.44,281.38,0.0893,0.2686,0.0623,0.1931,0
28.02,29.68,150.87,676.8,0.1372,0.2803,0.0448,0.1715,1
9.28,37.26,178.82,752.14,0.1608,0.1645,0.1291,0.1821,0
28.81,19.71,98.63,1052.59,0.1265,0.1884,,0.163,1
16.7,28.27,46.91,2034.76,0.1642,0.3277,0.0406,0.1155,0
10.44,10.2,195.89,1052.28,0.0611,0.1448,0.0916,0.1075,0
19.01,14.79,42.75,622.98,0.0573,0.0338,0.1168,0.1348,0
26.95,34.77,191.62,293.38,0.1225,0.2717,0.2662,0.1503,1
23.57,32.77,98.99,327.6,0.1659,0.2091,0.3205,0.2781,1
25.36,19.87,41.61,1933.71,0.1103,0.2889,0.3233,0.2222,1
21.81,20.68,150.27,1189.74,0.0562,0.0449,0.0037,0.2917,0
22.61,25.54,196.89,1853.79,0.0765,0.225,0.2803,0.1679,1
26.38,9.01,194.5,1750.2,0.0794,0.1017,0.2712,,0
11.99,16.48,65.75,459.46,0.0905,0.3181,0.2226,0.244,0
17.75,15.46,69.0,477.22,0.0552,0.0563,0.1631,0.2156,0
11.31,16.76,130.49,1922.61,0.1586,0.2982,0.3429,0.2056,1
29.7,33.98,141.97,1842.19,0.1119,0.0492,0.1479,0.2151,1
28.66,17.67,158.31,1032.15,0.1305,0.0283,0.0989,0.2168,0
6.95,14.94,68.97,322.72,0.0581,0.0976,0.1333,0.2531,0
22.93,24.63,193.44,168.55,0.0565,0.1299,0.189,0.2336,1
28.21,35.83,142.2,820.05,0.1204,0.2268,0.092,0.2915,1
10.33,16.48,175.53,161.76,0.1565,0.0635,0.2613,0.2896,0
19.63,11.43,126.41,682.97,0.1134,0.1643,0.3802,0.1844,0
27.97,20.05,106.28,1130.02,0.1553,0.0874,0.256,0.1071,1
6.81,32.18,196.35,426.54,0.1473,0.3023,0.1921,0.1022,0
22.74,26.07,133.14,386.1,0.0591,0.0348,0.3427,0.1246,1
13.14,34.32,178.7,2255.59,0.0742,0.1375,0.3217,0.115,1
28.19,38.75,192.53,1521.71,0.1289,0.2284,0.1578,0.1747,1
29.31,33.57,148.06,2345.32,0.1032,0.3213,0.2598,0.1106,1
28.66,27.72,127.83,956.15,0.0849,0.3064,,0.225,1
17.38,24.29,40.56,1738.06,0.1002,0.3154,0.1055,0.138,0
26.69,10.24,46.4,623.07,0.1034,0.0407,0.1575,0.2028,0
26.27,39.51,72.14,1599.28,0.1593,0.2975,0.0455,0.1206,1
13.66,20.89,69.76,445.82,0.0624,,0.4247,0.2655,1
25.89,13.72,80.76,144.91,0.0836,,0.0369,0.256,0
6.89,29.67,88.79,2338.42,0.1145,0.1228,0.0725,0.1773,0
20.31,17.81,97.61,1449.55,0.1338,0.3209,0.2063,0.2821,0
11.52,27.16,107.29,2327.58,0.1257,0.1529,0.3721,0.1371,1
8.89,27.19,55.82,927.84,0.163,0.2293,0.153,0.2628,0
7.85,22.82,46.78,913.58,0.1455,0.16,0.3305,0.2092,0
22.71,34.92,147.83,1085.55,0.1168,0.1611,0.2907,0.1659,1
14.16,17.21,125.97,1806.26,0.0758,0.2004,0.2746,0.1169,0
23.39,22.91,111.06,1475.31,0.1041,,0.3634,0.1343,1
7.57,25.67,141.51,2323.84,0.1332,0.2816,0.0061,0.2726,0
13.57,29.57,172.43,200.04,0.1506,0.2291,0.3995,0.2214,1
18.95,33.3,108.43,1811.34,0.1652,0.2476,0.3566,0.1474,1
24.98,21.24,142.58,919.57,0.1227,0.0962,0.4033,0.1992,1
13.65,29.03,192.57,565.35,0.1132,0.34,0.3412,0.1216,1
21.02,13.67,174.34,1344.53,0.0521,0.2379,0.3778,,0
27.26,37.91,108.16,1331.95,0.0587,0.0851,0.0873,0.2816,1
20.78,20.87,143.15,463.35,0.0687,0.2677,0.1373,0.1916,0
11.59,31.62,68.33,616.47,0.0566,0.0773,0.1355,0.1723,0
6.59,9.63,129.68,1103.27,0.0981,0.0409,0.0469,0.2898,0
26.88,15.36,197.01,1104.79,0.0904,0.1941,0.3137,0.1798,1
6.51,24.1,122.93,889.44,0.1265,0.2027,0.0586,0.1672,0
26.99,36.23,188.42,490.57,0.1143,0.0824,0.0226,0.1546,1
18.69,25.34,105.17,,0.1215,0.135,,0.213,0
28.54,37.83,199.82,2429.75,0.1066,0.3321,0.389,0.2117,1
25.17,24.0,132.68,2366.66,0.0833,0.1141,0.3286,0.1032,1
29.95,24.2,46.76,1281.41,0.1643,0.0713,0.3549,0.2308,1
14.42,12.71,133.88,2488.32,0.0604,0.3475,0.2561,0.2577,0
24.41,33.88,83.93,1729.82,0.1627,0.1198,0.3817,0.2232,1
15.65,16.66,45.2,302.5,0.0873,0.2445,0.2136,0.274,0
17.52,36.89,171.34,,0.1115,0.0964,0.425,0.1553,1
21.06,37.24,84.12,2302.02,0.0631,0.2015,0.0445,0.1384,1
26.97,38.24,167.45,1626.92,0.0585,0.1475,0.3479,0.2395,1
29.62,25.13,86.11,2129.91,0.1015,0.3373,0.2758,0.1377,1
24.44,29.99,71.09,2259.92,0.139,0.1628,0.2497,0.1182,1
16.03,33.13,195.83,1197.14,0.0823,0.2128,0.3121,0.1193,1
16.11,13.06,97.86,254.52,0.1175,0.3318,0.3613,0.2537,1
23.7,27.63,136.22,584.34,0.0834,0.3464,0.371,0.1057,1
11.73,10.06,137.6,297.11,0.0966,0.0535,0.0754,0.1579,0
8.65,24.42,129.68,585.43,0.1588,0.2953,0.0847,0.1258,0
14.51,13.8,,1108.86,0.1527,0.1461,0.007,0.251,0
12.89,14.67,147.91,418.94,0.1119,0.2163,0.0567,0.2007,0
13.11,20.32,104.6,533.49,0.0786,0.1438,0.1135,0.1411,0
11.61,22.41,177.98,1192.14,0.0732,0.1524,0.31,0.2501,0
7.01,28.32,68.97,942.8,0.1645,0.0724,0.2046,0.2501,0
6.43,11.31,127.08,1243.67,0.0743,0.209,0.3259,0.2046,0
29.71,24.61,192.09,1152.85,0.147,,0.2092,0.1552,1
16.27,14.66,140.06,1660.97,0.0943,0.0825,0.2389,0.2173,0
15.22,26.79,170.71,2351.77,0.1683,0.1988,0.0478,0.2867,1
22.31,28.76,144.57,394.56,0.0942,0.3411,0.3339,0.1103,1
11.24,26.26,174.3,374.25,0.0922,0.2558,0.326,0.1534,0
28.8,31.89,191.12,2152.62,0.1265,0.1787,0.1323,0.157,1
,19.4,83.67,1335.1,0.1654,0.3223,0.1413,0.2264,0
8.15,32.72,67.15,1948.72,0.1671,0.2099,0.0945,0.2302,1
16.02,22.42,,648.4,0.1349,0.0646,0.35,0.1413,0
27.1,24.01,152.3,2096.12,0.1406,0.2007,0.3212,0.1432,1
28.67,29.09,76.35,2320.28,0.1176,0.0797,0.2619,0.2856,1
17.22,9.57,40.66,1639.74,0.1407,0.2733,0.1027,,0
20.72,29.27,94.87,389.87,0.1532,0.3392,0.0739,0.2869,1
10.01,28.18,195.02,2252.9,0.1083,0.1391,0.0216,0.2659,0
29.79,18.61,151.19,2010.27,0.1244,0.1635,0.0196,0.1804,1
11.56,11.66,104.21,1912.07,0.1145,0.1591,0.0805,0.1244,0
28.63,11.82,70.81,226.68,0.1175,0.1141,0.0432,0.2259,0
21.59,37.62,96.97,2025.55,0.1568,0.2821,0.2391,0.1704,1
20.59,30.37,,465.56,0.0927,0.2239,0.154,0.1851,0
18.3,12.94,57.01,664.83,0.075,,0.1913,0.1852,0
11.54,20.06,185.08,1502.04,0.1048,0.2968,0.2554,0.2873,1
10.24,27.37,199.62,765.35,0.075,0.0817,0.2834,0.1138,0
11.29,34.9,66.26,1700.78,0.1098,0.3431,0.2787,0.1386,0
10.47,10.35,48.72,,0.1584,0.1443,0.1122,0.2216,0
24.71,16.34,92.76,395.23,0.1241,0.2234,0.3481,0.2768,1
14.4,36.58,113.87,1688.19,0.1527,0.0457,0.3946,0.2836,1
7.39,9.28,72.77,2320.53,0.0699,0.1337,0.1359,0.2117,0
29.26,15.24,88.23,520.22,0.1581,0.2848,0.0073,0.1069,1
27.21,38.73,72.14,1549.07,0.1222,0.1775,0.3866,0.1726,1
28.27,,163.88,946.8,0.0538,,0.3971,0.2838,1
,17.11,154.01,1224.68,0.126,0.2098,0.0219,0.2,1
10.17,11.08,141.59,817.32,0.1642,0.3264,0.0021,0.2453,0
15.51,9.87,101.95,975.75,0.0595,0.3443,0.3511,0.1538,0
24.2,16.59,185.45,208.23,0.1199,0.1698,0.1296,0.105,0
22.7,36.33,195.13,2456.46,0.1599,0.2065,0.3933,0.2157,1
9.69,21.89,67.78,1614.53,0.0512,0.2955,0.0932,0.267,0
25.58,31.33,75.68,1321.67,0.1257,0.0931,0.3703,0.2981,1
11.39,37.47,124.1,1045.57,0.107,0.3043,0.0295,0.2693,0
11.37,21.65,54.6,1412.92,0.0916,0.2153,0.1121,0.2108,0
18.89,14.93,109.83,1037.05,0.1253,0.2594,0.4184,0.2217,1
20.23,25.03,133.09,989.38,0.0563,0.0464,0.0994,0.2648,0
19.92,37.15,123.53,1234.91,0.1404,0.2728,0.0572,0.104,1
8.2,33.94,92.95,791.32,0.0505,0.1226,0.3685,0.2903,0
27.06,11.04,126.79,564.92,0.0868,0.2857,0.0507,0.2062,0
12.37,30.47,193.41,1453.59,0.1105,0.188,0.0419,0.2904,1
9.11,26.73,72.96,2128.93,0.0952,,0.1391,0.2529,0
27.33,37.13,144.77,500.67,0.0869,0.3344,0.2732,,1
28.94,12.8,46.94,217.25,0.1497,0.2725,0.3056,0.1331,1
26.69,25.56,50.63,722.48,0.1622,0.3453,0.3789,0.1707,1
25.43,36.26,128.29,2452.14,0.1548,0.1403,0.2326,0.1528,1
21.73,21.71,,2095.87,0.1127,0.2342,0.1692,0.1879,0
19.22,23.94,43.58,1546.24,0.1561,0.2218,0.1543,0.2208,1
8.09,,,2333.03,0.1605,0.2469,0.3642,0.1873,0
15.8,17.62,130.38,1190.86,0.0991,0.0326,0.3112,0.1113,0
14.94,19.06,152.53,2460.54,0.084,0.1163,0.3893,0.2951,0
12.23,38.3,72.4,839.27,0.0618,0.3201,0.4145,0.185,1
23.36,17.76,146.92,707.12,0.1075,0.1599,0.129,0.2702,0
17.9,23.29,69.2,1645.79,0.1636,0.337,0.2278,0.1148,1
7.95,29.81,138.15,1032.44,0.1173,0.0905,0.2717,0.262,0
11.28,14.03,105.91,1618.22,0.1301,0.3491,0.0705,0.1347,0
22.4,24.08,144.61,859.79,0.0635,0.2502,0.0229,0.2359,0
7.83,31.89,199.21,1598.29,0.0672,0.2762,,0.2324,0
26.43,,190.05,790.76,0.1057,0.151,0.2303,0.282,1
17.88,28.41,40.69,260.29,0.1642,0.3193,0.2454,0.1641,1
17.53,29.74,181.67,2292.64,0.0933,0.2,0.2386,0.1218,1
20.22,12.91,50.64,2224.36,0.1553,0.2447,0.3246,0.2729,1
25.79,38.32,192.49,2431.08,0.0644,0.0513,0.0626,0.1663,1
14.35,,85.09,1831.0,0.124,,0.264,0.1465,0
22.27,33.01,101.13,1751.22,0.1221,0.3101,0.2019,0.1972,1
19.58,17.21,54.66,1459.25,0.1532,0.0788,0.3857,0.1292,1
12.41,37.94,57.96,437.22,0.0504,0.2634,0.2234,0.1594,0
27.09,31.32,156.28,586.6,0.0728,0.0284,,0.1771,1
25.14,32.37,191.09,823.15,0.0764,0.3256,0.1519,0.1555,1
21.8,15.79,137.72,2240.77,0.164,0.3444,0.4158,0.1901,1
26.41,22.73,154.54,548.21,0.0684,0.1369,0.3763,0.1769,1
26.82,28.15,161.92,,0.0544,0.0553,0.2512,0.2549,1
23.0,32.87,82.05,1373.77,0.1141,0.2373,0.1521,0.2837,1
26.09,12.22,47.24,1828.74,0.1134,0.0298,0.1616,0.1202,1
22.74,38.83,40.3,400.18,0.1513,0.1792,0.3323,0.2647,1
22.32,36.6,96.1,774.92,0.1639,0.1097,0.2497,0.2864,1
20.85,17.38,78.63,2402.1,0.1146,0.1762,0.1727,0.2373,1
24.07,34.51,49.97,,0.1616,0.026,0.2735,0.2993,1
9.81,25.07,68.72,839.79,0.137,0.037,0.3153,0.167,0
27.14,23.32,59.92,606.33,0.0817,0.0253,0.0098,,0
26.92,18.75,186.38,444.61,0.1614,0.2243,0.0386,0.2347,1
6.7,27.01,62.44,690.49,0.1301,0.2048,0.0406,0.1647,0
25.82,31.63,126.02,1655.89,0.0997,0.0969,0.0997,0.2409,1
9.09,21.74,134.9,,0.1316,0.2334,0.1836,0.2019,0
14.04,28.51,126.96,1446.86,0.0982,,0.3456,0.1378,0
23.84,30.68,55.85,428.78,0.0637,0.1115,0.151,0.1348,0
9.86,31.04,91.01,2032.99,0.1363,0.2946,0.0075,0.2427,0
25.63,10.61,,1990.46,0.1489,0.2386,0.2078,0.2424,1
25.97,35.65,103.31,190.95,0.1375,0.0312,0.4286,0.2062,1
18.18,23.21,70.18,1045.1,0.0775,0.1438,0.1501,,0
,17.13,129.86,302.3,0.1648,0.1876,0.4133,0.136,0
12.89,16.49,150.85,2009.37,0.053,0.2615,0.0436,0.1859,0
20.81,23.97,125.14,1879.96,0.0899,0.1148,0.0744,0.2743,0
29.55,36.49,109.48,2268.69,0.0812,0.3443,0.3114,0.2709,1
21.16,20.73,101.97,697.91,0.0558,0.2459,0.2155,0.2322,1
12.24,32.24,174.67,1216.86,0.0987,0.143,0.329,0.2995,1
,12.0,75.1,575.39,0.1248,0.052,,0.2786,0
18.96,23.76,157.47,1016.11,0.1559,0.0799,0.108,0.129,0
24.72,39.74,161.2,1372.49,0.1688,0.1809,0.2936,0.1798,1
8.57,32.88,107.07,265.86,0.147,0.1832,0.2613,0.1264,0
24.26,15.53,87.57,1827.09,0.1062,0.2733,0.3705,0.1932,1
18.99,24.54,115.29,1422.17,0.1368,0.2596,0.1849,0.2553,1
29.11,16.24,54.91,2096.34,0.1512,0.0864,0.0223,0.1312,0
14.2,21.7,47.35,781.4,0.1058,0.2163,0.2469,0.2761,0
21.18,33.18,57.86,2271.84,0.1442,0.0268,0.4123,0.2138,1
28.37,32.91,69.94,2496.92,0.1079,0.1515,0.0063,0.2498,1
8.46,16.07,120.67,2309.54,0.0964,0.2722,0.1033,0.109,0
28.49,37.59,175.86,1975.83,0.1131,0.1518,0.1359,0.1188,1
22.51,27.37,77.7,2057.19,0.1311,0.2957,0.3293,0.2242,1
7.63,20.78,189.63,1494.04,0.1372,0.3421,0.139,0.2676,0
13.22,24.56,192.79,588.76,0.0928,0.2204,0.1028,0.2748,0
23.0_err,27.76,193.42,1737.82,0.1186,0.0679,0.2789,0.2377,1
7.62,26.36,174.01,1822.1,0.1592,0.1453,0.02,0.1402,0
19.97,24.08,98.21,2465.51,0.1672,0.0231,0.0734,0.139,0
14.3,24.65,51.63,1417.47,0.0773,0.2189,0.1755,0.2763,0
20.9,14.47,131.01,780.43,0.0731,0.2911,0.1529,0.1226,1
7.1,34.19,129.39,1753.47,0.1312,0.2279,0.1493,0.2372,0
26.92,25.79,176.0,2451.33,0.0998,0.2794,0.0467,0.2067,1
29.36,13.06,199.36,558.22,0.0529,0.284,0.1552,0.1843,0
29.25,32.75,121.31,909.36,0.0916,0.3008,0.3431,0.1881,1
23.99,37.91,95.23,1418.84,0.1468,0.108,0.178,0.289,1
9.12,38.37,69.74,541.71,0.1457,0.3075,0.2521,0.2723,0
24.2,20.44,40.77,192.44,0.1094,0.2359,0.0703,,0
6.59,,121.46,935.28,0.1067,0.1156,0.03,0.1813,0
6.53,25.07,128.88,2182.28,0.1195,0.3458,0.3784,0.1214,0
13.77,12.49,171.99,242.59,0.0763,0.3336,0.1425,0.2996,0
17.73,37.95,120.73,1152.27,0.1131,0.2096,0.1506,0.1291,1
24.49,14.69,186.63,1938.79,0.0513,0.2983,0.3774,0.2031,1
22.4,16.84,140.49,2389.51,0.1071,0.1063,0.3043,0.1529,1
16.7,21.61,174.45,2465.72,0.0903,0.1573,0.3252,0.2021,1
12.57,20.88,63.73,1135.85,0.131,0.0807,0.2933,0.161,0
29.93,33.63,176.85,2382.91,0.1266,0.1916,0.0455,0.2794,1
16.23,23.15,148.02,223.59,0.0957,0.1837,0.4119,0.2937,1
16.83,14.29,67.24,1900.36,0.0509,0.0902,0.3909,0.182,0
9.93,,70.36,1656.88,0.0803,0.242,0.1016,0.114,0
25.08,24.78,188.24,728.87,0.126,0.0589,0.3457,0.2327,1
22.65,13.57,45.15,1337.27,0.0587,,0.176,0.1753,0
11.3,27.96,114.01,445.75,0.0629,0.147,0.294,0.2972,0
7.98,26.54,90.16,2196.97,0.1276,0.1552,0.0712,0.1179,1
22.33,31.16,146.41,984.64,0.1407,0.1255,0.2316,0.1238,1
21.71,38.07,174.34,1617.46,0.0886,,0.0544,0.2399,1
12.56,37.28,97.66,514.71,,0.1318,0.2306,0.2517,0
28.82,38.33,108.3,626.55,0.1635,0.0739,0.1047,0.1942,1
9.63,16.59,197.11,2481.02,0.1635,0.1531,0.1946,0.1555,0
16.38,13.08,165.43,1917.28,0.0869,0.3185,0.2872,0.162,0
28.65,18.37,183.55,2410.25,0.1472,0.0941,0.3771,0.1676,1
16.07,36.75,110.2,838.21,0.1213,0.2459,0.0711,0.1451,1
21.32,39.13,77.45,528.37,0.1671,0.0668,0.3841,0.2701,1
15.54,35.64,,1327.24,0.1073,0.1368,0.1677,0.113,0
12.58,12.41,154.57,1307.42,0.143,0.126,0.3628,0.1815,0
29.62,38.37,57.51,552.87,0.1422,0.3292,0.2204,0.2495,1
15.82,22.12,83.28,1870.4,,0.1612,0.3707,0.1008,1
27.46,9.29,47.46,993.79,0.1455,0.2479,0.285,0.2756,1
11.52,22.71,109.18,579.82,0.0813,0.2188,0.2187,0.2413,0
11.11,10.43,172.39,923.48,0.0647,0.0665,0.1344,0.1147,0
