session_duration_min,pages_viewed,cart_value,prev_purchases,discount_percent,device_type,day_of_week,bounce_rate,loyalty_score,made_purchase
74.0,30.0,2810.17,19.0,41.2,0.0,6.0,0.038,67.0,1
47.0,40.0,2806.3,8.0,41.7,1.0,6.0,0.152,79.0,1
92.0,32.0,365.34,11.0,43.0,2.0,0.0,0.331,23.0,1
95.0,11.0,3624.52,5.0,10.8,0.0,0.0,0.335,13.0,1
47.0,48.0,432.23,2.0,37.9,0.0,5.0,0.486,82.0,1
9.0,1.0,3451.64,4.0,15.8,0.0,2.0,0.064,76.0,0
76.0,2.0,4147.34,8.0,47.1,0.0,5.0,0.015,70.0,1
111.0,23.0,3699.66,9.0,47.7,0.0,2.0,0.795,99.0,1
106.0,49.0,4975.5,5.0,8.9,0.0,3.0,0.436,26.0,1
15.0,17.0,3124.14,10.0,22.8,1.0,6.0,0.075,16.0,0
97.0,22.0,711.71,8.0,43.4,0.0,0.0,0.609,30.0,1
63.0,31.0,2336.18,4.0,17.9,0.0,2.0,0.396,26.0,1
115.0,39.0,2291.58,18.0,29.9,1.0,4.0,0.199,48.0,1
98.0,10.0,2226.67,16.0,41.1,0.0,6.0,0.077,72.0,1
117.0,20.0,4208.57,12.0,23.0,1.0,4.0,0.601,21.0,1
36.0,8.0,978.65,9.0,11.6,0.0,3.0,0.847,95.0,0
41.0,33.0,3107.74,11.0,9.1,2.0,1.0,0.464,14.0,0
87.0,48.0,1024.76,9.0,50.0,2.0,3.0,0.747,35.0,0
28.0,36.0,317.08,9.0,9.7,1.0,3.0,0.148,27.0,0
42.0,4.0,3710.14,17.0,2.8,0.0,3.0,0.01,36.0,1
32.0,3.0,238.12,18.0,1.3,2.0,0.0,0.712,84.0,0
6.0,6.0,623.86,3.0,44.0,1.0,6.0,0.99,86.0,0
14.0,7.0,2423.41,1.0,40.6,2.0,6.0,0.524,68.0,0
118.0,2.0,3662.8,19.0,,1.0,6.0,0.922,76.0,1
22.0,35.0,2803.2,16.0,6.3,0.0,1.0,0.226,38.0,1
31.0,11.0,1504.1,8.0,33.7,2.0,1.0,0.945,76.0,0
95.0,18.0,3823.58,7.0,42.1,0.0,0.0,0.277,9.0,0
31.0,,202.31,6.0,8.7,2.0,0.0,0.765,5.0,0
48.0,17.0,4785.38,8.0,7.1,2.0,2.0,0.618,7.0,0
61.0,25.0,327.81,17.0,24.1,1.0,2.0,0.227,,1
10.0,14.0,3907.03,8.0,19.4,1.0,3.0,0.999,91.0,1
88.0,9.0,4326.12,15.0,32.9,2.0,1.0,0.022,24.0,1
11.0,33.0,4662.17,7.0,35.1,0.0,2.0,0.428,40.0,1
36.0,45.0,3667.37,19.0,2.5,0.0,1.0,0.89,94.0,1
27.0,49.0,1440.29,8.0,20.1,2.0,1.0,0.172,36.0,0
33.0,42.0,2856.82,1.0,8.3,0.0,6.0,0.239,32.0,1
108.0,35.0,202.39,18.0,19.9,0.0,3.0,0.802,29.0,0
,44.0,4232.2,0.0,12.7,2.0,3.0,0.887,48.0,1
98.0,6.0,3447.85,7.0,3.6,2.0,4.0,0.298,73.0,1
112.0,45.0,3727.16,9.0,16.4,2.0,6.0,0.307,78.0,1
60.0,28.0,3753.62,1.0,,2.0,6.0,0.751,79.0,0
21.0,18.0,3214.34,3.0,,1.0,6.0,0.408,31.0,0
12.0,33.0,1268.57,,17.0,1.0,1.0,0.354,70.0,0
77.0,4.0,2824.58,6.0,0.1,1.0,1.0,0.485,73.0,0
2.0,43.0,3760.97,6.0,6.4,2.0,6.0,0.312,62.0,0
10.0,10.0,4997.48,7.0,19.4,2.0,2.0,0.601,88.0,1
67.0,40.0,668.46,3.0,44.7,0.0,3.0,0.508,0.0,1
106.0,36.0,683.58,10.0,32.4,2.0,5.0,0.425,78.0,1
100.0,46.0,180.98,5.0,10.4,1.0,0.0,0.248,33.0,1
12.0,42.0,2793.78,19.0,21.7,2.0,2.0,0.804,,0
29.0,14.0,1114.36,17.0,34.0,2.0,1.0,0.184,41.0,1
83.0,6.0,201.61,3.0,30.0,1.0,6.0,0.114,6.0,0
72.0,39.0,4849.91,16.0,11.7,2.0,5.0,0.749,79.0,0
2.0,5.0,959.21,19.0,27.2,0.0,4.0,0.883,55.0,1
107.0,16.0,3041.18,16.0,40.8,1.0,3.0,0.724,27.0,1
15.0,25.0,4363.74,14.0,28.3,1.0,0.0,0.949,44.0,1
22.0,36.0,1873.87,17.0,36.9,0.0,3.0,0.082,93.0,1
14.0,22.0,921.69,17.0,40.8,2.0,5.0,0.523,73.0,0
58.0,10.0,2548.07,12.0,43.9,2.0,4.0,0.595,29.0,1
89.0,8.0,2112.36,4.0,22.9,1.0,4.0,0.264,64.0,1
94.0,10.0,4882.92,10.0,9.9,1.0,4.0,0.427,46.0,0
54.0,36.0,2028.65,5.0,17.9,0.0,6.0,0.961,24.0,0
114.0,3.0,4354.06,4.0,14.0,,4.0,0.992,76.0,1
91.0,40.0,3012.47,1.0,22.1,1.0,6.0,0.951,33.0,0
54.0,49.0,3175.26,5.0,44.2,1.0,0.0,0.852,82.0,1
46.0,16.0,127.04,5.0,1.0,0.0,3.0,0.11,87.0,0
9.0,3.0,730.32,10.0,25.9,,0.0,0.129,55.0,0
25.0,47.0,3539.32,5.0,27.4,0.0,2.0,0.561,53.0,0
41.0,21.0,3795.76,7.0,16.6,2.0,1.0,0.04,67.0,1
102.0,49.0,1845.45,8.0,7.4,1.0,6.0,0.571,,1
60.0,15.0,3455.63,7.0,17.2,2.0,2.0,0.251,,0
17.0,22.0,4758.6,6.0,20.3,1.0,1.0,0.044,58.0,0
22.0,22.0,16.57,11.0,44.3,2.0,5.0,,7.0,0
100.0,10.0,3424.02,1.0,19.0,0.0,1.0,0.653,95.0,0
14.0,10.0,4848.07,3.0,6.9,1.0,6.0,0.635,18.0,0
57.0,23.0,3078.23,19.0,38.0,0.0,3.0,0.942,77.0,1
84.0,23.0,2649.87,9.0,32.6,1.0,2.0,0.242,36.0,1
2.0,42.0,3364.66,6.0,8.0,1.0,1.0,0.299,79.0,0
14.0,41.0,390.06,7.0,32.8,0.0,1.0,0.491,66.0,1
39.0,46.0,593.37,14.0,33.3,,1.0,0.082,84.0,1
94.0,5.0,643.14,7.0,1.5,2.0,5.0,0.049,49.0,0
64.0,20.0,119.04,1.0,23.5,0.0,0.0,0.749,8.0,0
83.0,2.0,2453.18,8.0,35.0,1.0,4.0,0.842,81.0,1
33.0,11.0,923.41,10.0,28.0,2.0,4.0,0.952,45.0,0
4.0,35.0,3373.56,4.0,26.5,2.0,5.0,0.971,4.0,0
32.0,15.0,769.48,0.0,45.3,0.0,2.0,0.02,52.0,1
66.0,23.0,1243.28,18.0,39.9,1.0,0.0,0.995,22.0,0
25.0,24.0,1754.15,1.0,6.4,2.0,3.0,0.696,71.0,0
98.0,23.0,510.35,15.0,5.5,1.0,3.0,0.07,90.0,1
77.0,23.0,1461.21,19.0,32.6,1.0,6.0,0.864,87.0,1
22.0,33.0,1406.33,2.0,31.5,2.0,,0.814,85.0,0
52.0,4.0,20.75,10.0,39.2,1.0,3.0,0.801,75.0,1
32.0,27.0,2488.76,13.0,37.8,0.0,5.0,0.681,33.0,0
103.0,41.0,4846.52,16.0,44.5,0.0,3.0,0.514,51.0,1
99.0,16.0,1803.46,17.0,1.5,2.0,5.0,0.181,76.0,1
88.0,31.0,3091.8,11.0,7.0,1.0,5.0,0.377,14.0,1
21.0,8.0,1231.85,3.0,28.5,1.0,1.0,0.179,67.0,0
93.0,39.0,1773.15,14.0,41.6,0.0,2.0,0.722,89.0,1
113.0,39.0,3158.16,5.0,41.1,1.0,4.0,0.714,54.0,1
119.0,13.0,3738.71,19.0,40.6,2.0,4.0,0.912,49.0,1
,13.0,4319.78,2.0,48.0,2.0,6.0,0.054,52.0,1
87.0,23.0,2447.01,,44.6,1.0,4.0,0.165,40.0,1
36.0,45.0,1648.83,10.0,19.7,1.0,1.0,0.734,45.0,1
91.0,19.0,3145.69,0.0,11.0,0.0,1.0,0.46,65.0,1
75.0,34.0,821.1,0.0,13.5,2.0,0.0,0.414,95.0,1
59.0,40.0,3558.19,19.0,9.0,2.0,4.0,0.773,42.0,0
110.0,13.0,4157.23,19.0,2.5,0.0,3.0,0.174,29.0,1
27.0,24.0,2861.12,9.0,16.0,1.0,4.0,0.003,22.0,0
75.0,10.0,1522.39,14.0,25.7,1.0,1.0,0.194,61.0,1
11.0,48.0,2486.68,18.0,,0.0,1.0,0.609,,1
92.0,21.0,327.61,0.0,13.9,1.0,4.0,0.755,66.0,0
33.0,35.0,3574.99,9.0,44.8,0.0,2.0,0.907,92.0,1
46.0,4.0,4248.31,0.0,45.3,1.0,6.0,0.239,17.0,0
119.0,9.0,4641.47,17.0,41.9,1.0,3.0,0.794,61.0,1
,2.0,2278.79,15.0,21.6,2.0,4.0,0.832,92.0,1
102.0,11.0,4870.95,16.0,15.9,2.0,3.0,0.287,30.0,1
102.0,36.0,,0.0,25.8,2.0,4.0,0.946,72.0,1
92.0,2.0,957.02,18.0,9.7,0.0,1.0,0.107,35.0,1
63.0,25.0,3430.69,4.0,1.7,0.0,1.0,0.461,61.0,0
1.0,41.0,2104.87,11.0,16.8,2.0,6.0,0.633,27.0,0
101.0,45.0,4224.81,11.0,8.1,2.0,5.0,0.581,73.0,1
56.0,46.0,583.67,8.0,0.1,1.0,3.0,0.061,32.0,0
87.0,11.0,25.0,18.0,49.8,0.0,5.0,0.414,91.0,1
103.0,25.0,4468.21,15.0,42.8,0.0,5.0,0.699,41.0,1
12.0,41.0,1048.07,14.0,38.7,0.0,3.0,0.669,77.0,1
57.0,49.0,1909.38,14.0,23.9,2.0,4.0,0.313,3.0,1
107.0,6.0,,4.0,26.1,0.0,3.0,0.996,32.0,0
41.0,28.0,3122.86,3.0,22.0,2.0,5.0,0.529,75.0,0
19.0,18.0,4453.23,3.0,32.2,1.0,3.0,0.531,82.0,0
4.0,35.0,357.28,12.0,40.4,2.0,4.0,0.878,34.0,0
83.0,42.0,2480.36,13.0,44.1,0.0,6.0,0.86,36.0,1
31.0,38.0,2886.64,18.0,48.8,2.0,4.0,0.899,85.0,0
75.0,27.0,,1.0,11.7,1.0,0.0,0.017,34.0,0
102.0,39.0,,16.0,24.4,1.0,3.0,0.665,5.0,1
22.0,29.0,4513.66,3.0,47.5,1.0,0.0,0.729,4.0,1
65.0,5.0,259.22,17.0,16.7,1.0,3.0,0.583,59.0,0
23.0,35.0,4920.64,4.0,40.6,0.0,6.0,0.276,29.0,0
91.0,32.0,2790.43,4.0,26.1,2.0,2.0,0.713,73.0,1
26.0,32.0,1741.76,6.0,42.3,1.0,3.0,0.225,24.0,0
111.0,17.0,2793.05,15.0,7.8,1.0,0.0,0.397,48.0,0
87.0,39.0,4570.11,7.0,34.3,0.0,0.0,0.252,21.0,1
108.0,2.0,5.14,6.0,15.9,1.0,4.0,0.474,16.0,0
110.0,35.0,4159.39,8.0,14.1,0.0,6.0,0.882,71.0,1
99.0,19.0,6.11,17.0,29.6,,2.0,0.109,46.0,0
85.0,38.0,2274.78,1.0,8.5,0.0,6.0,0.101,,1
99.0,30.0,1606.63,18.0,2.2,1.0,2.0,0.745,60.0,0
22.0,12.0,99.06,1.0,23.2,2.0,6.0,0.956,,0
8.0,,4394.59,6.0,30.5,2.0,3.0,0.138,66.0,1
44.0,23.0,4378.73,1.0,33.6,0.0,6.0,0.234,71.0,1
20.0,23.0,1480.81,1.0,41.0,1.0,6.0,0.737,75.0,0
104.0,32.0,2883.99,2.0,13.1,1.0,5.0,0.468,80.0,0
84.0,17.0,1229.35,12.0,19.6,1.0,4.0,0.709,21.0,1
97.0,22.0,3876.61,19.0,22.9,0.0,1.0,0.8,11.0,1
50.0,9.0,3625.8,6.0,49.7,1.0,6.0,0.779,94.0,0
35.0,21.0,4957.32,14.0,28.5,0.0,3.0,0.057,35.0,1
118.0,26.0,3179.94,0.0,35.7,1.0,4.0,0.516,60.0,0
80.0,32.0,577.15,3.0,41.3,2.0,5.0,0.927,69.0,0
75.0,,4285.89,,3.0,0.0,3.0,0.531,11.0,0
94.0,28.0,1073.19,15.0,9.2,0.0,6.0,0.039,65.0,1
109.0,47.0,1676.88,14.0,47.7,2.0,6.0,0.986,28.0,1
109.0,44.0,4967.75,8.0,14.4,2.0,6.0,0.23,19.0,1
106.0,2.0,3754.7,13.0,12.2,1.0,6.0,0.047,62.0,1
12.0,8.0,2927.16,4.0,1.1,2.0,4.0,0.014,30.0,0
60.0,25.0,3072.73,12.0,5.3,1.0,2.0,0.553,34.0,0
54.0,8.0,3272.61,12.0,16.5,2.0,5.0,0.537,15.0,0
71.0,23.0,110.02,18.0,7.6,1.0,2.0,0.88,31.0,0
46.0,3.0,798.8,15.0,22.1,2.0,6.0,0.911,59.0,0
64.0,24.0,4556.02,3.0,26.0,1.0,1.0,0.996,14.0,0
89.0,10.0,1168.83,2.0,14.3,2.0,0.0,0.464,,1
66.0,33.0,4544.38,10.0,45.9,2.0,4.0,0.703,36.0,1
79.0,33.0,4359.4,6.0,10.4,0.0,1.0,0.315,16.0,1
75.0,39.0,507.03,5.0,21.5,1.0,2.0,0.691,99.0,1
84.0,26.0,2551.09,2.0,31.1,0.0,2.0,0.657,64.0,1
49.0,49.0,2813.07,8.0,45.9,1.0,4.0,0.826,83.0,1
46.0,34.0,1008.58,11.0,4.3,0.0,1.0,,82.0,0
37.0,35.0,781.53,9.0,29.0,2.0,0.0,0.204,73.0,1
45.0,13.0,1593.56,16.0,36.3,1.0,1.0,0.478,23.0,0
117.0,10.0,1866.79,15.0,6.3,0.0,2.0,0.403,45.0,1
104.0,10.0,4304.02,19.0,22.4,0.0,6.0,0.073,87.0,1
24.0,21.0,2543.43,9.0,27.2,2.0,3.0,0.233,95.0,0
13.0,45.0,4748.01,14.0,46.4,2.0,4.0,0.546,63.0,1
70.0,7.0,3993.74,19.0,26.5,0.0,5.0,0.754,93.0,1
25.0,7.0,3999.71,9.0,44.5,0.0,3.0,0.71,59.0,1
40.0,21.0,104.65,2.0,34.9,0.0,1.0,0.477,,0
65.0,3.0,4280.12,12.0,36.7,0.0,4.0,0.745,25.0,1
42.0,7.0,499.25,5.0,45.7,1.0,2.0,0.364,82.0,0
31.0,40.0,4358.22,5.0,22.3,0.0,6.0,0.257,44.0,1
36.0,33.0,205.14,8.0,31.7,1.0,3.0,0.406,44.0,0
83.0,25.0,1703.31,2.0,48.1,1.0,0.0,0.289,77.0,1
17.0,16.0,408.46,8.0,18.2,1.0,2.0,0.571,94.0,0
26.0,11.0,700.48,15.0,35.5,2.0,2.0,0.132,64.0,1
19.0,46.0,3632.42,3.0,3.6,0.0,2.0,0.731,94.0,1
97.0,10.0,2970.1,3.0,3.4,1.0,6.0,0.902,21.0,0
61.0,15.0,2892.31,5.0,20.1,0.0,6.0,0.793,98.0,0
105.0,3.0,2876.16,3.0,48.3,2.0,5.0,0.043,49.0,1
104.0,39.0,4402.61,18.0,11.2,1.0,5.0,0.227,96.0,1
114.0,30.0,2676.98,3.0,21.7,1.0,4.0,0.74,,0
57.0,16.0,3256.48,14.0,22.8,2.0,2.0,0.75,96.0,1
37.0,38.0,2260.37,3.0,45.4,1.0,6.0,0.562,68.0,0
60.0,32.0,1345.51,6.0,32.2,2.0,2.0,0.667,37.0,0
84.0,8.0,47.91,9.0,45.5,1.0,6.0,0.685,81.0,0
67.0,7.0,1461.83,17.0,23.2,1.0,6.0,0.626,61.0,1
22.0,47.0,3681.88,15.0,16.6,1.0,0.0,0.157,55.0,1
45.0,48.0,1381.85,19.0,19.5,0.0,0.0,0.111,15.0,1
18.0,22.0,669.06,9.0,26.4,2.0,0.0,0.516,27.0,0
68.0,35.0,234.3,1.0,27.2,2.0,5.0,0.81,33.0,0
24.0,20.0,3332.25,18.0,47.5,0.0,1.0,0.262,76.0,1
21.0,28.0,876.72,6.0,26.1,1.0,0.0,0.737,74.0,0
10.0,5.0,2835.63,8.0,38.6,1.0,5.0,,10.0,0
98.0,13.0,550.54,0.0,23.7,,4.0,0.006,6.0,0
7.0,18.0,3537.56,5.0,26.6,2.0,4.0,0.386,92.0,0
16.0_err,17.0,1463.98,12.0,36.6,1.0,0.0,0.672,55.0,0
19.0,28.0,3669.79,16.0,2.4,0.0,0.0,0.944,88.0,0
36.0,34.0,1813.98,10.0,17.9,0.0,2.0,0.0,69.0,1
44.0,35.0,3782.15,10.0,7.4,1.0,0.0,0.37,26.0,0
33.0,41.0,3582.12,3.0,8.6,0.0,2.0,0.632,43.0,0
17.0,28.0,987.28,0.0,38.7,1.0,5.0,0.593,78.0,0
18.0,49.0,1941.95,16.0,23.8,2.0,2.0,0.281,88.0,1
23.0,11.0,3505.05,6.0,45.5,2.0,5.0,0.528,24.0,0
22.0,37.0,2165.21,4.0,40.9,0.0,1.0,0.315,66.0,1
47.0,2.0,650.89,19.0,39.8,0.0,4.0,0.038,17.0,1
109.0,49.0,4907.2,1.0,25.9,2.0,2.0,0.063,74.0,1
91.0,12.0,2976.83,0.0,29.7,2.0,5.0,0.149,2.0,0
69.0,26.0,1002.0,14.0,26.0,2.0,1.0,0.816,63.0,0
98.0,12.0,4818.66,6.0,27.6,0.0,6.0,0.729,31.0,0
92.0,47.0,2428.06,10.0,9.4,2.0,5.0,0.829,7.0,0
96.0,16.0,2421.68,13.0,0.3,2.0,4.0,0.975,41.0,0
54.0,23.0,3788.33,11.0,36.7,1.0,4.0,0.363,23.0,0
75.0,12.0,2033.13,2.0,13.5,1.0,5.0,0.302,44.0,0
50.0,16.0,2213.44,19.0,15.8,1.0,4.0,0.045,6.0,0
102.0,45.0,1308.02,18.0,31.4,2.0,,0.221,33.0,1
48.0,31.0,3556.13,10.0,40.8,1.0,4.0,0.57,29.0,1
119.0,42.0,1035.31,13.0,12.5,2.0,5.0,0.489,63.0,1
70.0,10.0,3003.88,8.0,9.3,2.0,1.0,0.215,62.0,0
82.0,25.0,3849.68,15.0,19.7,1.0,6.0,0.072,91.0,1
44.0,16.0,367.21,16.0,28.7,2.0,4.0,0.941,29.0,0
39.0,8.0,2977.1,15.0,2.9,1.0,3.0,0.603,47.0,0
36.0,36.0,550.67,0.0,18.9,1.0,3.0,0.174,34.0,1
41.0,32.0,2100.98,17.0,15.1,0.0,3.0,0.829,9.0,0
18.0,22.0,2179.54,1.0,27.2,1.0,3.0,0.294,64.0,0
60.0,21.0,2325.88,4.0,49.7,2.0,0.0,0.354,42.0,0
21.0,26.0,1684.05,3.0,15.0,1.0,6.0,0.773,46.0,0
20.0,17.0,3602.91,9.0,2.0,1.0,0.0,0.005,77.0,1
114.0,4.0,1479.4,18.0,,2.0,6.0,0.033,89.0,1
76.0,37.0,1684.53,14.0,11.0,2.0,6.0,0.136,63.0,1
65.0,47.0,103.58,14.0,46.3,1.0,4.0,0.691,34.0,0
91.0,,340.22,13.0,5.8,2.0,3.0,0.645,35.0,0
103.0,46.0,4743.42,13.0,43.3,0.0,2.0,0.268,20.0,1
92.0,49.0,321.15,2.0,7.2,0.0,2.0,0.976,27.0,0
36.0,42.0,3384.58,18.0,27.3,1.0,4.0,0.658,12.0,0
114.0,10.0,2564.21,19.0,43.1,2.0,6.0,0.611,97.0,1
14.0,5.0,3884.01,14.0,34.1,1.0,2.0,0.203,99.0,1
47.0,13.0,4848.46,2.0,1.6,1.0,6.0,0.254,13.0,0
1.0,23.0,2082.69,1.0,30.8,0.0,5.0,0.561,93.0,0
96.0,8.0,4857.37,14.0,13.2,0.0,5.0,0.472,62.0,1
91.0,21.0,4857.68,3.0,34.8,1.0,4.0,0.556,11.0,1
57.0,29.0,1668.85,18.0,10.5,2.0,1.0,,21.0,1
63.0,5.0,2908.26,16.0,22.4,0.0,5.0,0.679,89.0,1
39.0,,826.86,16.0,13.7,1.0,2.0,0.157,76.0,1
97.0,13.0,1294.03,0.0,46.4,1.0,5.0,0.875,12.0,0
26.0,21.0,1121.08,19.0,17.9,0.0,5.0,0.341,73.0,0
87.0,41.0,2954.48,17.0,29.8,0.0,4.0,0.716,53.0,1
97.0,27.0,2485.41,10.0,10.4,1.0,6.0,0.853,9.0,0
88.0,5.0,3223.39,11.0,16.0,2.0,2.0,0.161,45.0,1
5.0,2.0,2091.71,5.0,1.5,1.0,5.0,0.027,9.0,0
91.0,45.0,1916.53,1.0,6.9,0.0,6.0,0.188,4.0,0
15.0,18.0,3583.74,13.0,49.9,1.0,6.0,0.118,12.0,0
46.0,17.0,3833.24,3.0,15.3,2.0,4.0,0.75,41.0,0
56.0,33.0,3791.03,15.0,41.3,1.0,3.0,0.741,37.0,1
85.0,,2208.8,9.0,41.9,1.0,3.0,0.052,,1
92.0,34.0,537.0,9.0,28.4,2.0,6.0,0.62,19.0,0
83.0,18.0,3661.35,19.0,45.5,0.0,0.0,0.645,44.0,1
5.0,37.0,4994.62,18.0,48.7,1.0,2.0,0.836,74.0,1
70.0,12.0,,6.0,38.1,2.0,3.0,0.295,7.0,1
74.0,39.0,1617.3,16.0,8.5,1.0,4.0,0.652,15.0,1
6.0,5.0,2706.48,9.0,12.0,2.0,6.0,0.834,54.0,0
114.0,,3444.44,18.0,5.3,2.0,1.0,0.259,18.0,1
40.0,14.0,2106.23,18.0,4.6,1.0,0.0,0.325,6.0,0
101.0,20.0,1063.06,6.0,38.5,1.0,3.0,0.193,18.0,1
42.0,6.0,783.31,4.0,39.8,0.0,5.0,0.184,46.0,0
71.0,16.0,4588.07,1.0,7.2,1.0,0.0,0.988,74.0,0
42.0,44.0,1129.93,15.0,46.3,2.0,1.0,0.637,36.0,1
78.0,40.0,2220.13,6.0,41.0,1.0,1.0,0.899,94.0,1
39.0,36.0,830.1,19.0,28.1,,6.0,0.296,74.0,1
11.0,41.0,1676.48,14.0,31.2,0.0,1.0,0.206,65.0,1
9.0,49.0,4361.82,1.0,34.0,0.0,5.0,0.003,93.0,1
46.0,28.0,1781.7,5.0,48.9,2.0,3.0,0.416,89.0,1
87.0,31.0,434.05,12.0,19.7,0.0,2.0,0.646,4.0,0
43.0,45.0,2616.91,15.0,35.3,2.0,3.0,0.108,97.0,1
19.0,25.0,708.44,18.0,34.7,2.0,2.0,0.824,54.0,1
78.0,11.0,4153.55,3.0,3.3,0.0,4.0,0.789,41.0,0
26.0,29.0,512.57,11.0,47.0,2.0,3.0,0.524,12.0,0
19.0,17.0,1574.08,16.0,31.5,0.0,1.0,0.46,81.0,1
35.0,6.0,4358.16,19.0,37.9,1.0,4.0,0.331,27.0,0
47.0,27.0,2929.47,13.0,0.3,1.0,6.0,0.263,57.0,1
40.0,7.0,896.13,19.0,46.5,0.0,0.0,0.844,75.0,1
29.0,15.0,1278.25,,42.2,0.0,4.0,0.089,98.0,1
99.0,15.0,4672.38,19.0,2.2,2.0,4.0,0.494,70.0,1
86.0,27.0,4293.33,10.0,49.2,2.0,1.0,0.982,97.0,1
91.0,32.0,643.19,16.0,43.9,0.0,5.0,0.059,71.0,1
115.0,43.0,1796.55,3.0,25.9,1.0,1.0,0.997,51.0,0
39.0,21.0,1996.04,1.0,29.8,1.0,2.0,0.405,90.0,0
16.0,38.0,20.43,6.0,40.5,2.0,5.0,0.015,96.0,1
91.0,45.0,1681.06,18.0,32.8,0.0,3.0,0.616,14.0,1
61.0,36.0,4539.67,6.0,22.2,1.0,0.0,0.538,9.0,1
71.0,45.0,3934.7,5.0,36.5,2.0,0.0,0.529,61.0,1
54.0,20.0,794.83,4.0,31.7,2.0,5.0,0.366,78.0,0
19.0,22.0,1032.73,9.0,43.2,1.0,1.0,0.055,85.0,0
103.0,47.0,4444.66,1.0,5.8,0.0,1.0,0.471,73.0,1
40.0,15.0,,7.0,47.3,0.0,4.0,0.237,50.0,0
107.0,24.0,4220.68,17.0,20.2,2.0,,0.073,83.0,1
112.0,44.0,4383.92,1.0,21.7,0.0,0.0,0.931,42.0,1
15.0,5.0,4765.59,0.0,45.7,2.0,0.0,0.703,2.0,0
94.0,16.0,1136.11,3.0,16.7,1.0,1.0,0.356,77.0,1
47.0,36.0,641.07,8.0,36.2,2.0,1.0,0.284,1.0,0
35.0,28.0,533.42,2.0,20.6,2.0,1.0,0.158,72.0,1
87.0,3.0,409.33,7.0,0.3,0.0,4.0,0.423,77.0,0
8.0,47.0,1234.52,11.0,30.5,0.0,6.0,0.459,55.0,1
8.0,48.0,1872.67,5.0,30.5,0.0,0.0,0.42,23.0,0
5.0,29.0,2586.41,2.0,33.0,1.0,1.0,0.644,71.0,1
31.0,1.0,297.72,0.0,27.2,0.0,3.0,0.101,87.0,0
71.0,40.0,2321.7,8.0,14.0,0.0,1.0,0.402,98.0,1
50.0,6.0,2432.03,16.0,48.4,1.0,5.0,0.381,77.0,1
103.0,11.0,4629.26,7.0,8.1,2.0,0.0,0.65,61.0,0
114.0,24.0,3400.3,7.0,41.0,0.0,0.0,0.413,71.0,1
109.0,,1425.24,8.0,6.5,2.0,5.0,0.06,69.0,1
19.0,10.0,4566.88,0.0,11.3,2.0,4.0,0.607,2.0,0
27.0,19.0,250.45,14.0,27.0,2.0,5.0,0.267,21.0,0
90.0,3.0,811.05,6.0,12.3,0.0,1.0,0.96,28.0,0
81.0,47.0,1765.94,0.0,27.8,0.0,2.0,0.027,53.0,1
14.0,3.0,4360.23,9.0,50.0,2.0,2.0,,88.0,1
110.0,28.0,1726.43,4.0,12.8,0.0,2.0,,33.0,0
75.0,26.0,3604.0,10.0,14.2,0.0,3.0,0.369,38.0,1
107.0,34.0,102.64,,36.1,1.0,3.0,0.434,21.0,0
12.0,20.0,3978.13,13.0,28.2,2.0,1.0,0.383,64.0,1
114.0,4.0,635.05,14.0,9.3,1.0,6.0,0.617,59.0,1
92.0,31.0,2548.7,15.0,16.6,2.0,4.0,0.994,54.0,0
18.0,30.0,3439.05,18.0,31.3,1.0,1.0,0.355,62.0,1
58.0,9.0,762.62,4.0,1.4,2.0,3.0,0.079,73.0,0
7.0,10.0,3311.84,4.0,39.7,0.0,4.0,0.019,9.0,0
38.0,23.0,4248.32,0.0,37.4,2.0,4.0,0.523,62.0,0
57.0,21.0,78.86,16.0,16.3,2.0,5.0,0.225,40.0,0
24.0,43.0,1546.83,3.0,20.3,1.0,5.0,0.994,84.0,0
27.0,20.0,3965.52,19.0,49.0,0.0,2.0,0.603,4.0,1
26.0,39.0,3381.62,17.0,6.9,2.0,4.0,0.011,76.0,1
56.0,18.0,,5.0,18.1,1.0,5.0,0.322,50.0,1
106.0,15.0,0.63,9.0,39.9,2.0,4.0,0.978,69.0,1
65.0,14.0,1134.93,7.0,9.4,1.0,1.0,0.662,26.0,0
34.0,31.0,2153.18,10.0,18.4,2.0,2.0,0.643,55.0,0
26.0,24.0,2975.59,6.0,,2.0,,0.084,88.0,1
9.0,37.0,2421.79,18.0,13.2,1.0,2.0,0.984,97.0,1
41.0,1.0,1590.94,1.0,49.9,1.0,6.0,0.367,45.0,0
99.0,43.0,1168.22,15.0,47.8,0.0,2.0,0.059,88.0,1
71.0,43.0,4450.1,4.0,22.5,2.0,2.0,0.889,57.0,0
52.0,31.0,175.65,5.0,10.0,1.0,2.0,0.418,28.0,0
26.0,29.0,4797.84,3.0,33.3,0.0,0.0,0.734,83.0,1
34.0,43.0,4268.29,14.0,32.3,1.0,0.0,0.767,39.0,1
93.0,37.0,4149.7,16.0,25.6,1.0,1.0,0.859,36.0,1
83.0,1.0,1536.75,4.0,36.4,2.0,3.0,0.81,56.0,0
60.0,42.0,1794.78,4.0,17.7,2.0,1.0,0.968,8.0,0
4.0,45.0,2248.69,2.0,27.5,1.0,1.0,0.767,26.0,0
66.0,45.0,537.98,6.0,1.2,1.0,2.0,0.812,46.0,0
41.0,1.0,3538.95,0.0,47.1,1.0,3.0,0.74,23.0,0
