machine_age_years,operating_temp_c,vibration_hz,pressure_bar,rpm,days_since_maintenance,error_count_30days,machine_failed
19.0,148.7,97.19,1.64,1114.0,327.0,10.0,1
13.0,102.0,11.05,10.08,2516.0,247.0,6.0,1
15.0,125.9,94.11,6.96,782.0,12.0,7.0,1
3.0,102.6,29.02,6.7,2240.0,247.0,4.0,1
5.0,,79.37,13.8,1372.0,278.0,11.0,1
3.0,85.3,25.64,3.25,1137.0,34.0,13.0,0
4.0,96.9,97.26,11.09,2986.0,295.0,9.0,1
12.0,67.2,94.6,2.21,1160.0,340.0,14.0,1
5.0,136.7,31.85,13.36,2710.0,236.0,17.0,1
18.0,72.7,64.58,14.18,2021.0,338.0,13.0,1
7.0,82.6,36.82,9.92,2430.0,304.0,9.0,1
4.0,61.8,65.01,6.17,1385.0,213.0,9.0,0
13.0,125.2,89.71,10.65,1146.0,34.0,10.0,1
3.0,111.9,59.22,7.1,1862.0,312.0,9.0,1
6.0,131.5,40.93,1.26,1849.0,359.0,15.0,1
2.0,72.9,15.76,13.87,2190.0,184.0,10.0,0
16.0,138.0,93.66,9.62,2233.0,272.0,13.0,1
17.0,147.5,,13.83,1241.0,354.0,8.0,1
1.0,63.0,73.84,14.9,1974.0,163.0,4.0,0
6.0,67.7,42.69,13.87,869.0,181.0,10.0,1
13.0,92.7,88.81,13.42,2135.0,212.0,17.0,1
3.0,110.3,98.75,13.81,2858.0,255.0,11.0,1
3.0,103.9,97.14,2.23,2235.0,336.0,3.0,1
16.0,133.9,83.88,12.25,2407.0,274.0,0.0,1
12.0,107.9,61.43,5.59,1774.0,316.0,15.0,1
6.0,147.2,31.33,1.55,2115.0,39.0,8.0,1
8.0,64.2,46.81,14.46,1447.0,207.0,10.0,0
5.0,73.3,,9.02,1737.0,352.0,2.0,0
3.0,77.2,11.04,3.19,780.0,86.0,12.0,0
7.0,79.2,22.18,14.76,2707.0,206.0,17.0,0
1.0,61.9,54.62,4.56,2211.0,173.0,8.0,0
16.0,104.4,64.56,11.82,2584.0,171.0,1.0,1
17.0,145.9,81.23,3.41,934.0,303.0,15.0,1
17.0,81.0,34.0,5.61,2641.0,77.0,5.0,0
2.0,76.2,72.32,9.06,2795.0,177.0,6.0,0
9.0,147.1,,5.75,1895.0,138.0,9.0,1
14.0,102.7,94.51,4.92,1576.0,22.0,2.0,0
6.0,103.2,77.61,2.28,2463.0,76.0,12.0,0
2.0,115.9,13.28,5.12,2055.0,52.0,0.0,0
15.0,84.2,58.64,1.77,2261.0,22.0,13.0,1
2.0,89.3,51.25,14.28,2170.0,237.0,16.0,1
16.0,147.0,95.56,14.16,2440.0,162.0,17.0,1
5.0,79.1,74.52,13.24,1933.0,126.0,9.0,1
2.0,111.4,47.23,8.98,2581.0,123.0,15.0,0
2.0,125.3,87.52,2.7,955.0,239.0,5.0,0
17.0,86.4,48.94,8.67,2534.0,362.0,10.0,1
19.0,105.4,76.58,14.28,1774.0,347.0,6.0,1
11.0,146.9,44.67,2.16,1793.0,313.0,10.0,1
9.0,82.4,79.48,5.34,1111.0,120.0,15.0,0
15.0,128.7,95.22,4.4,1364.0,314.0,17.0,1
1.0,108.4,50.19,14.96,1912.0,336.0,15.0,1
7.0,128.3,11.76,8.96,2459.0,45.0,11.0,0
16.0,70.5,48.33,4.08,1155.0,15.0,0.0,0
6.0,91.9,40.05,14.71,728.0,304.0,6.0,1
13.0,66.0,25.46,4.73,912.0,345.0,3.0,0
4.0,100.7,19.6,12.42,1714.0,244.0,8.0,1
9.0,148.3,11.01,12.81,859.0,342.0,8.0,0
14.0,77.0,36.78,5.82,1347.0,351.0,7.0,0
7.0,121.8,99.32,7.99,1482.0,15.0,6.0,1
2.0,77.9,23.53,6.11,2870.0,241.0,3.0,0
7.0,84.9,50.4,9.41,1462.0,179.0,17.0,1
1.0,85.6,65.74,7.48,2915.0,176.0,17.0,1
18.0,107.8,47.87,4.97,2783.0,349.0,3.0,1
15.0,88.0,64.2,13.14,1299.0,194.0,2.0,0
10.0,129.5,68.5,11.12,2986.0,137.0,12.0,1
16.0,87.6,53.44,12.79,1088.0,213.0,9.0,0
11.0,90.3,17.13,9.19,1645.0,216.0,11.0,0
2.0,103.2,60.08,6.58,1623.0,155.0,9.0,0
5.0,60.2,46.41,1.65,1915.0,31.0,11.0,0
4.0,71.7,96.79,14.86,1376.0,42.0,3.0,0
12.0,79.7,45.7,14.26,1960.0,115.0,10.0,0
1.0,114.2,62.93,12.94,713.0,114.0,18.0,0
19.0,131.7,,9.9,2494.0,205.0,18.0,1
17.0,78.0,32.14,1.17,1313.0,154.0,13.0,1
13.0,136.7,35.82,4.91,1577.0,246.0,3.0,0
11.0,61.7,47.5,3.68,815.0,356.0,4.0,0
8.0,115.6,31.65,2.3,706.0,181.0,12.0,0
3.0,63.1,87.87,3.66,2190.0,235.0,15.0,0
16.0,137.6,87.22,13.11,2484.0,150.0,8.0,1
7.0,71.0,54.11,6.71,666.0,21.0,8.0,0
8.0,102.2,67.97,13.11,2503.0,307.0,17.0,1
9.0,136.0,12.0,2.38,1997.0,361.0,0.0,1
4.0,77.1,20.75,11.68,2976.0,66.0,6.0,1
14.0,118.7,96.0,1.62,1944.0,51.0,7.0,0
6.0,82.2,52.61,14.02,1285.0,169.0,16.0,1
13.0,111.5,34.31,7.21,2827.0,230.0,19.0,1
2.0,127.7,92.74,1.84,1656.0,55.0,10.0,0
9.0,136.9,63.69,6.64,2659.0,11.0,13.0,1
18.0,128.2,98.56,1.34,2702.0,130.0,0.0,0
9.0,108.0,26.34,12.44,1462.0,45.0,12.0,1
18.0,66.1,22.14,10.76,1747.0,222.0,11.0,1
4.0,141.8,56.4,5.77,1595.0,195.0,9.0,0
10.0,129.1,63.52,8.34,2812.0,48.0,7.0,0
11.0,118.3,53.38,2.64,2289.0,346.0,15.0,1
16.0,120.2,40.62,5.02,1854.0,290.0,2.0,1
17.0,142.9,62.56,10.15,2299.0,236.0,1.0,1
11.0,70.8,91.83,6.91,2356.0,48.0,0.0,0
13.0,66.3,98.79,14.61,821.0,218.0,10.0,1
13.0,140.6,92.5,10.1,1155.0,316.0,15.0,1
18.0,131.0,80.08,13.52,1730.0,174.0,0.0,0
3.0,149.2,87.39,6.39,1194.0,132.0,11.0,0
16.0,143.1,78.04,13.22,918.0,149.0,10.0,1
16.0,118.9,,2.29,2980.0,96.0,3.0,1
10.0,64.7,58.71,8.84,1532.0,56.0,10.0,0
15.0,141.4,80.33,14.0,1255.0,129.0,8.0,1
1.0,84.3,,13.38,876.0,250.0,16.0,0
11.0,74.2,33.69,3.65,2413.0,67.0,6.0,1
14.0,96.2,40.79,2.7,2510.0,249.0,14.0,1
15.0,67.8,29.53,8.24,2761.0,114.0,5.0,1
4.0,117.6,27.24,10.59,1667.0,311.0,13.0,1
5.0,127.2,55.85,9.86,2895.0,301.0,5.0,1
19.0,88.8,15.7,11.85,1095.0,104.0,13.0,0
12.0,141.3,47.64,3.84,2646.0,250.0,14.0,1
7.0,87.7,21.78,10.57,2687.0,354.0,19.0,1
18.0,105.4,19.77,1.37,2550.0,70.0,8.0,0
13.0,95.6,31.95,7.66,662.0,69.0,8.0,0
1.0,139.2,62.52,4.8,2245.0,310.0,9.0,1
17.0,142.4,86.35,3.29,1684.0,348.0,12.0,1
9.0,145.1,52.31,2.47,2807.0,55.0,6.0,0
14.0,131.9,49.85,14.9,548.0,95.0,6.0,1
16.0,147.7,75.8,10.27,956.0,105.0,13.0,1
19.0,,17.78,13.05,2927.0,354.0,16.0,1
16.0,73.8,69.83,14.91,2658.0,325.0,6.0,1
1.0,144.8,82.97,9.95,1611.0,283.0,15.0,1
8.0,,41.65,1.04,1499.0,292.0,16.0,0
17.0,147.6,46.44,5.15,2903.0,148.0,11.0,1
16.0,137.4,28.47,14.99,2635.0,252.0,13.0,1
2.0,89.3,75.85,6.79,1813.0,107.0,19.0,0
2.0,106.8,71.81,9.15,1093.0,154.0,2.0,0
1.0,85.8,63.56,1.23,2821.0,169.0,17.0,0
10.0,127.8,38.67,12.29,1536.0,197.0,13.0,0
18.0,145.7,82.5,3.95,832.0,150.0,14.0,1
1.0,72.8,55.21,10.68,1090.0,84.0,8.0,0
7.0,140.0,37.76,2.32,1833.0,29.0,15.0,0
4.0,75.4,56.49,8.66,805.0,107.0,1.0,0
6.0,117.2,44.78,7.59,2248.0,177.0,3.0,0
1.0,69.6,87.58,14.08,1989.0,284.0,14.0,1
6.0,122.5,55.67,3.06,1320.0,222.0,1.0,0
4.0,142.7,28.17,5.85,1359.0,185.0,12.0,0
11.0,87.6,33.97,9.97,1725.0,285.0,5.0,0
1.0,129.9,92.38,1.43,1109.0,111.0,1.0,0
15.0,130.2,86.46,3.53,816.0,167.0,14.0,1
12.0,129.2,82.59,11.62,1652.0,154.0,4.0,1
12.0,138.3,64.95,1.2,2956.0,34.0,3.0,1
10.0,115.1,75.26,6.42,2214.0,100.0,8.0,0
16.0,144.4,27.25,6.01,1267.0,262.0,11.0,1
14.0,136.0,45.82,12.13,1211.0,178.0,1.0,0
7.0,71.0,54.11,6.71,666.0,21.0,8.0,0
14.0,102.2,43.42,7.95,1055.0,354.0,17.0,1
17.0,135.8,36.08,9.01,2281.0,111.0,0.0,0
11.0,110.2,86.03,6.22,575.0,88.0,18.0,1
13.0,140.6,92.5,10.1,1155.0,316.0,15.0,1
7.0,,63.22,7.77,1476.0,225.0,9.0,0
3.0,110.3,98.75,13.81,2858.0,255.0,11.0,1
10.0,74.2,76.68,4.39,1034.0,124.0,8.0,0
11.0,74.4,12.9,11.01,2199.0,318.0,6.0,0
8.0,121.5,21.44,3.95,1370.0,147.0,19.0,0
17.0,,20.13,1.27,1703.0,241.0,12.0,1
9.0,83.9,39.26,11.7,2270.0,157.0,19.0,1
