loan_amount,annual_income,credit_score,loan_term_years,employment_years,num_open_loans,debt_to_income,collateral_value,missed_payments,defaulted
823478.64,3448503.78,625.0,15.0,20.4,7.0,0.428,559667.48,3.0,1
466715.28,935324.07,737.0,5.0,21.1,7.0,0.241,,1.0,0
1553676.53,2560357.77,753.0,15.0,1.2,7.0,0.309,423523.49,0.0,0
1628939.84,1343808.81,492.0,2.0,17.0,5.0,0.38,2513128.27,1.0,1
1366473.33,4101012.19,848.0,3.0,10.8,4.0,0.147,1646936.92,2.0,0
214079.79,3783671.02,444.0,15.0,14.1,2.0,0.183,2762730.65,4.0,0
306378.67,2545614.24,805.0,20.0,13.9,6.0,0.354,1659280.06,1.0,0
159327.63,3530802.3,458.0,2.0,14.4,1.0,0.108,1216764.08,4.0,1
1558868.04,3038161.72,674.0,3.0,16.1,7.0,0.561,17749.54,3.0,1
1902440.67,4742911.2,445.0,3.0,18.0,1.0,0.252,2441543.92,5.0,1
1139792.89,799359.66,672.0,5.0,5.5,1.0,0.452,2620369.96,4.0,1
77687.36,4596130.62,797.0,2.0,22.5,7.0,0.246,1489058.16,1.0,0
845897.31,3199364.89,424.0,15.0,18.1,7.0,0.45,1947332.53,0.0,1
1008396.27,1972224.86,764.0,20.0,15.7,6.0,0.144,2979082.85,3.0,0
1584132.36,4034988.48,563.0,15.0,,6.0,0.462,1160660.25,2.0,1
1759123.64,581809.09,811.0,15.0,4.3,4.0,0.516,2705452.28,3.0,1
1695652.36,4508043.2,635.0,10.0,17.4,5.0,0.261,,3.0,0
251023.03,3915041.14,767.0,15.0,7.9,1.0,0.301,867316.97,,0
255120.9,1703265.73,541.0,15.0,14.6,1.0,0.173,1950618.79,4.0,0
35829.95,811871.97,512.0,10.0,14.5,1.0,0.541,1130044.92,3.0,1
1899214.71,4190916.5,839.0,5.0,15.0,2.0,0.2,2701351.87,3.0,0
194364.82,1757678.75,344.0,3.0,16.5,2.0,0.151,1646418.03,3.0,0
92395.41,2711465.3,373.0,20.0,27.5,7.0,0.145,1486049.92,1.0,0
42929.89,1264214.28,327.0,20.0,15.6,6.0,0.239,147105.36,2.0,1
797890.67,2525611.65,745.0,15.0,8.2,4.0,0.53,2112924.34,3.0,1
1655036.52,3039729.25,634.0,10.0,11.4,4.0,0.465,1547005.66,5.0,1
1468289.88,4952678.72,357.0,3.0,4.1,0.0,0.586,1273575.14,1.0,0
1857218.87,862546.7,583.0,2.0,23.4,,0.182,813162.85,0.0,0
551329.89,1334040.26,334.0,2.0,4.1,7.0,0.426,213806.47,1.0,1
835332.83,1813968.79,805.0,20.0,4.9,,0.178,197357.99,0.0,0
1987540.79,3781679.9,462.0,10.0,23.6,3.0,0.483,,2.0,1
796856.01,3043467.75,506.0,5.0,8.6,2.0,0.142,2471913.3,3.0,0
1970983.86,3770836.36,400.0,10.0,11.8,3.0,0.312,423997.86,0.0,1
160315.8,1816370.26,618.0,1.0,25.5,4.0,0.312,36798.13,0.0,0
1908327.27,641554.94,358.0,20.0,6.8,3.0,0.075,1657420.7,2.0,1
1982849.57,3218788.37,535.0,5.0,3.5,1.0,0.206,1483486.56,4.0,1
1966068.81,4649013.36,828.0,2.0,14.3,2.0,0.567,286854.7,2.0,0
1599025.54,958342.29,353.0,3.0,7.1,1.0,0.099,1394112.26,1.0,1
1338555.16,3357990.62,670.0,20.0,4.8,3.0,0.115,1066846.59,2.0,0
51782.84,4801966.47,335.0,10.0,24.5,,0.222,2324361.3,1.0,0
938808.04,3874469.93,546.0,20.0,1.8,2.0,0.147,2555268.3,1.0,0
1722604.65,2969667.99,348.0,3.0,10.1,6.0,0.586,2845120.17,1.0,1
,2701452.16,733.0,2.0,20.2,5.0,0.482,163362.33,1.0,0
942093.89,3627150.88,493.0,1.0,27.1,,0.548,2510706.13,3.0,0
1008202.97,3160852.99,348.0,1.0,12.4,3.0,0.25,1680321.15,3.0,1
301147.07,780449.56,607.0,15.0,18.3,2.0,0.259,957787.18,0.0,0
1307361.63,4132589.63,527.0,15.0,3.5,4.0,0.497,52897.8,1.0,1
375872.4,602280.49,747.0,5.0,6.2,5.0,0.083,2882108.11,1.0,0
1176810.41,2188082.57,451.0,3.0,19.8,6.0,0.424,2182078.94,0.0,0
364760.74,867266.94,786.0,5.0,18.6,3.0,0.218,2362991.79,3.0,0
1780596.51,500729.38,622.0,20.0,2.8,0.0,0.194,727119.74,1.0,0
581582.22,115918.17,476.0,1.0,17.4,6.0,0.416,492156.99,4.0,1
1437693.08,4318756.28,353.0,1.0,21.3,3.0,0.133,557237.48,5.0,1
1592722.89,4657866.31,599.0,1.0,28.2,2.0,0.529,442855.79,1.0,0
1285023.13,548277.21,513.0,3.0,18.8,2.0,0.122,15993.26,3.0,1
1241101.72,305622.16,677.0,1.0,10.3,2.0,0.48,2280186.95,0.0,1
518259.33,3469392.31,402.0,5.0,6.7,7.0,0.1,2746002.3,,1
1165947.66,3151162.38,434.0,1.0,22.8,2.0,0.356,935219.99,1.0,0
1522219.83,2598148.77,449.0,3.0,12.1,2.0,0.053,2999378.39,4.0,1
580394.26,2296042.68,436.0,15.0,5.0,3.0,,1394082.34,2.0,1
961380.34,534600.27,342.0,20.0,24.2,6.0,0.51,1639985.6,3.0,1
120216.62,1868428.18,397.0,20.0,9.1,0.0,0.498,21028.23,3.0,1
1117800.47,277122.37,703.0,3.0,29.4,5.0,0.459,1596559.81,4.0,1
987263.31,2547565.98,708.0,,27.0,5.0,0.212,956082.02,4.0,1
1123558.93,1288621.96,471.0,20.0,18.5,5.0,0.506,2996385.77,0.0,0
146685.15,3984457.45,332.0,2.0,25.4,5.0,0.581,1200955.17,5.0,1
1680899.31,3015826.93,593.0,3.0,23.9,0.0,0.221,704946.48,0.0,0
22908.28,964207.19,812.0,2.0,25.9,6.0,0.552,464194.34,2.0,0
374101.26,1853704.23,330.0,15.0,10.1,3.0,0.414,1455414.53,4.0,1
1244195.71,1521401.69,303.0,2.0,23.9,7.0,,1218082.16,3.0,1
935602.95,1923202.26,512.0,3.0,0.4,0.0,0.248,1465851.42,5.0,1
335946.95,3158467.9,818.0,3.0,24.8,0.0,0.212,2307785.48,4.0,0
715927.13,4743531.9,673.0,15.0,21.7,4.0,0.559,754692.43,0.0,0
93218.28,3415529.94,798.0,3.0,3.5,1.0,0.407,2872943.75,1.0,0
694034.06,4417149.39,621.0,20.0,4.9,6.0,0.381,1881209.47,,0
1397582.76,2780271.9,446.0,10.0,17.0,0.0,0.359,1399719.85,2.0,0
1681657.16,1854954.75,747.0,3.0,4.1,4.0,0.47,1081187.62,5.0,1
1463481.08,3738905.29,463.0,1.0,5.2,4.0,0.2,1032054.72,1.0,0
622205.04,1321528.78,674.0,3.0,28.7,6.0,0.339,46560.82,1.0,0
607713.25,4370011.3,722.0,5.0,14.8,3.0,0.05,663348.18,3.0,0
621312.83,940226.22,802.0,20.0,4.6,4.0,0.187,2384008.76,4.0,1
1489657.19,4957405.75,783.0,10.0,14.7,2.0,0.508,2586086.09,1.0,0
762993.33,4306779.45,570.0,2.0,15.4,0.0,0.273,2225506.82,3.0,0
683786.08,2409580.63,761.0,5.0,3.7,6.0,0.071,2126359.1,1.0,0
156617.53,184423.13,398.0,5.0,15.2,5.0,0.574,2978867.17,2.0,1
1282695.58,2698596.05,712.0,5.0,,0.0,0.143,2482792.02,1.0,0
1042594.48,2466868.0,595.0,1.0,23.8,2.0,0.309,1938868.99,5.0,1
1021562.4,1238486.63,806.0,5.0,29.3,6.0,0.432,1421039.05,3.0,0
1724791.81,284721.52,765.0,2.0,23.2,0.0,0.165,,3.0,0
1179991.68,1651035.51,485.0,10.0,18.0,4.0,0.217,2089865.97,1.0,1
909862.94,2450207.02,632.0,1.0,1.6,0.0,0.255,2601350.26,1.0,0
1151562.72,1029734.89,758.0,2.0,17.4,5.0,0.409,1881366.26,1.0,0
1573409.78,3738871.57,594.0,15.0,6.5,7.0,0.276,600535.99,5.0,1
132124.79,964821.33,308.0,10.0,23.6,3.0,0.446,2636512.86,0.0,1
1807828.64,4266002.06,613.0,15.0,20.9,4.0,0.4,649819.91,5.0,1
113343.34,2023168.96,394.0,15.0,1.5,5.0,0.183,1102128.69,0.0,0
,4279968.92,408.0,20.0,20.3,0.0,0.235,1121692.97,3.0,1
711480.11,2323178.0,776.0,5.0,26.6,3.0,0.109,1374779.24,3.0,0
718562.66,648103.9,780.0,10.0,5.6,0.0,0.57,1246134.03,4.0,1
811702.8,623738.59,767.0,5.0,29.4,4.0,0.229,2735101.77,1.0,0
1536019.59,1275407.86,501.0,15.0,3.4,6.0,0.32,1908672.68,3.0,1
1702537.98,3242140.66,661.0,20.0,5.7,6.0,0.439,1916026.63,3.0,1
1786695.28,3579165.5,437.0,20.0,26.3,3.0,0.545,1687160.05,5.0,1
179103.7,,541.0,3.0,3.0,2.0,0.464,1054046.94,5.0,1
1374525.42,4016130.93,450.0,5.0,18.3,0.0,0.421,1422683.07,5.0,1
1031049.49,1444870.44,668.0,5.0,2.2,5.0,0.364,1817834.99,1.0,0
629192.44,,652.0,15.0,23.9,7.0,0.056,1887494.7,4.0,0
68498.4,2143866.88,628.0,10.0,7.0,2.0,0.413,1488631.19,5.0,0
467439.13,537866.29,710.0,5.0,27.0,0.0,0.09,1354785.08,3.0,0
1562399.37,2640477.91,581.0,2.0,11.2,2.0,0.482,1765534.46,0.0,1
158794.6,2989842.98,486.0,1.0,0.4,0.0,0.066,851820.3,3.0,0
757070.73,491814.08,310.0,1.0,14.4,7.0,0.518,698282.09,0.0,0
1587095.1,3553269.8,440.0,15.0,27.7,1.0,0.056,652604.78,5.0,1
215420.52,2492778.66,347.0,3.0,8.0,2.0,0.485,1464017.08,4.0,1
1094609.11,3160497.02,845.0,2.0,17.7,0.0,0.317,349553.91,4.0,0
711698.92,2530851.85,686.0,3.0,4.3,1.0,0.212,372561.92,3.0,0
543073.56,1548423.99,759.0,15.0,9.2,5.0,0.549,2193158.12,3.0,1
1274834.59,3034354.59,731.0,5.0,22.8,,0.279,2887024.38,5.0,0
782498.77,4758651.63,792.0,20.0,14.5,5.0,0.524,1056025.29,4.0,0
1533152.75,3192026.59,395.0,5.0,27.0,0.0,0.417,110281.17,5.0,1
1250481.46,3005515.03,601.0,2.0,13.2,6.0,0.458,1909370.71,0.0,0
1468756.22,3616586.8,513.0,10.0,15.1,6.0,0.414,,3.0,1
1799769.36,4072450.76,489.0,5.0,4.5,7.0,0.217,1109075.19,4.0,1
736811.71,4071382.74,710.0,1.0,2.0,2.0,0.234,299247.21,5.0,0
1106292.24,2823839.13,469.0,3.0,3.7,0.0,0.439,1927399.14,1.0,0
1943945.16,3996460.03,792.0,20.0,28.9,3.0,0.573,1326322.58,1.0,0
224121.0,4534083.8,361.0,1.0,7.0,1.0,0.303,375617.41,1.0,0
1765478.36,292427.22,793.0,15.0,14.2,6.0,0.581,970318.93,2.0,1
353017.93,603512.39,529.0,20.0,21.1,7.0,0.127,570874.14,1.0,1
1274184.01,2636949.26,445.0,1.0,24.0,,0.228,1767915.39,5.0,1
1711881.56,1376270.68,678.0,15.0,4.4,4.0,0.457,1568356.36,4.0,1
305708.51,465400.63,345.0,5.0,13.2,1.0,0.122,2401078.1,1.0,1
1030537.45,1365229.58,,1.0,6.2,1.0,0.515,1722494.45,3.0,1
52508.91,318183.75,,5.0,17.9,5.0,0.29,314083.18,2.0,0
219307.57,4695083.32,647.0,5.0,24.7,5.0,0.52,1182438.12,3.0,0
336638.98,1743676.88,780.0,20.0,7.1,1.0,0.488,1930354.57,5.0,0
1019226.08,3427129.18,676.0,15.0,22.5,1.0,0.368,355308.28,1.0,0
575145.9,4523660.6,506.0,2.0,17.4,1.0,0.321,88031.15,0.0,0
1183266.06,3652109.37,793.0,10.0,8.1,5.0,0.578,262793.09,3.0,1
1734148.22,1509668.62,776.0,2.0,10.2,1.0,0.147,2095227.93,2.0,1
1984607.42,1011412.01,507.0,20.0,24.7,6.0,0.578,1740341.83,3.0,1
1404830.54,4190606.54,566.0,2.0,0.2,4.0,0.179,2230754.81,0.0,0
1642672.51,3234185.48,645.0,5.0,6.4,7.0,0.546,712724.59,1.0,0
,570828.9,574.0,1.0,12.0,3.0,0.192,1635650.8,0.0,0
103706.85,630736.88,495.0,20.0,29.2,4.0,0.565,2421559.64,0.0,0
1229967.64,1235662.83,362.0,20.0,25.1,4.0,0.21,1994445.7,5.0,1
1653911.63,2779821.51,516.0,20.0,29.1,2.0,0.197,231739.16,2.0,1
1947599.16,2326753.3,419.0,1.0,7.7,7.0,0.435,2391614.72,5.0,1
84138.42,3955518.56,672.0,20.0,18.5,5.0,0.359,2475601.84,4.0,1
1460879.15,1132086.6,718.0,10.0,20.3,1.0,0.241,2077239.25,0.0,0
1295701.83,3769067.24,379.0,20.0,8.5,,0.166,214640.23,1.0,1
592057.08,610281.22,765.0,10.0,10.1,6.0,0.315,883507.2,3.0,1
787175.35,219424.57,478.0,2.0,17.0,0.0,0.339,1247535.97,2.0,1
799997.2,2540740.57,385.0,20.0,1.5,0.0,0.333,2709229.11,5.0,1
1750476.26,2518786.91,509.0,5.0,15.4,4.0,0.438,2354065.51,2.0,1
207033.08,3255962.67,,3.0,2.9,4.0,0.148,1928171.47,0.0,0
1741232.69,1012318.41,362.0,,18.4,2.0,0.501,1764548.4,2.0,1
1854489.1,313568.5,761.0,2.0,1.5,4.0,0.054,2481100.56,0.0,1
1508066.41,1236746.06,638.0,5.0,12.9,4.0,0.364,1609183.18,0.0,1
1817064.41,3858844.25,420.0,20.0,9.9,1.0,0.072,2354921.99,5.0,1
1333074.07,1013403.99,459.0,20.0,15.0,5.0,0.156,1868259.53,0.0,0
645857.78,4382754.64,814.0,3.0,27.5,1.0,0.298,2931312.89,5.0,0
1513745.23,1536321.22,385.0,15.0,23.0,5.0,0.278,1714978.5,1.0,1
1360013.23,1075889.43,765.0,20.0,19.2,0.0,0.241,2679578.26,4.0,0
1863382.68,4199481.7,482.0,15.0,18.0,3.0,0.176,1035883.22,1.0,0
913014.46,4464823.19,754.0,10.0,28.5,4.0,0.106,985501.15,4.0,0
1000443.52,4516723.96,649.0,20.0,1.0,5.0,0.519,1875842.7,4.0,1
1553694.45,4750189.53,791.0,5.0,1.0,2.0,0.106,2726102.55,1.0,0
1450119.65,3562783.89,391.0,2.0,22.4,6.0,0.499,2748319.5,2.0,1
994934.38,797140.77,773.0,3.0,25.0,5.0,0.308,1007293.79,3.0,0
1703954.0,3663991.96,446.0,15.0,26.4,4.0,0.506,2896570.45,4.0,1
1240666.58,2566088.46,532.0,3.0,25.9,3.0,0.531,382988.48,0.0,1
1028491.21,3927759.04,313.0,3.0,11.0,1.0,0.059,2492086.2,4.0,1
456532.99,4948261.01,315.0,15.0,,4.0,0.204,2539018.84,1.0,0
589591.85,2914181.65,777.0,20.0,8.9,7.0,0.245,2378863.97,0.0,0
1265968.22,1585524.26,788.0,2.0,8.2,2.0,0.371,2512882.97,2.0,0
817039.17,1644528.09,587.0,20.0,15.4,2.0,0.132,2837833.24,3.0,1
1397994.88,1712303.48,656.0,15.0,20.6,1.0,0.112,1767206.94,1.0,0
1545596.87,4625370.34,614.0,1.0,18.1,5.0,0.056,67295.2,4.0,1
1474166.85,1722461.49,348.0,1.0,24.7,1.0,0.241,514734.29,5.0,1
,4939576.35,607.0,1.0,,7.0,0.511,1085449.2,0.0,0
1674326.43,4863039.02,676.0,5.0,14.5,1.0,0.154,2043667.87,0.0,0
144146.26,1691553.04,403.0,1.0,14.9,3.0,0.355,2431445.92,4.0,1
1890157.26,4721387.15,503.0,15.0,0.4,5.0,0.423,1202949.87,4.0,1
885458.33,856623.51,304.0,3.0,28.4,3.0,0.224,105922.79,1.0,1
1416931.95,127805.47,446.0,3.0,13.0,2.0,0.596,2788745.68,1.0,1
1014623.25,2833757.87,720.0,3.0,6.2,7.0,0.5,2731903.17,3.0,1
1446768.33,691819.85,825.0,3.0,8.2,1.0,0.249,2250907.5,2.0,1
214353.4,2440703.46,420.0,1.0,8.2,7.0,0.084,2200438.2,0.0,1
1572465.55,3075738.3,775.0,15.0,9.5,1.0,0.2,2073169.79,5.0,1
353182.42,3252800.18,385.0,10.0,25.8,1.0,0.25,949850.13,2.0,0
1207920.7,463138.46,784.0,5.0,14.4,7.0,0.129,890264.13,2.0,0
1872706.3,2637171.53,753.0,20.0,27.4,4.0,0.136,2014228.83,4.0,0
54527.22,3719063.47,829.0,5.0,25.4,7.0,0.123,967104.63,4.0,0
1543597.0,4478956.18,391.0,3.0,25.3,7.0,0.064,1486884.34,2.0,0
924723.04,3525985.45,632.0,2.0,25.8,6.0,0.398,,1.0,0
207451.94,4337922.81,681.0,20.0,17.6,1.0,0.188,2373069.24,1.0,0
,2836243.45,658.0_err,2.0,0.9,6.0,0.116,446027.15,0.0,0
303510.56,4243193.1,405.0,5.0,21.4,1.0,0.342,377074.65,5.0,1
137181.34,,335.0,5.0,1.9,2.0,0.332,341950.57,1.0,1
1485229.81,968383.03,694.0,3.0,2.5,1.0,0.454,475679.8,0.0,1
1275060.06,4101520.33,535.0,,1.9,1.0,0.364,2898652.08,1.0,0
1727073.42,1276085.02,346.0,15.0,25.5,5.0,0.45,109442.64,1.0,1
138830.8,2571965.3,752.0,15.0,3.1,3.0,0.531,1354846.76,0.0,0
400239.96,4171287.31,843.0,3.0,21.0,5.0,0.082,2616602.08,1.0,0
228691.15,3232791.63,848.0,20.0,24.1,4.0,0.381,2371365.34,5.0,0
777790.48,3690982.42,364.0,2.0,28.8,7.0,0.286,1080770.76,0.0,0
1705359.05,2523812.24,301.0,10.0,4.0,0.0,0.243,2376236.28,4.0,0
1376961.61,4582177.06,699.0,10.0,7.4,0.0,0.263,1032105.92,0.0,0
1155407.34,682199.97,779.0,15.0,,4.0,0.121,2022244.26,4.0,1
258689.78,2617304.17,685.0,1.0,8.0,7.0,0.539,2545063.52,2.0,0
313482.72,3899022.59,691.0,,26.4,5.0,0.147,1309116.33,2.0,0
1500266.63,257187.29,823.0,2.0,16.4,2.0,0.186,1204026.11,5.0,1
1613765.57,3104000.53,829.0,2.0,10.7,6.0,0.496,1174461.15,2.0,0
1940616.28,1064315.55,783.0,1.0,5.7,4.0,0.256,1754225.88,2.0,1
437936.0,3644355.68,527.0,2.0,21.1,1.0,0.579,510796.55,4.0,0
640022.68,3436432.62,324.0,15.0,3.5,6.0,0.125,95077.88,2.0,1
,1117829.69,555.0,15.0,27.1,5.0,0.308,1746280.42,0.0,0
217445.02,4603919.88,732.0,20.0,9.3,4.0,0.184,459579.34,0.0,0
1468361.27,1997025.43,828.0,1.0,12.7,5.0,,2235795.85,5.0,1
1483273.72,1920120.92,537.0,3.0,7.1,6.0,0.063,411865.2,2.0,1
1426131.03,3599523.85,396.0,2.0,20.5,5.0,0.369,2238892.81,2.0,0
1808643.95,1022646.71,502.0_err,2.0,6.1,0.0,0.142,643298.32,3.0,1
1006407.51,643179.72,599.0,1.0,,6.0,,1553288.45,1.0,1
1136385.32,1005247.21,765.0,5.0,3.3,5.0,,1258769.78,4.0,1
962798.47,3976738.9,764.0,2.0,6.2,0.0,0.063,2510475.6,1.0,0
1672579.36,4864160.12,840.0,5.0,24.8,6.0,0.266,539186.85,2.0,0
1271506.62,1748015.49,305.0,5.0,7.0,4.0,0.158,2472563.55,1.0,1
1757414.09,2364725.03,670.0,10.0,29.1,3.0,0.211,2111160.46,1.0,0
1674013.01,4842092.86,689.0,3.0,29.8,7.0,0.071,2662500.91,3.0,0
1541558.79,4781966.43,675.0,15.0,19.6,3.0,0.264,24307.72,4.0,0
473839.54,1583052.12,328.0,,13.0,4.0,0.48,967147.43,0.0,1
1611174.04,2758894.73,385.0,3.0,18.2,5.0,0.092,423134.18,3.0,0
1239631.93,597302.86,652.0,2.0,5.3,2.0,0.342,2196430.43,2.0,0
793364.73,3246345.2,463.0,15.0,26.5,1.0,0.499,2639058.86,2.0,0
781365.85,,445.0,3.0,5.6,0.0,0.275,1833608.4,5.0,0
1146051.61,4400685.29,334.0,1.0,19.0,5.0,0.467,1225153.39,1.0,1
1034464.38,4012593.78,686.0,15.0,18.4,5.0,0.572,1142812.25,1.0,1
1314296.68,2517408.57,673.0,15.0,9.1,2.0,0.191,2041049.93,4.0,1
1007913.24,2366904.53,419.0,10.0,8.0,7.0,0.214,608451.03,5.0,1
1782797.45,500098.59,407.0,2.0,4.7,1.0,0.421,2415994.13,0.0,1
1184468.09,1384072.59,345.0,2.0,10.9,6.0,0.499,2741061.33,0.0,1
1901743.4,1746757.73,402.0,20.0,4.6,5.0,0.594,1981114.65,1.0,1
1886385.75,837776.95,513.0_err,3.0,,7.0,0.301,51813.66,4.0,1
1829879.32,1049585.61,713.0,20.0,28.2,3.0,0.451,2341775.18,2.0,1
256029.66,431862.43,382.0,5.0,22.4,4.0,0.405,694884.17,2.0,1
1541883.13,4128116.48,482.0,2.0,,3.0,0.458,2287090.47,0.0,0
1402767.94,299243.3,638.0,3.0,28.6,4.0,0.389,2393803.99,3.0,1
85781.08,3906626.3,393.0,3.0,24.9,0.0,0.257,1924702.37,1.0,0
1791769.05,3711957.11,488.0,3.0,6.4,2.0,0.438,2402680.65,3.0,1
499955.28,4380099.41,672.0,5.0,11.3,6.0,0.069,2547123.47,0.0,0
1662790.76,244836.67,663.0,3.0,12.9,1.0,0.543,1621317.62,3.0,1
1073516.52,3491481.44,528.0,2.0,19.6,5.0,0.334,2599903.41,5.0,1
1471944.24,1922517.73,626.0,3.0,18.6,1.0,0.281,1206513.89,1.0,0
1781370.74,1136128.19,355.0,20.0,24.3,2.0,0.559,2190163.78,5.0,1
912677.18,3272278.06,679.0,10.0,21.2,6.0,0.545,1929129.98,2.0,0
1596112.79,3754490.9,741.0,20.0,8.0,7.0,0.089,1096750.0,0.0,0
605127.07,1543423.24,579.0,3.0,16.0,6.0,0.594,504676.99,5.0,1
749008.73,3216520.1,821.0,1.0,23.2,4.0,0.284,851378.11,2.0,0
214259.25,,499.0,15.0,26.5,0.0,0.527,1158926.83,,1
499960.43,1295493.7,514.0,2.0,16.4,1.0,0.517,66829.4,4.0,1
1264895.92,4326780.93,378.0,3.0,27.0,0.0,0.139,2093079.03,5.0,1
638088.67,1647294.65,771.0,15.0,22.2,2.0,0.389,1556367.99,1.0,0
1651421.24,1478559.15,815.0,2.0,8.5,5.0,0.567,,0.0,1
724713.4,3157474.17,806.0,5.0,19.1,3.0,0.219,1111698.36,5.0,0
1448289.87,4441235.05,331.0,5.0,10.1,3.0,0.501,1968155.02,,1
541700.4,4664424.29,790.0,2.0,1.6,1.0,0.384,2198690.88,3.0,0
1168493.19,1231941.88,807.0,15.0,14.7,2.0,0.225,2387247.08,2.0,0
1362976.74,4098805.76,826.0,1.0,6.4,3.0,0.085,2904479.76,2.0,0
1072943.74,3445479.41,849.0,10.0,7.6,5.0,0.151,1170256.78,4.0,1
1933929.38,3279419.14,843.0,5.0,2.8,7.0,0.56,1176644.22,0.0,0
638899.5,2426985.12,793.0,20.0,20.3,0.0,0.564,134504.0,5.0,1
752124.65,1269178.89,824.0,5.0,20.0,2.0,0.433,771908.06,3.0,0
1221006.08,3791555.1,408.0,20.0,25.8,1.0,0.17,2904118.27,3.0,0
1913498.53,1110544.35,729.0,3.0,19.2,3.0,0.108,623791.86,5.0,1
192298.9,1955603.33,572.0,20.0,19.1,2.0,0.278,2867270.9,0.0,0
708019.01,2468415.88,512.0,2.0,17.5,0.0,0.384,186948.86,2.0,0
1778371.69,592354.54,,5.0,6.4,3.0,0.582,1562151.62,4.0,1
1336558.47,2563658.74,807.0,3.0,17.6,4.0,0.509,2351212.46,4.0,0
398984.77,2243812.26,364.0,3.0,22.6,3.0,0.093,1760962.43,2.0,0
1061158.2,652786.42,633.0,1.0,9.0,4.0,0.368,1585492.89,2.0,1
482135.5,3658118.02,638.0,10.0,24.9,7.0,0.205,2459533.87,3.0,0
605052.66,1105621.33,669.0,,27.1,5.0,0.146,2719823.87,5.0,1
1112451.78,159600.91,776.0,20.0,28.8,7.0,0.344,1053627.03,3.0,1
398998.4,1122155.59,421.0,10.0,23.5,5.0,0.232,1788583.87,2.0,1
696497.43,2327410.39,724.0,5.0,14.6,0.0,0.541,2105846.25,5.0,1
234325.17,3806396.43,421.0,15.0,26.1,4.0,0.419,1730366.68,1.0,0
1881082.35,1147072.34,589.0,5.0,25.3,1.0,0.312,2072935.26,0.0,0
1408148.17,3472511.99,498.0,20.0,4.0,,0.352,1245318.0,4.0,1
,4396776.6,492.0,1.0,0.2,4.0,,2399130.11,3.0,0
58593.71,4939081.8,521.0,1.0,9.7,7.0,0.597,796438.57,0.0,0
1813419.23,381858.15,768.0,15.0,1.3,4.0,0.253,786543.35,,1
869402.68,4654761.99,376.0,3.0,8.3,4.0,0.408,2496816.63,5.0,1
1961842.27,4520264.4,334.0,,21.4,2.0,0.348,2688083.56,3.0,1
453816.01,1859816.58,677.0,1.0,19.8,6.0,0.426,609.36,5.0,1
1944058.16,998824.39,643.0,10.0,29.6,4.0,0.177,591999.55,5.0,1
1113081.63,1788813.0,663.0,10.0,9.8,6.0,0.45,82775.12,4.0,1
364318.05,3231203.3,761.0,1.0,2.4,3.0,0.4,495727.5,4.0,1
511457.23,3081708.57,695.0,15.0,21.1,0.0,0.092,1016587.48,4.0,0
1156889.99,1985735.5,682.0,2.0,20.9,0.0,0.533,1293350.43,4.0,0
993485.0,3190177.72,813.0,20.0,25.2,2.0,0.264,2011084.77,5.0,1
1461153.61,2116816.3,631.0,3.0,13.5,6.0,0.311,1202203.07,3.0,1
1594807.66,3085219.58,476.0,2.0,28.2,7.0,0.446,473618.93,3.0,1
,4062376.56,683.0,5.0,3.9,6.0,0.542,442425.0,2.0,0
510992.08,4630292.91,658.0,15.0,11.6,0.0,0.331,2291391.57,2.0,0
1262963.13,1293937.59,545.0,5.0,26.2,7.0,0.393,1745541.25,0.0,0
1665404.58,1989054.03,748.0,3.0,25.9,1.0,0.28,1983179.81,5.0,1
1250825.08,,364.0,15.0,6.1,5.0,0.499,768188.82,0.0,1
1329314.94,4233807.6,641.0,10.0,0.9,6.0,0.505,2038791.49,4.0,0
600242.52,4061827.51,722.0,5.0,0.1,5.0,0.352,1252086.21,3.0,0
,4727876.8,460.0,15.0,9.5,0.0,0.518,2200966.77,0.0,0
601140.23,1998193.97,506.0,15.0,29.8,7.0,0.554,2443026.63,4.0,1
784661.3,3910696.08,,5.0,0.7,5.0,0.258,1987758.5,1.0,1
247509.21,1276928.57,712.0,2.0,11.2,5.0,0.077,1729170.79,4.0,0
1286386.17,4461967.97,495.0,2.0,28.7,3.0,0.366,2489633.04,,0
817374.17,3571663.42,559.0,5.0,2.3,7.0,0.409,72051.25,1.0,0
1249578.08,424400.19,498.0,15.0,16.8,5.0,0.562,746331.42,2.0,1
1661183.82,3153712.31,710.0,20.0,18.8,7.0,0.5,96796.94,4.0,1
770592.53,246308.94,535.0,1.0,29.6,4.0,0.159,1429493.02,2.0,1
196402.74,3563227.42,606.0,20.0,,7.0,0.36,1252070.74,5.0,1
1999158.29,3358779.96,372.0,2.0,20.5,6.0,0.135,2766031.22,3.0,1
1610531.61,1675761.29,607.0,5.0,12.5,7.0,0.33,1982935.42,5.0,1
1760859.76,787384.15,645.0,20.0,14.7,1.0,0.147,1896320.07,0.0,0
490331.58,673211.98,467.0,2.0,29.3,,0.545,2538174.43,0.0,0
1440469.95,1701996.11,656.0,1.0,21.2,3.0,0.088,1326688.95,0.0,0
1710177.36,427713.22,643.0,5.0,29.5,0.0,0.09,2789354.99,2.0,0
1393764.57,4768666.87,844.0,3.0,28.7,0.0,0.323,2426790.27,5.0,0
1738928.23,2123902.58,841.0,2.0,19.4,6.0,0.13,961982.05,5.0,1
